Quarter,Time,Down,ToGo,Location,MIN,TAM,Detail,EPB,EPA
1,1:40,2,6,TAM 24,0,0,Dalvin Cook right end for 9 yards (tackle by Antoine Winfield),3.710,4.580
1,0:55,1,10,TAM 15,0,0,Dalvin Cook left tackle for 4 yards (tackle by William Gholston),4.580,4.640
1,0:14,2,6,TAM 11,0,0,Kirk Cousins pass complete short left to Ameer Abdullah for 6 yards (tackle by Sean Murphy-Bunting and Antoine Winfield),4.640,6.060
Quarter,Time,Down,ToGo,Location,MIN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,TAM 5,0,0,Dalvin Cook up the middle for 4 yards (tackle by Rakeem Nunez-Roches and Steve McLendon),6.060,5.910
2,14:22,2,1,TAM 1,6,0,"Dalvin Cook left end for 1 yard, touchdown",5.910,7.000
2,14:17,,,TAM 15,6,0,Dan Bailey kicks extra point no good wide left,0.000,-1.000
2,14:17,,,MIN 35,6,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,14:17,1,10,TAM 25,6,0,Ronald Jones right tackle for 3 yards (tackle by Chris Jones),0.610,0.470
2,13:44,2,7,TAM 28,6,0,Tom Brady pass incomplete short left intended for Mike Evans,0.470,-0.230
2,13:40,3,7,TAM 28,6,0,Tom Brady pass incomplete deep middle intended for Chris Godwin,-0.230,-1.500
2,13:35,4,7,TAM 28,6,0,"Bradley Pinion punts 43 yards, returned by Chad Beebe for 5 yards (tackle by Antoine Winfield)",-1.500,-1.200
2,13:24,1,10,MIN 34,6,0,Kirk Cousins pass complete short left to Justin Jefferson for 17 yards (tackle by Antoine Winfield),1.200,2.320
2,12:47,1,10,TAM 49,6,0,Dalvin Cook right tackle for 12 yards (tackle by Jordan Whitehead),2.320,3.120
2,12:11,1,10,TAM 37,6,0,Kirk Cousins pass complete short left to Mike Boone for 4 yards (tackle by Sean Murphy-Bunting),3.120,3.110
2,11:39,2,6,TAM 33,6,0,"Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by Carlton Davis and Antoine Winfield). Penalty on Carlton Davis: Horse Collar Tackle, 14 yards",3.110,4.650
2,11:08,1,10,TAM 14,6,0,Kirk Cousins pass incomplete short right intended for Adam Thielen,4.650,4.000
2,11:03,2,10,TAM 14,6,0,Dalvin Cook up the middle for 3 yards (tackle by Lavonte David and Ndamukong Suh),4.000,3.620
2,10:20,3,7,TAM 11,6,0,Kirk Cousins sacked by Ndamukong Suh for -6 yards,3.620,2.310
2,9:35,4,13,TAM 17,6,0,Dan Bailey 36 yard field goal no good,2.310,-0.670
2,9:30,1,10,TAM 26,6,0,Tom Brady pass complete deep right to Mike Evans for 20 yards (tackle by Harrison Smith). Penalty on Jeff Gladney: Illegal Use of Hands (Declined),0.670,1.990
2,9:14,1,10,TAM 46,6,0,Ronald Jones left tackle for 1 yard (tackle by Jalyn Holmes),1.990,1.590
2,8:31,2,9,TAM 47,6,0,Ronald Jones up the middle for 5 yards (tackle by Shamar Stephen),1.590,1.550
2,7:48,3,4,MIN 48,6,6,"Tom Brady pass complete deep middle to Scott Miller for 48 yards, touchdown",1.550,7.000
2,7:41,,,MIN 15,6,7,Ryan Succop kicks extra point good,0.000,0.000
2,7:41,,,TAM 35,6,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,7:41,1,10,MIN 25,6,7,Kirk Cousins pass complete short right to Tyler Conklin for 15 yards (tackle by Jordan Whitehead),0.610,1.600
2,7:00,1,10,MIN 40,6,7,Dalvin Cook up the middle for 14 yards (tackle by Jordan Whitehead),1.600,2.520
2,6:17,1,10,TAM 46,6,7,Kirk Cousins pass complete short left to Irv Smith for 15 yards (tackle by Shaquil Barrett),2.520,3.510
2,5:37,1,10,TAM 31,6,7,Dalvin Cook right end for no gain (tackle by Ndamukong Suh),3.510,2.970
2,4:54,2,10,TAM 31,6,7,Kirk Cousins pass incomplete deep left intended for Justin Jefferson,2.970,2.280
2,4:48,,,,,,Timeout #1 by Minnesota Vikings,,
2,4:48,3,10,TAM 31,6,7,"Penalty on Brian O'Neill: False Start, 5 yards (no play)",2.280,1.620
2,4:48,3,15,TAM 36,6,7,Kirk Cousins pass incomplete short right intended for Justin Jefferson (defended by Carlton Davis),1.620,0.880
2,4:42,4,15,TAM 36,6,7,Dan Bailey 54 yard field goal no good,0.880,-1.860
2,4:37,1,10,TAM 44,6,7,Ronald Jones left guard for 3 yards (tackle by James Lynch and Todd Davis),1.860,1.720
2,4:07,2,7,TAM 47,6,7,Tom Brady pass complete short middle to Chris Godwin for 16 yards (tackle by Jeff Gladney and Harrison Smith),1.720,3.120
2,3:31,1,10,MIN 37,6,7,Ronald Jones up the middle for 3 yards (tackle by Ifeadi Odenigbo),3.120,2.980
2,2:53,2,7,MIN 34,6,7,Tom Brady pass complete short right to Antonio Brown for 6 yards (tackle by Anthony Harris),2.980,3.070
2,2:11,3,1,MIN 28,6,7,Ronald Jones up the middle for 3 yards (tackle by Hercules Mata'afa and Jaleel Johnson),3.070,3.910
2,2:00,1,10,MIN 25,6,7,Tom Brady pass incomplete short right intended for Ronald Jones,3.910,3.360
2,1:56,2,10,MIN 25,6,7,Tom Brady pass complete short right to Ronald Jones for 4 yards (tackle by Chris Jones),3.360,3.200
2,1:11,3,6,MIN 21,6,7,"Tom Brady pass complete short left to LeSean McCoy for 3 yards (tackle by Eric Wilson). Penalty on Harrison Smith: Lowering the Head to Initiate Contact, 9 yards",3.200,5.140
2,1:02,1,9,MIN 9,6,7,Ronald Jones up the middle for 2 yards (tackle by Jeff Gladney),5.140,4.760
2,0:54,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:54,2,7,MIN 7,6,7,"Tom Brady pass short left is intercepted by Jeff Gladney at MIN-1 and returned for no gain. Penalty on Jeff Gladney: Defensive Pass Interference, 6 yards (no play)",4.760,6.970
2,0:48,1,1,MIN 1,6,13,"Ronald Jones up the middle for 1 yard, touchdown",6.970,7.000
2,0:44,,,MIN 15,6,14,Ryan Succop kicks extra point good,0.000,0.000
2,0:44,,,TAM 35,6,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,0:44,1,10,MIN 25,6,14,Kirk Cousins pass incomplete short right intended for Chad Beebe,0.610,0.060
2,0:39,2,10,MIN 25,6,14,Ameer Abdullah up the middle for 3 yards (tackle by Jason Pierre-Paul and Lavonte David),0.060,-0.230
2,0:35,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:35,3,7,MIN 28,6,14,Kirk Cousins pass incomplete short right intended for Justin Jefferson,-0.230,-1.500
2,0:31,4,7,MIN 28,6,14,"Britton Colquitt punts 48 yards, returned by Kenjon Barner for 4 yards (tackle by Harrison Hand)",-1.500,-0.810
2,0:21,1,10,TAM 28,6,14,Tom Brady pass complete short middle to Cameron Brate for 9 yards (tackle by Jeff Gladney),0.810,1.480
2,0:15,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
2,0:15,2,1,TAM 37,6,14,Tom Brady pass complete short middle to Antonio Brown for 16 yards (tackle by Eric Wilson and Todd Davis),1.480,2.460
2,0:02,1,10,MIN 47,6,14,Tom Brady spiked the ball,2.460,1.910
2,0:01,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:01,2,10,MIN 47,6,14,"Tom Brady pass incomplete deep right intended for Rob Gronkowski. Penalty on Todd Davis: Defensive Pass Interference, 46 yards (no play)",1.910,6.970
2,0:00,1,1,MIN 1,6,17,Ryan Succop 19 yard field goal good,6.970,3.000
Quarter,Time,Down,ToGo,Location,MIN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,6,17,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,TAM 25,6,17,Ronald Jones up the middle for 1 yard (tackle by Todd Davis),0.610,0.200
3,14:28,2,9,TAM 26,6,17,Tom Brady pass complete short left to Mike Evans for 7 yards (tackle by Cameron Dantzler),0.200,0.430
3,13:49,3,2,TAM 33,6,17,LeSean McCoy up the middle for 10 yards (tackle by Anthony Harris and Harrison Smith),0.430,1.800
3,13:08,1,10,TAM 43,6,17,LeSean McCoy left end for 5 yards (tackle by Cameron Dantzler),1.800,1.930
3,12:27,2,5,TAM 48,6,17,LeSean McCoy up the middle for 3 yards (tackle by Ifeadi Odenigbo and Eric Wilson),1.930,1.620
3,11:49,3,2,MIN 49,6,17,LeSean McCoy right end for 14 yards (tackle by Anthony Harris),1.620,3.250
3,11:22,1,10,MIN 35,6,17,Tom Brady pass complete deep left to Mike Evans for 29 yards (tackle by Cameron Dantzler),3.250,5.830
3,10:53,1,6,MIN 6,6,17,Ronald Jones up the middle for 4 yards (tackle by Todd Davis),5.830,5.720
3,10:14,2,2,MIN 2,6,23,"Tom Brady pass complete short right to Rob Gronkowski for 2 yards, touchdown",5.720,7.000
3,10:09,,,MIN 15,6,23,Ryan Succop kicks extra point no good wide right,0.000,-1.000
3,10:09,,,TAM 35,6,23,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,10:09,1,10,MIN 25,6,23,Kirk Cousins pass incomplete short right intended for Dalvin Cook,0.610,0.060
3,10:05,2,10,MIN 25,6,23,Ameer Abdullah left tackle for 4 yards (tackle by Rakeem Nunez-Roches),0.060,-0.100
3,9:26,3,6,MIN 29,6,23,Kirk Cousins pass complete short left to Tyler Conklin for 14 yards (tackle by Sean Murphy-Bunting),-0.100,1.800
3,8:43,1,10,MIN 43,6,23,Kirk Cousins pass complete short right to C.J. Ham for 8 yards (tackle by Carlton Davis),1.800,2.330
3,8:06,2,2,TAM 49,6,23,Dalvin Cook left guard for no gain (tackle by Rakeem Nunez-Roches and Lavonte David),2.330,1.620
3,7:26,3,2,TAM 49,6,23,Kirk Cousins pass complete short right to C.J. Ham for 9 yards (tackle by Devin White),1.620,2.920
3,6:53,1,10,TAM 40,6,23,Kirk Cousins pass complete short left to C.J. Ham for 5 yards (tackle by Lavonte David),2.920,3.050
3,6:12,2,5,TAM 35,6,23,Dalvin Cook left guard for 4 yards (tackle by William Gholston),3.050,2.870
3,5:26,3,1,TAM 31,6,23,C.J. Ham up the middle for no gain (tackle by William Gholston and Ndamukong Suh),2.870,1.410
3,4:43,4,1,TAM 31,6,23,Dalvin Cook right tackle for 1 yard (tackle by Devin White),1.410,3.580
3,4:04,1,10,TAM 30,6,23,Kirk Cousins up the middle for 4 yards (tackle by Jordan Whitehead),3.580,3.570
3,3:18,2,6,TAM 26,6,23,Kirk Cousins pass incomplete short middle,3.570,2.870
3,3:14,3,6,TAM 26,6,23,"Penalty on Tyler Conklin: False Start, 5 yards (no play)",2.870,2.210
3,3:14,3,11,TAM 31,6,23,Kirk Cousins pass complete short left to Dalvin Cook for 5 yards (tackle by Mike Edwards and Devin White),2.210,1.760
3,2:33,,,,,,Timeout #1 by Minnesota Vikings,,
3,2:33,4,6,TAM 26,6,23,Kirk Cousins pass complete short middle to Tyler Conklin for 7 yards (tackle by Devin White),1.760,4.310
3,1:58,1,10,TAM 19,6,23,"Dalvin Cook left end for 1 yard (tackle by Lavonte David). Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (no play)",4.310,5.300
3,1:43,1,5,TAM 14,12,23,"Kirk Cousins pass complete short right to Irv Smith for 14 yards, touchdown",5.300,7.000
3,1:36,,,TAM 2,14,23,"Two Point Attempt: Kirk Cousins pass complete to Justin Jefferson, conversion succeeds",1.000,1.000
3,1:36,,,MIN 35,14,23,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,1:36,1,10,TAM 25,14,23,"Penalty on Ali Marpet: False Start, 5 yards (no play)",0.610,0.280
3,1:36,1,15,TAM 20,14,23,Tom Brady pass incomplete short left intended for Mike Evans,0.280,-0.610
3,1:30,2,15,TAM 20,14,23,Tom Brady pass complete short middle to Antonio Brown for 11 yards (tackle by Jeff Gladney),-0.610,0.170
3,0:57,3,4,TAM 31,14,23,Tom Brady pass incomplete short right intended for Scott Miller (defended by Eric Wilson),0.170,-1.310
3,0:53,4,4,TAM 31,14,23,Bradley Pinion punts 47 yards out of bounds,-1.310,-0.410
3,0:45,1,10,MIN 22,14,23,Kirk Cousins pass complete deep left to Irv Smith for 25 yards (tackle by Antoine Winfield),0.410,2.060
Quarter,Time,Down,ToGo,Location,MIN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 47,14,23,Dalvin Cook up the middle for 4 yards (tackle by Antoine Winfield),2.060,2.060
4,14:29,2,6,TAM 49,14,23,Kirk Cousins up the middle for 10 yards (tackle by Carlton Davis),2.060,2.980
4,13:46,1,10,TAM 39,14,23,Kirk Cousins pass complete short left to Irv Smith for 9 yards (tackle by Lavonte David),2.980,3.660
4,13:04,2,1,TAM 30,14,23,Kirk Cousins pass complete short right to Tyler Conklin for 2 yards (tackle by Carlton Davis),3.660,3.710
4,12:25,1,10,TAM 28,14,23,Dalvin Cook up the middle for 7 yards (tackle by Lavonte David),3.710,4.110
4,11:50,2,3,TAM 21,14,23,Dalvin Cook right guard for 1 yard (tackle by Rakeem Nunez-Roches),4.110,3.530
4,11:10,3,2,TAM 20,14,23,Kirk Cousins up the middle for 12 yards (tackle by Antoine Winfield),3.530,5.370
4,10:33,1,8,TAM 8,14,23,Kirk Cousins pass incomplete short left,5.370,4.570
4,10:28,2,8,TAM 8,14,23,"Kirk Cousins sacked by Antoine Winfield for -12 yards. Kirk Cousins fumbles (forced by Antoine Winfield), recovered by Kirk Cousins at TB-20",4.570,2.340
4,9:47,3,20,TAM 20,14,23,Kirk Cousins sacked by Shaquil Barrett for -8 yards,2.340,1.590
4,9:04,4,28,TAM 28,14,23,Dan Bailey 46 yard field goal no good,1.590,-1.330
4,9:00,1,10,TAM 36,14,23,Ronald Jones right tackle for 2 yards (tackle by Todd Davis and Armon Watts),1.330,1.060
4,8:27,2,8,TAM 38,14,23,Tom Brady pass incomplete short middle intended for Antony Auclair (defended by Cameron Dantzler),1.060,0.370
4,8:22,3,8,TAM 38,14,23,Tom Brady pass complete short left to Antonio Brown for 10 yards (tackle by Chris Jones),0.370,2.130
4,7:58,1,10,TAM 48,14,23,Ronald Jones right end for 16 yards (tackle by Harrison Smith),2.130,3.180
4,7:21,1,10,MIN 36,14,23,Ronald Jones up the middle for 3 yards (tackle by D.J. Wonnum and Shamar Stephen),3.180,3.040
4,6:43,2,7,MIN 33,14,23,Ke'Shawn Vaughn up the middle for -3 yards (tackle by D.J. Wonnum),3.040,1.950
4,6:06,3,10,MIN 36,14,23,Tom Brady pass complete short right to Antonio Brown for 6 yards (tackle by Jeff Gladney and Harrison Smith),1.950,1.460
4,5:20,4,4,MIN 30,14,26,Ryan Succop 48 yard field goal good,1.460,3.000
4,5:16,,,TAM 35,14,26,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,5:16,1,10,MIN 25,14,26,Kirk Cousins pass incomplete short right intended for Dalvin Cook,0.610,0.060
4,5:12,2,10,MIN 25,14,26,Kirk Cousins pass incomplete short middle intended for Justin Jefferson. Penalty on Garrett Bradbury: Offensive Holding (Declined),0.060,-0.620
4,5:06,3,10,MIN 25,14,26,Kirk Cousins pass complete short middle to Ameer Abdullah for 4 yards (tackle by Devin White),-0.620,-1.440
4,4:28,4,6,MIN 29,14,26,Kirk Cousins pass complete short middle to Justin Jefferson for 12 yards (tackle by Antoine Winfield),-1.440,1.660
4,4:06,1,10,MIN 41,14,26,Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by Lavonte David and Mike Edwards),1.660,1.800
4,3:43,2,5,MIN 46,14,26,Kirk Cousins pass incomplete short middle intended for Chad Beebe,1.800,1.090
4,3:40,3,5,MIN 46,14,26,Kirk Cousins pass incomplete short right intended for Chad Beebe (defended by Lavonte David),1.090,-0.320
4,3:36,,,,,,Timeout #2 by Minnesota Vikings,,
4,3:36,4,5,MIN 46,14,26,Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Devin White),-0.320,2.590
4,3:09,1,10,TAM 45,14,26,Dalvin Cook left end for 7 yards (tackle by Devin White),2.590,2.990
4,3:03,2,3,TAM 38,14,26,Kirk Cousins sacked by Pat O'Connor for -10 yards,2.990,0.960
4,2:20,3,13,TAM 48,14,26,Kirk Cousins pass incomplete deep middle intended for Tajae Sharpe,0.960,0.070
4,2:14,4,13,TAM 48,14,26,"Kirk Cousins sacked by Jason Pierre-Paul for -8 yards. Kirk Cousins fumbles (forced by Jason Pierre-Paul), recovered by Jason Pierre-Paul at MIN-44 (tackle by Brian O'Neill)",0.070,-2.650
4,2:05,1,10,MIN 44,14,26,Ronald Jones up the middle for 7 yards (tackle by Ifeadi Odenigbo),2.650,3.060
4,1:59,2,3,MIN 37,14,26,Ronald Jones up the middle for 14 yards (tackle by Harrison Smith),3.060,4.040
4,1:53,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:53,1,10,MIN 23,14,26,Tom Brady kneels for -1 yards,4.040,3.360
4,1:12,2,11,MIN 24,14,26,Tom Brady kneels for no gain,3.360,2.680
4,0:36,3,11,MIN 24,14,26,Tom Brady kneels for -1 yards,2.680,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
