Quarter,Time,Tm,Detail,SFO,LAR
1.0,0:09,Rams,Matthew Stafford 1 yard rush (Matt Gay kick),0,7
2.0,12:10,49ers,Brandon Aiyuk 34 yard pass from Christian McCaffrey (Robbie Gould kick),7,7
,6:35,Rams,Cooper Kupp 16 yard pass from Matthew Stafford (Matt Gay kick),7,14
,1:00,49ers,Robbie Gould 29 yard field goal,10,14
3.0,1:51,49ers,Christian McCaffrey 9 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,14
4.0,12:07,49ers,Christian McCaffrey 1 yard rush (Robbie Gould kick),24,14
,6:41,49ers,George Kittle 7 yard pass from Jimmy Garoppolo (Robbie Gould kick),31,14
