Unnamed: 0,SFO,LAR
First Downs,22,16
Rush-Yds-TDs,23-111-1,21-56-1
Cmp-Att-Yd-TD-INT,22-26-269-3-0,22-33-187-1-0
Sacked-Yards,3-12,2-20
Net Pass Yards,257,167
Total Yards,368,223
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,3-8,4-50
Third Down Conv.,5-9,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,29:56,30:04
