Unnamed: 0,SDG,PHI
First Downs,15,22
Rush-Yds-TDs,20-21-0,14-24-0
Cmp-Att-Yd-TD-INT,23-40-299-2-2,35-54-287-1-2
Sacked-Yards,3-29,3-25
Net Pass Yards,270,262
Total Yards,291,286
Fumbles-Lost,2-1,0-0
Turnovers,3,2
Penalties-Yards,9-72,10-72
Third Down Conv.,5-15,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,28:47,31:13
