Unnamed: 0,TAM,CAR
First Downs,21,26
Rush-Yds-TDs,24-86-1,37-299-4
Cmp-Att-Yd-TD-INT,24-38-321-2-0,14-20-173-1-2
Sacked-Yards,5-23,1-8
Net Pass Yards,298,165
Total Yards,384,464
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,5-34,4-26
Third Down Conv.,6-14,8-10
Fourth Down Conv.,1-2,0-0
Time of Possession,30:28,29:32
