Quarter,Time,Tm,Detail,TAM,CAR
1.0,8:50,Panthers,John Kasay 33 yard field goal,0,3
2.0,6:35,Buccaneers,Matt Bryant 20 yard field goal,3,3
,1:56,Panthers,Jonathan Stewart 2 yard rush (John Kasay kick),3,10
3.0,11:23,Buccaneers,Antonio Bryant 50 yard pass from Jeff Garcia (Matt Bryant kick),10,10
,8:19,Panthers,Steve Smith Sr. 38 yard pass from Jake Delhomme (John Kasay kick),10,17
,3:37,Buccaneers,Cadillac Williams 4 yard rush (Matt Bryant kick),17,17
4.0,13:21,Panthers,Jonathan Stewart 4 yard rush (John Kasay kick),17,24
,8:30,Panthers,DeAngelo Williams 16 yard rush (John Kasay kick),17,31
,2:29,Buccaneers,Antonio Bryant 15 yard pass from Jeff Garcia (Matt Bryant kick failed),23,31
,2:07,Panthers,DeAngelo Williams 36 yard rush (John Kasay kick),23,38
