Quarter,Time,Down,ToGo,Location,OAK,BAL,Detail,EPB,EPA
2,7:40,2,6,OAK 24,7,3,Derek Carr pass complete short left to Lee Smith for 1 yard (tackle by Jimmy Smith),0.270,-0.300
2,7:03,3,5,OAK 25,7,3,Derek Carr pass complete deep middle to Michael Crabtree for 16 yards (tackle by Shareece Wright),-0.300,1.660
2,6:38,1,10,OAK 41,7,3,Latavius Murray right tackle for 4 yards (tackle by Zach Orr and Timmy Jernigan),1.660,1.660
2,6:21,2,6,OAK 45,7,3,Derek Carr pass complete short left to Seth Roberts for 7 yards (tackle by Jerraud Powers),1.660,2.390
2,6:00,1,10,BAL 48,7,3,Derek Carr pass complete short left to Latavius Murray for 4 yards (tackle by Albert McClellan and C.J. Mosley),2.390,2.390
2,5:14,2,6,BAL 44,7,3,Derek Carr pass complete short middle to Amari Cooper for 11 yards (tackle by Jimmy Smith),2.390,3.380
2,4:38,1,10,BAL 33,7,3,DeAndre Washington left end for 28 yards (tackle by Lardarius Webb),3.380,6.060
2,4:14,1,5,BAL 5,13,3,"Derek Carr pass complete short right to Michael Crabtree for 5 yards, touchdown",6.060,7.000
2,4:14,,,BAL 5,14,3,Sebastian Janikowski kicks extra point good,0.000,0.000
2,4:14,,,OAK 35,14,3,"Sebastian Janikowski kicks off 67 yards, returned by Devin Hester for 18 yards (tackle by Ben Heeney)",0.000,0.140
2,4:05,1,10,BAL 16,14,3,Joe Flacco pass incomplete short middle intended for Javorius Allen,-0.140,-0.140
2,4:02,1,10,BAL 16,14,3,Timeout #1 by Oakland Raiders,-0.140,-0.660
2,4:02,2,10,BAL 16,14,3,Joe Flacco pass complete short left to Steve Smith for 3 yards (tackle by Malcolm Smith),-0.660,-0.950
2,3:23,3,7,BAL 19,14,3,Joe Flacco pass incomplete deep left intended for Mike Wallace (defended by Sean Smith),-0.950,-2.140
2,3:11,4,7,BAL 19,14,3,"Sam Koch punts 56 yards, returned by T.J. Carrie for 18 yards (tackle by Albert McClellan)",-2.140,-1.800
2,3:05,1,10,OAK 43,14,3,Derek Carr pass complete short middle to Michael Crabtree for 5 yards (tackle by Lardarius Webb),1.800,1.930
2,2:25,2,5,OAK 48,14,3,DeAndre Washington right tackle for -1 yards (tackle by Brent Urban),1.930,1.090
2,2:00,3,6,OAK 47,14,3,"Derek Carr middle for 7 yards (tackle by Eric Weddle). Penalty on Vadal Alexander: Offensive Holding, 10 yards (no play)",1.090,-0.230
2,1:52,3,16,OAK 37,14,3,Jalen Richard middle for 9 yards (tackle by C.J. Mosley and Eric Weddle),-0.230,-0.230
2,1:43,3,16,OAK 37,14,3,Timeout #1 by Baltimore Ravens,-0.230,-0.320
2,1:43,4,7,OAK 46,14,3,"Marquette King punts 42 yards, fair catch by Devin Hester",-0.320,0.350
2,1:37,1,10,BAL 12,14,3,Joe Flacco pass incomplete short middle intended for Breshad Perriman (defended by Sean Smith),-0.350,-0.780
2,1:32,2,10,BAL 12,14,3,Joe Flacco pass complete short right to Steve Smith for 3 yards (tackle by D.J. Hayden),-0.780,-1.070
2,1:10,3,7,BAL 15,14,3,Joe Flacco pass complete short middle to Breshad Perriman for 15 yards (tackle by Sean Smith),-1.070,-1.070
2,1:02,3,7,BAL 15,14,3,Timeout #2 by Baltimore Ravens,-1.070,0.940
2,1:02,1,10,BAL 30,14,3,Joe Flacco pass complete short right to Breshad Perriman for 8 yards (tackle by David Amerson),0.940,1.470
2,0:44,2,2,BAL 38,14,3,Joe Flacco pass complete short middle to Kyle Juszczyk for 17 yards (tackle by Cory James and Karl Joseph),1.470,1.470
2,0:37,2,2,BAL 38,14,3,Timeout #3 by Baltimore Ravens,1.470,2.590
2,0:37,1,10,OAK 45,14,3,Joe Flacco pass complete short middle to Steve Smith for 20 yards (tackle by Reggie Nelson),2.590,3.910
2,0:18,1,10,OAK 25,14,3,Joe Flacco spiked the ball,3.910,3.360
2,0:18,2,10,OAK 25,14,3,Joe Flacco pass incomplete deep right intended for Chris Moore (defended by Karl Joseph),3.360,2.680
2,0:12,3,10,OAK 25,14,3,Joe Flacco pass incomplete short right intended for Mike Wallace,2.680,1.800
2,0:08,4,10,OAK 25,14,6,Justin Tucker 43 yard field goal good,1.800,3.000
2,0:08,,,BAL 35,14,6,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,0:03,1,10,OAK 25,14,6,Derek Carr middle for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,OAK,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,14,6,"Sebastian Janikowski kicks off 65 yards, returned by Devin Hester for 24 yards (tackle by T.J. Carrie). Devin Hester fumbles, recovered by Devin Hester at BAL-24",0.000,-0.540
3,14:51,1,10,BAL 24,14,6,Terrance West right guard for 1 yard (tackle by Bruce Irvin),0.540,0.130
3,14:19,2,9,BAL 25,14,6,Joe Flacco pass complete short middle to Mike Wallace for 12 yards (tackle by Malcolm Smith),0.130,1.400
3,13:45,1,10,BAL 37,14,6,Terrance West right guard for 5 yards (tackle by Malcolm Smith),1.400,1.530
3,13:01,2,5,BAL 42,14,6,Joe Flacco pass complete short right to Javorius Allen for 8 yards (tackle by Reggie Nelson and Khalil Mack),1.530,2.260
3,12:24,1,10,BAL 50,14,6,"Terrance West right tackle for 4 yards (tackle by David Amerson). Penalty on Jeremy Zuttah: Offensive Holding, 10 yards",2.260,1.860
3,11:59,1,16,BAL 44,14,6,Joe Flacco pass complete short right to Breshad Perriman for 1 yard (tackle by David Amerson),1.860,1.040
3,11:21,2,15,BAL 45,14,6,Joe Flacco pass incomplete short left intended for Mike Wallace,1.040,0.370
3,11:13,3,15,BAL 45,14,6,Joe Flacco pass complete short middle to Kyle Juszczyk for 5 yards (tackle by Cory James),0.370,-0.060
3,10:47,4,10,BAL 50,14,6,"Sam Koch punts 42 yards, fair catch by T.J. Carrie. Penalty on Kamar Aiken: Fair Catch Interference, 15 yards",-0.060,-0.480
3,10:38,1,10,OAK 23,14,6,Derek Carr pass incomplete short middle intended for Clive Walford,0.480,-0.070
3,10:33,2,10,OAK 23,14,6,Derek Carr pass incomplete deep right intended for Michael Crabtree,-0.070,-0.760
3,10:27,3,10,OAK 23,14,6,"Penalty on Vadal Alexander: False Start, 5 yards (no play)",-0.760,-1.560
3,10:27,3,15,OAK 18,14,6,Derek Carr pass complete short middle to Jalen Richard for 5 yards (tackle by Tavon Young),-1.560,-1.830
3,9:53,4,10,OAK 23,14,6,"Marquette King punts 62 yards, returned by Devin Hester for 13 yards (tackle by Andre Holmes)",-1.830,-0.810
3,9:41,1,10,BAL 28,14,6,Joe Flacco pass incomplete,0.810,0.260
3,9:36,2,10,BAL 28,14,6,Terrance West right end for 12 yards (tackle by David Amerson and Cory James),0.260,1.600
3,8:56,1,10,BAL 40,14,6,"Terrance West middle for 14 yards (tackle by Cory James). Terrance West fumbles (forced by Cory James), recovered by Jeremy Zuttah at OAK-44",1.600,2.650
3,8:26,1,10,OAK 44,14,6,"Joe Flacco pass complete short left to Javorius Allen for no gain. Penalty on Sean Smith: Defensive Holding, 5 yards (no play)",2.650,2.980
3,7:56,1,10,OAK 39,14,6,Terrance West middle for 5 yards (tackle by Reggie Nelson),2.980,3.120
3,7:20,2,5,OAK 34,14,6,Joe Flacco pass complete short middle to Crockett Gillmore for 6 yards (tackle by Karl Joseph),3.120,3.710
3,6:44,1,10,OAK 28,14,6,Terrance West right tackle for 2 yards (tackle by Khalil Mack),3.710,3.440
3,6:01,2,8,OAK 26,14,6,Joe Flacco pass complete short middle to Crockett Gillmore for 10 yards (tackle by Malcolm Smith),3.440,4.510
3,5:25,1,10,OAK 16,14,6,Javorius Allen left guard for 5 yards (tackle by Jihad Ward and Karl Joseph),4.510,4.510
3,4:48,1,10,OAK 16,14,6,Timeout #1 by Oakland Raiders,4.510,4.760
3,4:48,2,5,OAK 11,14,6,Terrance West right end for 9 yards (tackle by Ben Heeney),4.760,4.760
3,4:04,2,5,OAK 11,14,6,Timeout #1 by Baltimore Ravens,4.760,6.740
3,4:04,1,2,OAK 2,14,6,Terrance West right guard for no gain (tackle by Dan Williams),6.740,5.720
3,3:28,2,2,OAK 2,14,6,Joe Flacco pass incomplete short left intended for Kyle Juszczyk,5.720,4.950
3,3:22,3,2,OAK 2,14,6,Joe Flacco pass complete short right to Kyle Juszczyk for 1 yard (tackle by Jihad Ward and Khalil Mack),4.950,3.550
3,2:46,4,1,OAK 1,14,12,"Joe Flacco right guard for 1 yard, touchdown",3.550,7.000
3,2:46,4,,OAK 1,14,12,"Two Point Attempt: Joe Flacco pass incomplete intended for Steve Smith, conversion fails",3.550,-1.000
3,2:46,,,BAL 35,14,12,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
3,2:41,1,10,OAK 25,14,12,Latavius Murray left end for 1 yard (tackle by Albert McClellan),0.610,0.200
3,2:00,2,9,OAK 26,14,12,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Shareece Wright),0.200,-0.490
3,1:55,3,9,OAK 26,14,12,Derek Carr pass complete short right to Seth Roberts for -1 yards (tackle by Zach Orr),-0.490,-1.700
3,1:22,4,10,OAK 25,14,12,"Marquette King punts 52 yards, out of bounds",-1.700,-0.480
3,1:14,1,10,BAL 23,14,12,Joe Flacco pass complete short right to Kyle Juszczyk for 11 yards (tackle by Cory James),0.480,1.200
3,0:30,1,10,BAL 34,14,12,Terrance West right tackle for 4 yards (tackle by Ben Heeney),1.200,1.200
Quarter,Time,Down,ToGo,Location,OAK,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,BAL 38,14,12,Joe Flacco pass incomplete short left intended for Chris Moore,1.200,0.500
4,14:57,3,6,BAL 38,14,12,"Joe Flacco sacked by Bruce Irvin for -8 yards. Joe Flacco fumbles (forced by Bruce Irvin), recovered by Denico Autry at BAL-29 (tackle by Ryan Jensen)",0.500,-3.640
4,14:48,1,10,BAL 29,14,12,Derek Carr pass complete short right to DeAndre Washington for 7 yards (tackle by C.J. Mosley),3.640,4.050
4,14:12,2,3,BAL 22,14,12,DeAndre Washington left guard for 2 yards (tackle by Zach Orr),4.050,3.600
4,13:29,3,1,BAL 20,14,12,"Latavius Murray right end for -5 yards (tackle by Za'Darius Smith and Eric Weddle). Penalty on Gabe Jackson: Unnecessary Roughness, 16 yards (no play)",3.600,1.490
4,13:06,3,17,BAL 36,14,12,Derek Carr pass complete short left to Amari Cooper for 16 yards (tackle by Tavon Young),1.490,2.270
4,12:42,4,1,BAL 20,14,12,"Derek Carr middle for no gain (tackle by Zach Orr). Penalty on Brandon Williams: Defensive Offside, 5 yards (no play)",2.270,4.580
4,12:42,1,10,BAL 15,14,12,Derek Carr pass complete short left to Latavius Murray for 1 yard (tackle by Terrell Suggs),4.580,4.110
4,12:01,2,9,BAL 14,14,12,Latavius Murray left guard for 1 yard (tackle by Terrell Suggs),4.110,3.400
4,11:19,3,8,BAL 13,20,12,"Derek Carr pass complete short middle to Michael Crabtree for 13 yards, touchdown",3.400,7.000
4,11:19,,,BAL 13,21,12,Sebastian Janikowski kicks extra point good,0.000,0.000
4,11:19,,,OAK 35,21,12,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
4,11:11,1,10,BAL 25,21,12,Terrance West left guard for 2 yards (tackle by Cory James),0.610,0.330
4,10:44,2,8,BAL 27,21,12,Joe Flacco pass complete short left to Mike Wallace for 6 yards,0.330,0.430
4,10:21,3,2,BAL 33,21,12,Joe Flacco pass complete short right to Dennis Pitta for 10 yards (tackle by Karl Joseph),0.430,1.800
4,9:58,1,10,BAL 43,21,12,Javorius Allen left guard for 4 yards (tackle by Stacy McGee),1.800,1.790
4,9:33,2,6,BAL 47,21,12,"Joe Flacco pass incomplete deep left intended for Mike Wallace (defended by Sean Smith). Penalty on Ryan Jensen: Offensive Holding, 10 yards (no play)",1.790,0.440
4,9:24,2,16,BAL 37,21,12,Joe Flacco sacked by Khalil Mack for -7 yards,0.440,-1.150
4,8:43,3,23,BAL 30,21,12,Joe Flacco pass complete short right to Kamar Aiken for 8 yards (tackle by D.J. Hayden and Karl Joseph),-1.150,-0.850
4,8:14,4,15,BAL 38,21,12,"Sam Koch punts 34 yards, out of bounds",-0.850,-0.810
4,8:08,1,10,OAK 28,21,12,Derek Carr pass complete short right to Mychal Rivera for 1 yard (tackle by Zach Orr),0.810,0.400
4,7:20,2,9,OAK 29,21,12,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",0.400,-0.280
4,7:01,2,14,OAK 24,21,12,Derek Carr pass incomplete short right intended for Michael Crabtree,-0.280,-0.960
4,6:54,3,14,OAK 24,21,12,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Shareece Wright),-0.960,-1.770
4,6:50,4,14,OAK 24,21,12,"Marquette King punts 53 yards, returned by Devin Hester for 20 yards (tackle by Andre Holmes). Penalty on Andre Holmes: Player Out of Bounds on Punt, 5 yards",-1.770,-2.130
4,6:38,1,10,BAL 48,21,18,"Joe Flacco pass complete short middle to Steve Smith for 52 yards, touchdown",2.130,7.000
4,6:38,,,OAK 48,21,19,Justin Tucker kicks extra point good,0.000,0.000
4,6:38,,,BAL 35,21,19,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,6:27,1,10,OAK 25,21,19,Latavius Murray right tackle for 2 yards (tackle by C.J. Mosley),0.610,0.330
4,5:50,2,8,OAK 27,21,19,"Derek Carr pass incomplete short left intended for Amari Cooper. Penalty on Vadal Alexander: Offensive Holding, 10 yards (no play)",0.330,-1.150
4,5:42,2,18,OAK 17,21,19,"DeAndre Washington middle for no gain (tackle by Lawrence Guy). DeAndre Washington fumbles (forced by Lawrence Guy), recovered by Tavon Young at OAK-17 (tackle by Kelechi Osemele)",-1.150,-4.440
4,5:35,1,10,OAK 17,21,19,Terrance West right tackle for 5 yards (tackle by Daren Bates),4.440,4.690
4,4:53,2,5,OAK 12,21,19,Terrance West left guard for 2 yards (tackle by Stacy McGee and Daren Bates),4.690,4.340
4,4:26,3,3,OAK 10,21,19,Joe Flacco pass complete short right to Kyle Juszczyk for 7 yards (tackle by Reggie Nelson),4.340,6.510
4,3:41,1,3,OAK 3,21,25,"Terrance West right tackle for 3 yards, touchdown",6.510,7.000
4,3:41,1,,OAK 3,21,27,"Two Point Attempt: Joe Flacco pass complete to Mike Wallace, conversion succeeds. Penalty on Mike Wallace: Unnecessary Roughness (Declined), Penalty on Mike Wallace: Taunting, 15 yards",6.510,1.000
4,3:41,,,BAL 20,21,27,"Justin Tucker kicks off 72 yards, returned by Jalen Richard for 26 yards (tackle by Kyle Juszczyk)",0.000,-1.200
4,3:31,1,10,OAK 34,21,27,Derek Carr pass complete short middle to Michael Crabtree for 15 yards (tackle by C.J. Mosley),1.200,2.190
4,2:59,1,10,OAK 49,21,27,Derek Carr pass complete short right to Michael Crabtree for 11 yards,2.190,2.920
4,2:53,1,10,BAL 40,21,27,Derek Carr pass incomplete short middle intended for Jalen Richard,2.920,2.370
4,2:49,2,10,BAL 40,21,27,Derek Carr pass complete short middle to Clive Walford for 17 yards (tackle by Zach Orr),2.370,4.040
4,2:25,1,10,BAL 23,21,27,Derek Carr pass incomplete deep middle intended for Clive Walford (defended by Eric Weddle),4.040,3.500
4,2:12,2,10,BAL 23,27,27,"Derek Carr pass complete deep right to Michael Crabtree for 23 yards, touchdown",3.500,7.000
4,2:12,,,BAL 23,28,27,Sebastian Janikowski kicks extra point good,0.000,0.000
4,2:12,,,OAK 35,28,27,"Sebastian Janikowski kicks off 65 yards, returned by Devin Hester for 21 yards (tackle by Brynden Trawick)",0.000,-0.340
4,2:07,1,10,BAL 21,28,27,Terrance West left guard for 18 yards (tackle by Karl Joseph),0.340,1.530
4,1:59,1,10,BAL 39,28,27,Terrance West right guard for 1 yard (tackle by Cory James),1.530,1.120
4,1:36,2,9,BAL 40,28,27,Joe Flacco pass complete short middle to Steve Smith for 5 yards (tackle by Cory James),1.120,1.090
4,1:08,3,4,BAL 45,28,27,Joe Flacco pass complete short right to Steve Smith for 5 yards (tackle by D.J. Hayden),1.090,1.090
4,1:02,3,4,BAL 45,28,27,Timeout #2 by Baltimore Ravens,1.090,2.260
4,1:02,1,10,OAK 50,28,27,Joe Flacco pass incomplete short left intended for Chris Moore,2.260,1.710
4,0:58,2,10,OAK 50,28,27,Joe Flacco pass incomplete short middle intended for Breshad Perriman (defended by Reggie Nelson),1.710,1.030
4,0:53,3,10,OAK 50,28,27,Joe Flacco pass incomplete short left intended for Dennis Pitta,1.030,-0.060
4,0:48,4,10,OAK 50,28,27,Joe Flacco pass incomplete short middle intended for Kamar Aiken (defended by Reggie Nelson),-0.060,-2.260
4,0:43,1,10,OAK 50,28,27,Derek Carr kneels for no gain,2.260,1.710
4,0:12,2,10,OAK 50,28,27,Derek Carr kneels for -1 yards,1.710,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
