Unnamed: 0,OAK,BAL
First Downs,13,25
Rush-Yds-TDs,19-62-0,26-130-2
Cmp-Att-Yd-TD-INT,25-35-199-4-0,32-52-298-1-0
Sacked-Yards,0-0,2-16
Net Pass Yards,199,282
Total Yards,261,412
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,12-93,10-105
Third Down Conv.,3-12,5-17
Fourth Down Conv.,0-0,1-2
Time of Possession,25:16,34:44
