Quarter,Time,Tm,Detail,OAK,BAL
1.0,1:25,Raiders,Seth Roberts 6 yard pass from Derek Carr (Sebastian Janikowski kick),7,0
2.0,12:51,Ravens,Justin Tucker 24 yard field goal,7,3
,4:09,Raiders,Michael Crabtree 5 yard pass from Derek Carr (Sebastian Janikowski kick),14,3
,0:03,Ravens,Justin Tucker 43 yard field goal,14,6
3.0,2:41,Ravens,Joe Flacco 1 yard rush (pass failed),14,12
4.0,11:11,Raiders,Michael Crabtree 13 yard pass from Derek Carr (Sebastian Janikowski kick),21,12
,6:27,Ravens,Steve Smith Sr. 52 yard pass from Joe Flacco (Justin Tucker kick),21,19
,3:36,Ravens,Terrance West 3 yard rush (Mike Wallace pass from Joe Flacco),21,27
,2:12,Raiders,Michael Crabtree 23 yard pass from Derek Carr (Sebastian Janikowski kick),28,27
