Unnamed: 0,NOR,MIA
First Downs,22,17
Rush-Yds-TDs,27-138-3,30-137-4
Cmp-Att-Yd-TD-INT,22-38-298-1-3,18-37-211-0-2
Sacked-Yards,5-22,2-14
Net Pass Yards,276,197
Total Yards,414,334
Fumbles-Lost,2-1,1-1
Turnovers,4,3
Penalties-Yards,6-25,8-55
Third Down Conv.,5-15,8-18
Fourth Down Conv.,0-0,0-1
Time of Possession,33:02,26:58
