Quarter,Time,Tm,Detail,STL,WAS
1.0,5:55,Rams,Troy Edwards 4 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
2.0,10:43,Rams,Jeff Wilkins 30 yard field goal,10,0
,3:22,Redskins,Stephen Davis 1 yard rush (James Tuthill kick),10,7
3.0,10:09,Redskins,Stephen Davis 3 yard rush (James Tuthill kick),10,14
,6:54,Redskins,Stephen Davis 5 yard rush (James Tuthill kick failed),10,20
4.0,6:08,Rams,Ricky Proehl 5 yard pass from Kurt Warner (Jeff Wilkins kick),17,20
