Unnamed: 0,STL,WAS
First Downs,25,21
Rush-Yds-TDs,17-84-0,39-127-3
Cmp-Att-Yd-TD-INT,34-49-301-2-1,16-24-235-0-0
Sacked-Yards,3-21,0-0
Net Pass Yards,280,235
Total Yards,364,362
Fumbles-Lost,3-1,3-0
Turnovers,2,0
Penalties-Yards,8-65,4-40
Third Down Conv.,9-13,7-12
Fourth Down Conv.,0-0,1-2
Time of Possession,28:44,31:16
