Unnamed: 0,TAM,SFO
First Downs,13,9
Rush-Yds-TDs,20-43-0,39-158-0
Cmp-Att-Yd-TD-INT,21-34-264-1-2,8-19-50-0-0
Sacked-Yards,5-32,0-0
Net Pass Yards,232,50
Total Yards,275,208
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,8-65,7-65
Third Down Conv.,3-14,2-16
Fourth Down Conv.,0-0,0-0
Time of Possession,29:43,30:17
