Unnamed: 0,MIN,PHI
First Downs,19,21
Rush-Yds-TDs,23-77-0,17-81-0
Cmp-Att-Yd-TD-INT,30-37-301-1-0,24-35-311-2-0
Sacked-Yards,1-3,3-28
Net Pass Yards,298,283
Total Yards,375,364
Fumbles-Lost,2-1,2-2
Turnovers,1,2
Penalties-Yards,4-23,8-52
Third Down Conv.,4-11,2-9
Fourth Down Conv.,0-0,1-1
Time of Possession,32:47,27:13
