Quarter,Time,Tm,Detail,MIN,PHI
1.0,5:02,Vikings,Dan Bailey 37 yard field goal,3,0
2.0,12:24,Eagles,Jake Elliott 30 yard field goal,3,3
,4:12,Vikings,Linval Joseph 64 yard fumble return (Dan Bailey kick),10,3
,0:21,Vikings,Adam Thielen 3 yard pass from Kirk Cousins (Dan Bailey kick),17,3
3.0,7:32,Vikings,Dan Bailey 22 yard field goal,20,3
,2:57,Eagles,Jake Elliott 28 yard field goal,20,6
4.0,12:05,Eagles,Wendell Smallwood 12 yard pass from Carson Wentz (Wendell Smallwood run),20,14
,2:47,Vikings,Dan Bailey 52 yard field goal,23,14
,1:09,Eagles,Zach Ertz 7 yard pass from Carson Wentz (Jake Elliott kick),23,21
