Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Kirk Cousins pass complete short middle to David Morgan for 5 yards (tackle by Jordan Hicks),0.610,0.740
1,14:26,2,5,MIN 30,0,0,Kirk Cousins pass complete short right to Stefon Diggs for 7 yards (tackle by Jalen Mills),0.740,1.400
1,14:06,1,10,MIN 37,0,0,Kirk Cousins pass complete deep right to Adam Thielen for 24 yards (tackle by Avonte Maddox),1.400,2.980
1,13:21,1,10,PHI 39,0,0,Roc Thomas right end for 6 yards (tackle by Avonte Maddox),2.980,3.250
1,12:39,2,4,PHI 33,0,0,Kirk Cousins right end for 3 yards,3.250,2.940
1,12:03,3,1,PHI 30,0,0,Latavius Murray left guard for 1 yard (tackle by Sidney Jones),2.940,3.640
1,11:23,1,10,PHI 29,0,0,Stefon Diggs right end for 5 yards (tackle by Jalen Mills),3.640,3.780
1,10:48,2,5,PHI 24,0,0,Roc Thomas right end for 6 yards (tackle by Jordan Hicks),3.780,4.370
1,10:10,1,10,PHI 18,0,0,Kirk Cousins pass complete short left to Stefon Diggs for 6 yards (tackle by Ronald Darby),4.370,4.810
1,9:30,2,4,PHI 12,0,0,Kirk Cousins pass complete short left to Stefon Diggs for 2 yards (tackle by Nigel Bradham),4.810,4.510
1,8:47,3,2,PHI 10,0,0,Kirk Cousins pass incomplete short left intended for Roc Thomas (defended by Brandon Graham),4.510,2.890
1,8:43,4,2,PHI 10,0,0,Dan Bailey 28 yard field goal no good,2.890,-0.280
1,8:40,1,10,PHI 20,0,0,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Xavier Rhodes),0.280,-0.270
1,8:36,2,10,PHI 20,0,0,Carson Wentz pass complete short left to Zach Ertz for 3 yards (tackle by Jayron Kearse),-0.270,-0.560
1,7:56,3,7,PHI 23,0,0,Carson Wentz sacked by Linval Joseph for -15 yards,-0.560,-2.490
1,7:15,4,22,PHI 8,0,0,"Cameron Johnston punts 55 yards, returned by Mike Hughes for 13 yards (tackle by Avonte Maddox)",-2.490,-2.260
1,7:04,1,10,MIN 50,0,0,Kirk Cousins pass complete short left to Stefon Diggs for 24 yards (tackle by Avonte Maddox),2.260,3.840
1,6:27,1,10,PHI 26,0,0,Mike Boone left end for 1 yard,3.840,3.430
1,5:51,2,9,PHI 25,0,0,Kirk Cousins pass complete short right to Laquon Treadwell for 6 yards (tackle by Sidney Jones),3.430,3.570
1,5:09,3,3,PHI 19,0,0,Kirk Cousins pass incomplete short right intended for Aldrick Robinson (defended by Jalen Mills),3.570,2.280
1,5:06,4,3,PHI 19,3,0,Dan Bailey 37 yard field goal good,2.280,3.000
1,5:02,,,MIN 35,3,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,5:02,1,10,PHI 25,3,0,Carson Wentz pass complete short right to Zach Ertz for 4 yards (tackle by Mike Hughes),0.610,0.600
1,4:28,2,6,PHI 29,3,0,Wendell Smallwood right tackle for 5 yards (tackle by Linval Joseph and Sheldon Richardson),0.600,0.560
1,3:45,3,1,PHI 34,3,0,Josh Adams left end for -1 yards (tackle by Anthony Barr),0.560,-1.180
1,3:01,4,2,PHI 33,3,0,Cameron Johnston punts 57 yards downed by Avonte Maddox,-1.180,0.380
1,2:51,1,10,MIN 10,3,0,Latavius Murray right end for 2 yards (tackle by Treyvon Hester),-0.380,-0.630
1,2:11,2,8,MIN 12,3,0,Kirk Cousins pass incomplete deep left intended for Stefon Diggs,-0.630,-1.190
1,2:05,3,8,MIN 12,3,0,Kirk Cousins pass complete short left to Laquon Treadwell for 8 yards (tackle by Sidney Jones and Jordan Hicks),-1.190,0.280
1,1:16,1,10,MIN 20,3,0,Latavius Murray right tackle for no gain (tackle by Kamu Grugier-Hill),0.280,-0.270
1,0:34,2,10,MIN 20,3,0,Kirk Cousins sacked by Brandon Graham for -3 yards,-0.270,-1.510
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,MIN 17,3,0,Kirk Cousins pass complete short middle to Kyle Rudolph for 7 yards (tackle by Nigel Bradham). Penalty on Mike Remmers: Illegal Use of Hands (Declined),-1.510,-1.770
2,14:46,4,6,MIN 24,3,0,Matt Wile punts 43 yards downed by Jayron Kearse,-1.770,-1.140
2,14:35,1,10,PHI 33,3,0,Carson Wentz pass complete deep left to Shelton Gibson for 48 yards (tackle by Mike Hughes),1.140,4.310
2,13:56,1,10,MIN 19,3,0,Jay Ajayi right end for 2 yards (tackle by Andrew Sendejo),4.310,4.030
2,13:13,2,8,MIN 17,3,0,Carson Wentz pass complete short left to Dallas Goedert for 5 yards (tackle by Anthony Barr),4.030,4.190
2,12:30,3,3,MIN 12,3,0,Carson Wentz pass incomplete short left intended for Wendell Smallwood,4.190,2.730
2,12:27,4,3,MIN 12,3,3,Jake Elliott 30 yard field goal good,2.730,3.000
2,12:24,,,PHI 35,3,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,12:24,1,10,MIN 25,3,3,Kirk Cousins pass complete short right to C.J. Ham for 7 yards (tackle by Jordan Hicks),0.610,1.010
2,11:39,2,3,MIN 32,3,3,Kirk Cousins pass complete short left to Stefon Diggs for 7 yards (tackle by Michael Bennett),1.010,1.530
2,10:56,1,10,MIN 39,3,3,Latavius Murray up the middle for 2 yards (tackle by Nigel Bradham),1.530,1.260
2,10:16,2,8,MIN 41,3,3,Stefon Diggs left end for 20 yards,1.260,2.980
2,9:39,1,10,PHI 39,3,3,Latavius Murray left tackle for 12 yards (tackle by Malcolm Jenkins),2.980,3.780
2,8:52,1,10,PHI 27,3,3,"Pat Elflein aborted snap, recovered by Kirk Cousins at PHI-32, lateral to Roc Thomas for no gain, lateral to Jordan Hicks for no gain",3.780,3.100
2,8:08,2,11,PHI 28,3,3,"Penalty on Stefon Diggs: False Start, 5 yards (no play)",3.100,2.420
2,7:50,2,16,PHI 33,3,3,Kirk Cousins pass complete short left to Roc Thomas for 6 yards (tackle by Ronald Darby and Nigel Bradham),2.420,2.540
2,7:02,3,10,PHI 27,3,3,Kirk Cousins pass incomplete deep left intended for Adam Thielen,2.540,1.670
2,6:57,4,10,PHI 27,3,3,Dan Bailey 45 yard field goal no good,1.670,-1.270
2,6:53,1,10,PHI 35,3,3,Carson Wentz pass complete short left to Nelson Agholor for 13 yards (tackle by Xavier Rhodes),1.270,2.130
2,6:13,1,10,PHI 48,3,3,Carson Wentz pass complete short left to Jay Ajayi for 5 yards (tackle by Harrison Smith),2.130,2.260
2,5:42,2,5,MIN 47,3,3,Jay Ajayi right end for 5 yards (tackle by Jalyn Holmes),2.260,2.790
2,5:01,1,10,MIN 42,3,3,Carson Wentz pass complete short left to Dallas Goedert for 11 yards (tackle by Xavier Rhodes),2.790,3.510
2,4:24,1,10,MIN 31,9,3,"Carson Wentz sacked by Stephen Weatherly for -5 yards. Carson Wentz fumbles (forced by Stephen Weatherly), recovered by Linval Joseph at MIN-36 and returned for 64 yards, touchdown",3.510,-7.000
2,4:12,,,MIN 35,10,3,"Dan Bailey kicks off 63 yards, returned by DeAndre Carter for no gain (tackle by Eric Wilson)",0.000,0.670
2,4:06,1,10,PHI 26,10,3,Carson Wentz up the middle for 8 yards (tackle by Eric Kendricks),0.670,1.210
2,3:27,2,2,PHI 34,10,3,"Penalty on Jason Peters: False Start, 5 yards (no play)",1.210,0.540
2,3:06,2,7,PHI 29,10,3,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,0.540,-0.160
2,3:01,3,7,PHI 29,10,3,"Penalty on Zach Ertz: False Start, 5 yards (no play)",-0.160,-0.820
2,3:01,3,12,PHI 24,10,3,Carson Wentz pass incomplete deep middle intended for Alshon Jeffery,-0.820,-1.770
2,2:56,4,12,PHI 24,10,3,"Cameron Johnston punts 41 yards, returned by Brandon Zylstra for 9 yards (tackle by Rick Lovato and Malcolm Jenkins)",-1.770,-1.860
2,2:45,1,10,MIN 44,10,3,Kirk Cousins pass complete short middle to Kyle Rudolph for 7 yards (tackle by Jordan Hicks),1.860,2.260
2,2:00,2,3,PHI 49,10,3,Kirk Cousins pass complete short right to Adam Thielen for 2 yards (tackle by Chris Long),2.260,1.820
2,1:18,3,1,PHI 47,10,3,Kirk Cousins pass complete short right to Adam Thielen for 3 yards (tackle by Jordan Hicks),1.820,2.650
2,1:10,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:10,1,10,PHI 44,10,3,Kirk Cousins pass complete short right to Laquon Treadwell for 7 yards (tackle by Jalen Mills),2.650,3.060
2,0:47,2,3,PHI 37,10,3,Kirk Cousins pass complete short left to Adam Thielen for 10 yards (tackle by Sidney Jones),3.060,3.780
