Quarter,Time,Tm,Detail,CAR,CIN
1.0,9:42,Bengals,Joe Mixon 2 yard rush (Evan McPherson kick),0,7
2.0,14:37,Bengals,Joe Burrow 1 yard rush (Evan McPherson kick),0,14
,7:29,Bengals,Joe Mixon 3 yard rush (Evan McPherson kick),0,21
,3:45,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),0,28
,0:04,Bengals,Joe Mixon 12 yard pass from Joe Burrow (Evan McPherson kick),0,35
3.0,10:52,Panthers,Tommy Tremble 8 yard pass from Baker Mayfield (Eddy Pineiro kick),7,35
,4:38,Bengals,Joe Mixon 14 yard rush (Evan McPherson kick),7,42
4.0,7:47,Panthers,Terrace Marshall Jr. 21 yard pass from Baker Mayfield (Eddy Pineiro kick),14,42
,1:29,Panthers,Raheem Blackshear 2 yard rush (Eddy Pineiro kick),21,42
