Unnamed: 0,CAR,CIN
First Downs,13,30
Rush-Yds-TDs,18-64-1,39-241-5
Cmp-Att-Yd-TD-INT,17-30-164-2-2,25-31-228-1-0
Sacked-Yards,0-0,2-5
Net Pass Yards,164,223
Total Yards,228,464
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,7-50,5-35
Third Down Conv.,2-8,6-10
Fourth Down Conv.,1-1,0-0
Time of Possession,20:39,39:21
