Quarter,Time,Tm,Detail,OAK,HOU
1.0,3:40,Raiders,Hunter Renfrow 65 yard pass from Derek Carr (Daniel Carlson kick),7,0
,1:39,Texans,Duke Johnson 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,7
2.0,9:36,Raiders,Darren Waller 8 yard pass from Derek Carr (Daniel Carlson kick),14,7
,1:04,Texans,Ka'imi Fairbairn 33 yard field goal,14,10
3.0,10:28,Texans,Ka'imi Fairbairn 40 yard field goal,14,13
,7:53,Raiders,Tyrell Williams 46 yard pass from Derek Carr (Daniel Carlson kick),21,13
4.0,14:56,Texans,Darren Fells 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,20
,10:48,Raiders,Daniel Carlson 44 yard field goal,24,20
,6:26,Texans,Darren Fells 9 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),24,27
