Unnamed: 0,CLE,CIN
First Downs,19,14
Rush-Yds-TDs,40-134-1,16-69-0
Cmp-Att-Yd-TD-INT,15-24-138-1-1,21-35-156-1-3
Sacked-Yards,1-11,3-14
Net Pass Yards,127,142
Total Yards,261,211
Fumbles-Lost,2-1,2-2
Turnovers,2,5
Penalties-Yards,9-52,6-55
Third Down Conv.,5-13,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,34:02,25:58
