Quarter,Time,Tm,Detail,MIN,ARI
1.0,0:51,Cardinals,Neil Rackers 22 yard field goal,0,3
2.0,0:19,Cardinals,Neil Rackers 26 yard field goal,0,6
3.0,7:08,Vikings,Moe Williams 1 yard rush (Aaron Elling kick),7,6
4.0,8:54,Vikings,Randy Moss 7 yard pass from Daunte Culpepper (Aaron Elling kick),14,6
,6:48,Vikings,Aaron Elling 46 yard field goal,17,6
,1:54,Cardinals,Steve Bush 2 yard pass from Josh McCown (pass failed),17,12
,0:00,Cardinals,Nate Poole 28 yard pass from Josh McCown (run failed),17,18
