Unnamed: 0,MIN,ARI
First Downs,20,15
Rush-Yds-TDs,33-150-1,19-64-0
Cmp-Att-Yd-TD-INT,18-28-197-1-1,20-33-224-2-1
Sacked-Yards,1-5,8-69
Net Pass Yards,192,155
Total Yards,342,219
Fumbles-Lost,2-1,5-0
Turnovers,2,1
Penalties-Yards,7-71,1-5
Third Down Conv.,6-13,3-14
Fourth Down Conv.,0-1,3-3
Time of Possession,31:29,28:31
