Quarter,Time,Tm,Detail,CIN,PIT
1.0,4:45,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),0,7
,3:22,Bengals,T.J. Houshmandzadeh 43 yard pass from Carson Palmer (Shayne Graham kick),7,7
,0:13,Steelers,Quincy Morgan 25 yard pass from Ben Roethlisberger (Jeff Reed kick),7,14
2.0,10:08,Bengals,Reggie Kelly 1 yard pass from Carson Palmer (Shayne Graham kick),14,14
,6:57,Bengals,T.J. Houshmandzadeh 6 yard pass from Carson Palmer (Shayne Graham kick),21,14
,0:00,Steelers,Jeff Reed 23 yard field goal,21,17
3.0,11:01,Bengals,Shayne Graham 30 yard field goal,24,17
,9:05,Steelers,Hines Ward 20 yard pass from Ben Roethlisberger (Jeff Reed kick),24,24
,7:57,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),31,24
4.0,6:09,Bengals,Rudi Johnson 14 yard rush (Shayne Graham kick),38,24
,2:59,Steelers,Hines Ward 6 yard pass from Ben Roethlisberger (Jeff Reed kick),38,31
