Unnamed: 0,CIN,PIT
First Downs,21,28
Rush-Yds-TDs,25-102-2,28-95-1
Cmp-Att-Yd-TD-INT,22-38-227-3-0,29-41-386-3-3
Sacked-Yards,1-5,2-7
Net Pass Yards,222,379
Total Yards,324,474
Fumbles-Lost,0-0,4-1
Turnovers,0,4
Penalties-Yards,4-30,7-70
Third Down Conv.,6-14,6-13
Fourth Down Conv.,0-1,0-1
Time of Possession,26:42,33:18
