Unnamed: 0,SDG,KAN
First Downs,13,19
Rush-Yds-TDs,18-64-0,32-131-2
Cmp-Att-Yd-TD-INT,18-33-202-2-2,21-32-282-1-1
Sacked-Yards,3-34,3-23
Net Pass Yards,168,259
Total Yards,232,390
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,8-55,7-62
Third Down Conv.,3-13,6-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:37,34:23
