Unnamed: 0,MIN,NYG
First Downs,13,17
Rush-Yds-TDs,14-30-0,32-64-1
Cmp-Att-Yd-TD-INT,20-53-190-0-1,23-39-200-1-0
Sacked-Yards,1-14,2-7
Net Pass Yards,176,193
Total Yards,206,257
Fumbles-Lost,2-2,3-1
Turnovers,3,1
Penalties-Yards,3-38,5-72
Third Down Conv.,7-18,7-19
Fourth Down Conv.,0-3,0-0
Time of Possession,23:38,36:22
