Quarter,Time,Tm,Detail,MIN,NYG
1.0,5:24,Giants,Josh Brown 35 yard field goal,0,3
,0:23,Vikings,Marcus Sherels 86 yard punt return (Blair Walsh kick),7,3
2.0,9:33,Giants,Rueben Randle 24 yard pass from Eli Manning (Josh Brown kick),7,10
3.0,8:37,Giants,Peyton Hillis 1 yard rush (Josh Brown kick),7,17
4.0,12:13,Giants,Josh Brown 23 yard field goal,7,20
,11:03,Giants,Josh Brown 36 yard field goal,7,23
