Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Jeff Locke kicks off 60 yards, returned by Jerrel Jernigan for 11 yards (tackle by Andrew Sendejo)",0.000,0.140
1,14:54,1,10,NYG 16,0,0,Eli Manning pass complete short left to John Conner for no gain,-0.140,-0.660
1,14:22,2,10,NYG 16,0,0,Michael Cox right tackle for 5 yards (tackle by Letroy Guion),-0.660,-0.700
1,13:37,3,5,NYG 21,0,0,Eli Manning up the middle for 6 yards (tackle by Jamarca Sanford),-0.700,0.740
1,12:57,1,10,NYG 27,0,0,Michael Cox right guard for 1 yard (tackle by Marvin Mitchell),0.740,0.330
1,12:14,2,9,NYG 28,0,0,Eli Manning pass complete short middle to Peyton Hillis for 12 yards (tackle by Erin Henderson),0.330,1.600
1,11:35,1,10,NYG 40,0,0,Michael Cox up the middle for -2 yards (tackle by Marvin Mitchell),1.600,0.780
1,10:59,2,12,NYG 38,0,0,Eli Manning pass complete short left to Victor Cruz for 13 yards (tackle by Erin Henderson),0.780,2.320
1,10:22,1,10,MIN 49,0,0,Eli Manning pass complete short right to Michael Cox for 1 yard (tackle by Chad Greenway and Marvin Mitchell),2.320,1.920
1,9:39,2,9,MIN 48,0,0,Michael Cox right tackle for 6 yards (tackle by Erin Henderson and Marvin Mitchell),1.920,2.020
1,8:57,3,3,MIN 42,0,0,Eli Manning pass complete short right to Rueben Randle for 9 yards (tackle by Xavier Rhodes and Chad Greenway),2.020,3.380
1,8:19,1,10,MIN 33,0,0,Michael Cox left guard for 7 yards (tackle by Jamarca Sanford and Andrew Sendejo),3.380,3.780
1,7:41,2,3,MIN 26,0,0,Eli Manning pass incomplete deep middle intended for Larry Donnell,3.780,3.070
1,7:32,3,3,MIN 26,0,0,Eli Manning pass complete short middle to Brandon Myers for 3 yards (tackle by Jamarca Sanford),3.070,4.040
1,6:56,1,10,MIN 23,0,0,Peyton Hillis right guard for 2 yards (tackle by Erin Henderson),4.040,3.770
1,6:20,2,8,MIN 21,0,0,Michael Cox left tackle for 5 yards (tackle by Chad Greenway and Marvin Mitchell),3.770,3.850
1,5:35,3,3,MIN 16,0,0,Eli Manning pass incomplete deep right intended for Hakeem Nicks,3.850,2.480
1,5:27,4,3,MIN 16,0,3,Josh Brown 35 yard field goal good,2.480,3.000
1,5:27,,,NYG 35,0,3,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,5:24,1,10,MIN 20,0,3,Adrian Peterson right guard for 3 yards (tackle by Mathias Kiwanuka and Linval Joseph),0.280,0.140
1,4:53,2,7,MIN 23,0,3,Josh Freeman pass incomplete short middle intended for John Carlson,0.140,-0.560
1,4:45,3,7,MIN 23,0,3,Josh Freeman pass complete short middle to Jerome Simpson for 9 yards (tackle by Prince Amukamara),-0.560,1.070
1,4:13,1,10,MIN 32,0,3,Josh Freeman pass incomplete short left intended for Cordarrelle Patterson,1.070,0.530
1,4:04,2,10,MIN 32,0,3,Adrian Peterson right guard for -3 yards (tackle by Justin Tuck),0.530,-0.560
1,3:21,3,13,MIN 29,0,3,Josh Freeman pass incomplete,-0.560,-1.440
1,3:13,4,13,MIN 29,0,3,"Jeff Locke punts 52 yards, returned by Rueben Randle for 13 yards (tackle by Michael Mauti). Penalty on Damontre Moore: Unnecessary Roughness, 15 yards",-1.440,0.060
1,3:00,1,10,NYG 17,0,3,Eli Manning pass complete short right to John Conner for 10 yards (tackle by Everson Griffen),-0.060,0.740
1,2:39,1,10,NYG 27,0,3,Peyton Hillis right end for -2 yards (tackle by Erin Henderson),0.740,-0.070
1,1:59,2,12,NYG 25,0,3,Peyton Hillis right end for 6 yards (tackle by Xavier Rhodes),-0.070,0.040
1,1:23,3,6,NYG 31,0,3,Eli Manning pass complete short middle to Bear Pascoe for 4 yards (tackle by Jamarca Sanford),0.040,-1.040
