Unnamed: 0,CIN,KAN
First Downs,22,20
Rush-Yds-TDs,18-78-0,34-121-1
Cmp-Att-Yd-TD-INT,26-43-320-2-2,25-35-264-2-0
Sacked-Yards,4-25,5-31
Net Pass Yards,295,233
Total Yards,373,354
Fumbles-Lost,1-1,2-2
Turnovers,3,2
Penalties-Yards,6-59,9-55
Third Down Conv.,1-11,7-16
Fourth Down Conv.,0-1,0-0
Time of Possession,24:50,35:10
