Quarter,Time,Tm,Detail,NOR,IND
1.0,2:31,Saints,Khiry Robinson 1 yard rush (Kai Forbath kick),7,0
2.0,14:56,Saints,Khiry Robinson 6 yard rush (Kai Forbath kick),14,0
,13:36,Saints,Michael Hoomanawanui 16 yard pass from Drew Brees (Kai Forbath kick failed),20,0
3.0,10:26,Saints,Mark Ingram 1 yard rush (Kai Forbath kick),27,0
,3:42,Colts,T.Y. Hilton 87 yard pass from Andrew Luck (Adam Vinatieri kick),27,7
,0:01,Colts,T.Y. Hilton 46 yard pass from Andrew Luck (Adam Vinatieri kick),27,14
4.0,3:05,Colts,Donte Moncrief 8 yard pass from Andrew Luck (Adam Vinatieri kick),27,21
