Unnamed: 0,TAM,DAL
First Downs,10,27
Rush-Yds-TDs,24-101-1,37-137-0
Cmp-Att-Yd-TD-INT,10-20-120-0-2,22-29-306-5-0
Sacked-Yards,1-10,1-8
Net Pass Yards,110,298
Total Yards,211,435
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-55,2-19
Third Down Conv.,5-10,7-12
Fourth Down Conv.,0-0,1-2
Time of Possession,22:43,37:17
