Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
1,4:28,3,6,WAS 36,7,0,Ryan Fitzpatrick pass complete short left to Eric Decker for 35 yards (tackle by Trent Robinson). Penalty on Kyshoen Jarrett: Defensive Holding (Declined),2.210,6.970
1,4:09,1,1,WAS 1,7,0,Chris Ivory middle for no gain (tackle by Terrance Knighton and Dashon Goldson),6.970,5.910
1,3:32,2,1,WAS 1,7,6,"Chris Ivory middle for 1 yard, touchdown",5.910,7.000
1,3:32,,,WAS 1,7,7,Nick Folk kicks extra point good,0.000,0.000
1,3:32,,,NYJ 35,7,7,"Nick Folk kicks off 61 yards, returned by Rashad Ross for 12 yards (tackle by Darrin Walls)",0.000,0.140
1,3:24,1,10,WAS 16,7,7,Alfred Morris right tackle for -2 yards (tackle by Damon Harrison and Leonard Williams),-0.140,-0.890
1,2:44,2,12,WAS 14,7,7,Kirk Cousins pass complete short right to Pierre Garcon for 4 yards (tackle by Calvin Pryor and Demario Davis),-0.890,-1.070
1,2:01,3,8,WAS 18,7,7,Kirk Cousins pass complete short middle to Derek Carrier for 20 yards (tackle by Antonio Cromartie and David Harris),-1.070,1.470
1,1:18,1,10,WAS 38,7,7,Kirk Cousins pass complete short right to Darrel Young for 8 yards (tackle by Quinton Coples),1.470,2.000
1,0:46,2,2,WAS 46,7,7,Kirk Cousins pass incomplete short left intended for Pierre Garcon,2.000,1.290
1,0:43,3,2,WAS 46,7,7,Kirk Cousins pass incomplete deep right intended for Chris Thompson,1.290,-0.320
1,0:38,4,2,WAS 46,7,7,"Tress Way punts 45 yards, fair catch by Jeremy Kerley",-0.320,0.380
1,0:30,1,10,NYJ 9,7,7,Chris Ivory middle for 1 yard (tackle by Keenan Robinson and Kedric Golston),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYJ 10,7,7,Ryan Fitzpatrick pass incomplete short middle intended for Eric Decker,-0.710,-1.300
2,14:57,3,9,NYJ 10,7,7,Ryan Fitzpatrick middle for 15 yards (tackle by Trent Robinson),-1.300,0.610
2,14:13,1,10,NYJ 25,7,7,Chris Ivory middle for 54 yards (tackle by Bashaud Breeland),0.610,4.170
2,13:38,1,10,WAS 21,7,7,Bilal Powell left end for -5 yards (tackle by Ricky Jean-Francois and Trent Robinson),4.170,2.950
2,13:02,2,15,WAS 26,7,7,Bilal Powell right tackle for -1 yards (tackle by Chris Baker),2.950,2.150
2,12:23,3,16,WAS 27,7,7,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 10 yards (tackle by Kyshoen Jarrett),2.150,2.340
2,11:39,4,6,WAS 17,7,10,Nick Folk 35 yard field goal good,2.340,3.000
2,11:39,,,NYJ 35,7,10,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
2,11:35,1,10,WAS 20,7,10,Kirk Cousins pass incomplete deep right intended for Pierre Garcon (defended by Muhammad Wilkerson),0.280,-0.270
2,11:30,2,10,WAS 20,7,10,Kirk Cousins sacked by Sheldon Richardson and Muhammad Wilkerson for -5 yards,-0.270,-1.860
2,10:48,3,15,WAS 15,7,10,Kirk Cousins pass complete short left to Chris Thompson for 6 yards (tackle by Calvin Pryor and Sheldon Richardson),-1.860,-1.960
2,10:17,4,9,WAS 21,7,10,"Tress Way punts 49 yards, returned by Jeremy Kerley for 7 yards (tackle by Jackson Jeffcoat)",-1.960,-1.400
2,10:07,1,10,NYJ 37,7,10,Ryan Fitzpatrick pass incomplete short right intended for Eric Decker (defended by Bashaud Breeland),1.400,0.860
2,10:01,2,10,NYJ 37,7,10,Chris Ivory right tackle for 2 yards (tackle by Dashon Goldson and Frank Kearse),0.860,0.430
2,9:22,3,8,NYJ 39,7,10,Ryan Fitzpatrick pass complete short right to Bilal Powell for 1 yard (tackle by Keenan Robinson and Trent Murphy),0.430,-0.720
2,8:48,4,7,NYJ 40,7,10,"Ryan Quigley punts 49 yards, fair catch by Jamison Crowder. Penalty on Mason Foster: Running Into the Kicker (Declined)",-0.720,0.370
2,8:40,1,10,WAS 11,7,10,Alfred Morris middle for 3 yards (tackle by Damon Harrison and Muhammad Wilkerson),-0.370,-0.530
2,8:05,2,7,WAS 14,7,10,Alfred Morris right end for 5 yards (tackle by Calvin Pryor),-0.530,-0.480
2,7:22,3,2,WAS 19,7,10,Kirk Cousins pass complete short left to Pierre Garcon for 4 yards (tackle by David Harris),-0.480,0.480
2,6:41,1,10,WAS 23,7,10,Kirk Cousins pass incomplete short right intended for Jamison Crowder,0.480,-0.070
2,6:37,2,10,WAS 23,7,10,Chris Thompson right end for 1 yard (tackle by Demario Davis),-0.070,-0.630
2,5:58,3,9,WAS 24,7,10,Kirk Cousins pass complete short right to Chris Thompson for -5 yards (tackle by David Harris),-0.630,-2.140
2,5:20,4,14,WAS 19,7,10,Tress Way punts 39 yards,-2.140,-1.730
2,5:09,1,10,NYJ 42,7,10,"Ryan Fitzpatrick pass complete short right to Brandon Marshall for 13 yards (tackle by Bashaud Breeland). Brandon Marshall fumbles (forced by Bashaud Breeland), recovered by Bashaud Breeland at WAS-45 (tackle by Nick Mangold)",1.730,-1.930
2,5:02,1,10,WAS 45,7,10,Alfred Morris right guard for -1 yards (tackle by Damon Harrison),1.930,1.250
2,4:21,2,11,WAS 44,7,10,Kirk Cousins pass complete short right to Derek Carrier for 5 yards (tackle by Calvin Pryor),1.250,1.220
2,3:47,3,6,WAS 49,7,10,Kirk Cousins pass complete short left to Jamison Crowder for 10 yards (tackle by Buster Skrine),1.220,2.850
2,3:14,1,10,NYJ 41,7,10,Alfred Morris right tackle for 5 yards (tackle by Calvin Pace),2.850,2.980
2,2:34,2,5,NYJ 36,7,10,Jamison Crowder pass incomplete deep right intended for Chris Thompson,2.980,2.280
2,2:26,3,5,NYJ 36,7,10,Kirk Cousins pass incomplete short middle intended for Jamison Crowder,2.280,0.880
2,2:22,4,5,NYJ 36,10,10,Dustin Hopkins 54 yard field goal good,0.880,3.000
2,2:22,,,WAS 35,10,10,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
2,2:17,1,10,NYJ 20,10,10,Chris Ivory left guard for 4 yards (tackle by Dashon Goldson and Chris Baker),0.280,0.270
2,2:00,2,6,NYJ 24,10,10,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 13 yards (tackle by Trent Robinson),0.270,1.400
2,1:39,1,10,NYJ 37,10,10,Ryan Fitzpatrick pass complete short left to Zac Stacy for 12 yards (tackle by Perry Riley),1.400,2.190
2,1:17,1,10,NYJ 49,10,10,Ryan Fitzpatrick pass complete short right to Quincy Enunwa for 7 yards (tackle by Kyshoen Jarrett),2.190,2.590
2,0:49,2,3,WAS 44,10,10,Ryan Fitzpatrick pass incomplete short middle intended for Quincy Enunwa (defended by Dashon Goldson),2.590,1.880
2,0:47,3,3,WAS 44,10,10,Ryan Fitzpatrick pass incomplete deep right intended for Brandon Marshall is intercepted by Bashaud Breeland at WAS-20 and returned for 28 yards,1.880,-2.130
2,0:36,1,10,WAS 48,10,10,Kirk Cousins pass complete short middle to Chris Thompson for 4 yards (tackle by Demario Davis),2.130,2.130
2,0:29,1,10,WAS 48,10,10,Timeout #1 by Washington Redskins,2.130,2.120
2,0:29,2,6,NYJ 48,10,10,Kirk Cousins pass complete short middle to Pierre Garcon for 12 yards (tackle by Calvin Pryor),2.120,2.120
2,0:22,2,6,NYJ 48,10,10,Timeout #2 by Washington Redskins,2.120,3.180
2,0:22,1,10,NYJ 36,10,10,Kirk Cousins pass complete deep left to Ryan Grant for 16 yards (tackle by Calvin Pryor),3.180,3.180
2,0:16,1,10,NYJ 36,10,10,Timeout #1 by New York Jets,3.180,4.240
2,0:16,1,10,NYJ 20,10,10,Kirk Cousins pass incomplete deep left intended for Pierre Garcon,4.240,3.690
2,0:10,2,10,NYJ 20,10,10,Chris Thompson left tackle for 8 yards (tackle by David Harris),3.690,3.690
2,0:05,2,10,NYJ 20,10,10,Timeout #3 by Washington Redskins,3.690,4.340
2,0:05,3,2,NYJ 12,13,10,Dustin Hopkins 30 yard field goal good,4.340,3.000
2,0:05,,,WAS 35,13,10,"Dustin Hopkins kicks off 32 yards, muffed catch by Trevor Reilly, recovered by Trevor Reilly and returned for no gain",0.000,1.270
Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,13,10,"Dustin Hopkins kicks off 58 yards, returned by Zac Stacy for 25 yards (tackle by Darrel Young)",0.000,-1.070
3,14:53,1,10,NYJ 32,13,10,Chris Ivory left end for 4 yards (tackle by Keenan Robinson),1.070,1.070
3,14:18,2,6,NYJ 36,13,10,Ryan Fitzpatrick pass complete short left to Chris Ivory for 24 yards (tackle by Kyshoen Jarrett),1.070,2.920
3,13:38,1,10,WAS 40,13,10,Chris Ivory right end for 11 yards (tackle by Trent Robinson),2.920,3.640
3,13:00,1,10,WAS 29,13,10,Chris Ivory middle for 1 yard (tackle by Terrance Knighton),3.640,3.240
3,12:24,2,9,WAS 28,13,10,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 8 yards (tackle by Bashaud Breeland),3.240,3.600
3,11:45,3,1,WAS 20,13,10,Chris Ivory left tackle for -1 yards (tackle by Terrance Knighton and Ryan Kerrigan),3.600,2.180
3,11:04,4,2,WAS 21,13,13,Nick Folk 39 yard field goal good,2.180,3.000
3,11:04,,,NYJ 35,13,13,"Nick Folk kicks off 65 yards, returned by Rashad Ross for 21 yards (tackle by Jamari Lattimore)",0.000,-0.340
3,10:55,1,10,WAS 21,13,13,Alfred Morris left end for 2 yards (tackle by Damon Harrison),0.340,0.070
3,10:18,2,8,WAS 23,13,13,Kirk Cousins pass incomplete short left intended for Ryan Grant is intercepted by Darrelle Revis at WAS-24 and returned for 6 yards,0.070,-4.370
3,10:10,1,10,WAS 18,13,19,"Ryan Fitzpatrick middle for 18 yards, touchdown",4.370,7.000
3,10:10,,,WAS 18,13,20,Nick Folk kicks extra point good,0.000,0.000
3,10:10,,,NYJ 35,13,20,"Nick Folk kicks off 67 yards, returned by Rashad Ross for 25 yards (tackle by Jamari Lattimore)",0.000,-0.480
3,9:57,1,10,WAS 23,13,20,Kirk Cousins pass incomplete deep right intended for Rashad Ross,0.480,-0.070
3,9:50,2,10,WAS 23,13,20,Chris Thompson right end for 5 yards (tackle by Leger Douzable),-0.070,-0.100
3,9:05,3,5,WAS 28,13,20,Kirk Cousins pass incomplete short right intended for Andre Roberts (defended by Antonio Cromartie),-0.100,-1.500
3,9:00,4,5,WAS 28,13,20,"Tress Way punts 53 yards, returned by Jeremy Kerley for 5 yards (tackle by Jeron Johnson)",-1.500,-0.540
3,8:49,1,10,NYJ 24,13,20,Ryan Fitzpatrick pass complete short left to Chris Ivory for 3 yards (tackle by Perry Riley and Dashon Goldson),0.540,0.400
3,8:03,2,7,NYJ 27,13,20,Ryan Fitzpatrick pass incomplete short left intended for Kellen Davis,0.400,0.400
3,7:58,2,7,NYJ 27,13,20,Timeout #1 by New York Jets,0.400,-0.300
3,7:58,3,7,NYJ 27,13,20,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 14 yards (tackle by Will Blackmon),-0.300,1.660
3,7:17,1,10,NYJ 41,13,20,Zac Stacy right guard for 18 yards (tackle by Dashon Goldson),1.660,2.850
3,6:39,1,10,WAS 41,13,20,Zac Stacy right tackle for 6 yards (tackle by Dashon Goldson),2.850,3.120
3,6:02,2,4,WAS 35,13,26,"Ryan Fitzpatrick pass complete deep right to Brandon Marshall for 35 yards, touchdown",3.120,7.000
3,6:02,,,WAS 35,13,27,Nick Folk kicks extra point good,0.000,0.000
3,6:02,,,NYJ 35,13,27,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
3,5:53,1,10,WAS 20,13,27,Kirk Cousins pass complete short middle to Derek Carrier for 9 yards (tackle by David Harris),0.280,0.950
3,5:20,2,1,WAS 29,13,27,Alfred Morris right end for no gain (tackle by David Harris and Damon Harrison),0.950,0.230
3,4:49,3,1,WAS 29,13,27,Kirk Cousins middle for 1 yard (tackle by Sheldon Richardson and David Harris),0.230,0.940
3,4:07,1,10,WAS 30,13,27,Kirk Cousins pass incomplete short middle intended for Chris Thompson,0.940,0.390
3,4:03,2,10,WAS 30,13,27,Kirk Cousins pass complete short right to Jamison Crowder for no gain,0.390,-0.300
3,3:26,3,10,WAS 30,13,27,Kirk Cousins pass incomplete deep left intended for Jamison Crowder is intercepted by Marcus Gilchrist at NYJ-27,-0.300,-0.740
3,3:17,1,10,NYJ 27,13,27,Chris Ivory right end for 32 yards (tackle by Trent Robinson),0.740,2.850
3,2:45,1,10,WAS 41,13,27,Ryan Fitzpatrick pass complete short right to Zac Stacy for 3 yards (tackle by Dashon Goldson),2.850,2.710
3,2:07,2,7,WAS 38,13,27,Chris Ivory middle for 4 yards (tackle by Keenan Robinson),2.710,2.540
3,1:33,3,3,WAS 34,13,27,Ryan Fitzpatrick pass complete short middle to Eric Decker for 11 yards (tackle by Kyshoen Jarrett),2.540,4.040
3,0:57,1,10,WAS 23,13,27,Chris Ivory right tackle for no gain (tackle by Dashon Goldson and Keenan Robinson),4.040,3.500
3,0:16,2,10,WAS 23,13,27,Ryan Fitzpatrick pass incomplete short middle intended for Eric Decker,3.500,2.810
3,0:12,3,10,WAS 23,13,27,Ryan Fitzpatrick pass complete deep middle to Brandon Marshall for 17 yards (tackle by Dashon Goldson),2.810,5.830
Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,6,WAS 6,13,27,Chris Ivory left tackle for 4 yards (tackle by Jason Hatcher),5.830,5.720
4,14:22,2,2,WAS 2,13,33,"Ryan Fitzpatrick pass complete short middle to Eric Decker for 2 yards, touchdown. Penalty on Trent Robinson: Defensive Offside (Declined)",5.720,7.000
4,14:22,,,WAS 2,13,34,Nick Folk kicks extra point good,0.000,0.000
4,14:22,,,NYJ 35,13,34,"Nick Folk kicks off 66 yards, returned by Rashad Ross for 25 yards (tackle by Dexter McDougle)",0.000,-0.540
4,14:09,1,10,WAS 24,13,34,Kirk Cousins pass incomplete deep right intended for Chris Thompson,0.540,0.000
4,14:05,2,10,WAS 24,13,34,Kirk Cousins pass incomplete deep middle intended for Jamison Crowder,0.000,-0.690
4,14:00,3,10,WAS 24,13,34,Kirk Cousins pass incomplete deep middle intended for Rashad Ross,-0.690,-1.770
4,13:55,4,10,WAS 24,13,34,"Tress Way punts 49 yards, returned by Jeremy Kerley for 22 yards (tackle by Preston Smith)",-1.770,-2.190
4,13:43,1,10,NYJ 49,13,34,Chris Ivory right end for 2 yards (tackle by Keenan Robinson and Dashon Goldson),2.190,1.920
4,13:02,2,8,WAS 49,13,34,Chris Ivory right tackle for 18 yards (tackle by Trent Robinson),1.920,3.510
4,12:24,1,10,WAS 31,13,34,Zac Stacy middle for 1 yard (tackle by Jeron Johnson and William Compton),3.510,3.100
4,11:46,2,9,WAS 30,13,34,Zac Stacy left tackle for -1 yards (tackle by Keenan Robinson and Jeron Johnson),3.100,2.280
4,11:03,3,10,WAS 31,13,34,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall (defended by Quinton Dunbar),2.280,1.320
4,10:59,4,10,WAS 31,13,34,Nick Folk 49 yard field goal no good,1.320,-1.530
4,10:54,1,10,WAS 39,13,34,Kirk Cousins pass incomplete short right intended for Andre Roberts (defended by Marcus Gilchrist),1.530,0.990
4,10:49,2,10,WAS 39,13,34,Kirk Cousins pass complete short right to Andre Roberts for 6 yards (tackle by Antonio Cromartie),0.990,1.090
4,10:22,3,4,WAS 45,13,34,"Penalty on Josh LeRibeus: False Start, 5 yards (no play)",1.090,0.430
4,9:56,3,9,WAS 40,13,34,"Kirk Cousins pass incomplete short left intended for Chris Thompson. Penalty on Sheldon Richardson: Illegal Use of Hands, 5 yards (no play)",0.430,1.930
4,9:51,1,10,WAS 45,13,34,Kirk Cousins pass complete short right to Rashad Ross for 16 yards (tackle by Calvin Pryor),1.930,2.980
4,9:21,1,10,NYJ 39,13,34,Kirk Cousins pass complete short right to Chris Thompson for 3 yards (tackle by David Harris),2.980,2.850
4,8:52,2,7,NYJ 36,13,34,Kirk Cousins pass complete short middle to Chris Thompson for 5 yards (tackle by Demario Davis),2.850,2.810
4,8:14,3,2,NYJ 31,13,34,Kirk Cousins pass incomplete short left intended for Andre Roberts,2.810,1.400
4,8:09,4,2,NYJ 31,13,34,"Penalty on Kirk Cousins: Delay of Game, 5 yards (no play)",1.400,0.880
4,8:08,4,7,NYJ 36,13,34,Kirk Cousins pass complete deep left to Jamison Crowder for 18 yards (tackle by Dexter McDougle),0.880,4.370
4,7:44,1,10,NYJ 18,13,34,Kirk Cousins pass complete short left to Chris Thompson for 13 yards (tackle by Demario Davis),4.370,6.060
4,7:18,1,5,NYJ 5,13,34,Chris Thompson left tackle for -1 yards (tackle by T.J. Barnes and Trevor Reilly),6.060,4.950
4,6:40,2,6,NYJ 6,13,34,Kirk Cousins pass complete short left to Derek Carrier for 5 yards (tackle by Demario Davis),4.950,5.170
4,6:13,3,1,NYJ 1,13,34,Chris Thompson middle for -1 yards (tackle by Marcus Gilchrist and David Harris),5.170,3.250
4,5:32,4,2,NYJ 2,13,34,Kirk Cousins pass incomplete short right intended for Jamison Crowder (defended by Dexter McDougle),3.250,0.380
4,5:27,1,10,NYJ 2,13,34,Zac Stacy left tackle for 1 yard (tackle by Perry Riley and Chris Baker),-0.380,-0.710
4,4:52,2,9,NYJ 3,13,34,Zac Stacy middle for 1 yard (tackle by Ricky Jean-Francois),-0.710,-1.190
4,4:10,3,8,NYJ 4,13,34,Zac Stacy left tackle for 2 yards (tackle by Dashon Goldson),-1.190,-1.190
4,4:04,3,8,NYJ 4,13,34,Timeout #1 by Washington Redskins,-1.190,-2.490
4,4:04,4,6,NYJ 6,19,34,"Ryan Quigley punts, blocked by Jeron Johnson, recovered by Rashad Ross, touchdown",-2.490,-7.000
4,3:59,,,NYJ 6,20,34,Dustin Hopkins kicks extra point good,0.000,0.000
4,3:59,,,WAS 35,20,34,"Dustin Hopkins kicks onside 31 yards, recovered by Kellen Davis",0.000,-1.200
4,3:56,1,10,NYJ 34,20,34,Zac Stacy right tackle for no gain (tackle by Chris Baker and Kedric Golston),1.200,1.200
4,3:50,1,10,NYJ 34,20,34,Timeout #2 by Washington Redskins,1.200,0.660
4,3:50,2,10,NYJ 34,20,34,Zac Stacy middle for -2 yards (tackle by Chris Baker),0.660,0.660
4,3:45,2,10,NYJ 34,20,34,Timeout #3 by Washington Redskins,0.660,-0.300
4,3:45,3,12,NYJ 32,20,34,Zac Stacy right end for 7 yards (tackle by Perry Riley),-0.300,-0.780
4,3:00,4,5,NYJ 39,20,34,"Ryan Quigley punts 38 yards. Penalty on Jackson Jeffcoat: Running Into the Kicker, 5 yards (no play)",-0.780,1.860
4,2:51,1,10,NYJ 44,20,34,Zac Stacy right tackle for 3 yards (tackle by Keenan Robinson and Kedric Golston),1.860,1.720
4,2:07,2,7,NYJ 47,20,34,Zac Stacy left tackle for 5 yards (tackle by Preston Smith and Kedric Golston),1.720,1.690
4,2:00,3,2,WAS 48,20,34,Zac Stacy middle for 5 yards (tackle by Dashon Goldson),1.690,2.720
4,1:13,1,10,WAS 43,20,34,Ryan Fitzpatrick kneels for -1 yards,2.720,2.040
4,0:37,2,11,WAS 44,20,34,Ryan Fitzpatrick kneels for -1 yards,2.040,1.220
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
