Quarter,Time,Tm,Detail,WAS,NYJ
1.0,9:29,Redskins,Pierre Garcon 2 yard pass from Kirk Cousins (Dustin Hopkins kick),7,0
,3:28,Jets,Chris Ivory 1 yard rush (Nick Folk kick),7,7
2.0,11:35,Jets,Nick Folk 35 yard field goal,7,10
,2:17,Redskins,Dustin Hopkins 54 yard field goal,10,10
,0:02,Redskins,Dustin Hopkins 30 yard field goal,13,10
3.0,11:00,Jets,Nick Folk 39 yard field goal,13,13
,10:02,Jets,Ryan Fitzpatrick 18 yard rush (Nick Folk kick),13,20
,5:53,Jets,Brandon Marshall 35 yard pass from Ryan Fitzpatrick (Nick Folk kick),13,27
4.0,14:18,Jets,Eric Decker 2 yard pass from Ryan Fitzpatrick (Nick Folk kick),13,34
,3:59,Redskins,Rashad Ross blocked punt recovery in end zone (Dustin Hopkins kick),20,34
