Unnamed: 0,CIN,SFO
First Downs,15,22
Rush-Yds-TDs,19-61-0,37-156-1
Cmp-Att-Yd-TD-INT,19-31-252-1-0,21-28-197-1-0
Sacked-Yards,0-0,2-16
Net Pass Yards,252,181
Total Yards,313,337
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,1-15,3-15
Third Down Conv.,3-10,9-15
Fourth Down Conv.,1-2,0-1
Time of Possession,24:01,35:59
