Quarter,Time,Tm,Detail,CIN,SFO
2.0,12:57,49ers,Shaun Hill 3 yard rush (Joe Nedney kick),0,7
,8:27,Bengals,Shayne Graham 24 yard field goal,3,7
,4:38,Bengals,Chris Henry 52 yard pass from Carson Palmer (Shayne Graham kick),10,7
,0:09,49ers,Vernon Davis 17 yard pass from Shaun Hill (Joe Nedney kick),10,14
3.0,8:15,49ers,Joe Nedney 29 yard field goal,10,17
,0:54,49ers,Joe Nedney 38 yard field goal,10,20
4.0,11:18,Bengals,Shayne Graham 35 yard field goal,13,20
