Quarter,Time,Tm,Detail,ARI,CHI
1.0,14:47,Cardinals,David Johnson 108 yard kickoff return (Chandler Catanzaro kick),7,0
,3:20,Bears,Josh Bellamy 48 yard pass from Jay Cutler (Robbie Gould kick),7,7
,1:13,Cardinals,Jaron Brown 6 yard pass from Carson Palmer (Chandler Catanzaro kick),14,7
2.0,10:02,Bears,Jeremy Langford 1 yard rush (Robbie Gould kick),14,14
,3:51,Cardinals,Larry Fitzgerald 8 yard pass from Carson Palmer (Chandler Catanzaro kick),21,14
,2:59,Cardinals,Tony Jefferson 26 yard interception return (Chandler Catanzaro kick),28,14
,0:59,Bears,Robbie Gould 40 yard field goal,28,17
,0:00,Bears,Robbie Gould 23 yard field goal,28,20
3.0,12:41,Cardinals,Larry Fitzgerald 28 yard pass from Carson Palmer (Chandler Catanzaro kick),35,20
,6:06,Cardinals,David Johnson 13 yard rush (Chandler Catanzaro kick),42,20
,2:26,Bears,Robbie Gould 51 yard field goal,42,23
4.0,2:42,Cardinals,Larry Fitzgerald 9 yard pass from Carson Palmer (Chandler Catanzaro kick failed),48,23
