Unnamed: 0,ARI,CHI
First Downs,21,18
Rush-Yds-TDs,28-115-1,28-109-1
Cmp-Att-Yd-TD-INT,17-24-185-4-1,22-32-241-1-2
Sacked-Yards,0-0,2-15
Net Pass Yards,185,226
Total Yards,300,335
Fumbles-Lost,1-1,3-0
Turnovers,2,2
Penalties-Yards,8-58,14-170
Third Down Conv.,5-9,2-12
Fourth Down Conv.,1-1,0-1
Time of Possession,30:04,29:56
