Unnamed: 0,OAK,STL
First Downs,17,17
Rush-Yds-TDs,21-61-0,26-172-4
Cmp-Att-Yd-TD-INT,29-48-230-0-3,13-22-183-2-0
Sacked-Yards,6-47,1-7
Net Pass Yards,183,176
Total Yards,244,348
Fumbles-Lost,3-2,2-0
Turnovers,5,0
Penalties-Yards,8-73,8-60
Third Down Conv.,4-18,1-8
Fourth Down Conv.,0-1,0-0
Time of Possession,36:56,23:04
