Player,Pos
Jacoby Brissett,QB
Nick Chubb,RB
Amari Cooper,WR
Donovan Peoples-Jones,WR
Harrison Bryant,TE
David Njoku,TE
Jack Conklin,T
Jedrick Wills Jr.,T
Joel Bitonio,G
Wyatt Teller,G
Ethan Pocic,C
Alex Wright,DE
Isaac Rochell,DE
Tommy Togiai,DT
Jordan Elliott,DT
Jacob Phillips,LB
Jeremiah Owusu-Koramoah,LB
Sione Takitaki,LB
Greg Newsome II,CB
Denzel Ward,CB
John Johnson,S
Grant Delpit,S
