Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley right tackle for 4 yards (tackle by Gerald Hodges and DeForest Buckner),0.610,0.600
1,14:17,2,6,LAR 29,0,0,Case Keenum pass complete short right to Tyler Higbee for 2 yards (tackle by Tank Carradine and Eric Reid),0.600,0.170
1,13:36,3,4,LAR 31,0,0,Case Keenum pass complete short left to Kenny Britt for 8 yards (tackle by DeForest Buckner and Tramaine Brock),0.170,1.530
1,13:00,1,10,LAR 39,0,0,Case Keenum pass complete short left to Lance Kendricks for 9 yards (tackle by Gerald Hodges),1.530,2.200
1,12:25,2,1,LAR 48,0,0,Case Keenum right tackle for 6 yards (tackle by Tramaine Brock),2.200,2.520
1,11:40,1,10,SFO 46,0,0,Case Keenum pass incomplete short middle intended for Todd Gurley,2.520,1.980
1,11:36,2,10,SFO 46,0,0,Case Keenum pass incomplete short right intended for Tavon Austin,1.980,1.290
1,11:32,3,10,SFO 46,0,0,Case Keenum pass incomplete short right intended for Tavon Austin,1.290,0.200
1,11:28,4,10,SFO 46,0,0,"Johnny Hekker punts 28 yards, fair catch by Jeremy Kerley",0.200,-0.040
1,11:20,1,10,SFO 18,0,0,Carlos Hyde left tackle for 1 yard (tackle by Coty Sensabaugh and Mark Barron),0.040,-0.320
1,11:00,2,9,SFO 19,0,0,Blaine Gabbert pass incomplete short right intended for Torrey Smith,-0.320,-1.040
1,10:57,3,9,SFO 19,0,0,Blaine Gabbert middle for 11 yards,-1.040,0.940
1,10:32,1,10,SFO 30,0,0,Blaine Gabbert left end for 3 yards (tackle by Coty Sensabaugh),0.940,0.800
1,10:04,2,7,SFO 33,0,0,Blaine Gabbert pass complete short left to Quinton Patton for 5 yards (tackle by Coty Sensabaugh),0.800,0.760
1,9:38,3,2,SFO 38,0,0,Blaine Gabbert pass complete short left to Quinton Patton for 1 yard (tackle by Lamarcus Joyner),0.760,-0.780
1,9:02,4,1,SFO 39,0,0,"Bradley Pinion punts 52 yards, fair catch by Tavon Austin",-0.780,0.380
1,8:55,1,10,LAR 9,0,0,Todd Gurley left guard for 1 yard (tackle by Quinton Dial),-0.380,-0.710
1,8:14,2,9,LAR 10,0,0,Todd Gurley right tackle for 1 yard (tackle by Mike Purcell),-0.710,-1.190
1,7:30,3,8,LAR 11,0,0,Case Keenum sacked by Ahmad Brooks for -6 yards,-1.190,-2.490
1,6:53,4,14,LAR 5,0,0,"Johnny Hekker punts 54 yards, returned by Jeremy Kerley for 7 yards (tackle by Chase Reynolds)",-2.490,-2.130
1,6:42,1,10,SFO 48,0,0,Blaine Gabbert pass complete short right to Jeremy Kerley for 6 yards (tackle by Trumaine Johnson),2.130,2.390
1,6:20,2,4,LAR 46,0,0,Blaine Gabbert pass incomplete deep middle intended for Jeremy Kerley,2.390,1.680
1,6:14,3,4,LAR 46,0,0,Blaine Gabbert middle for 5 yards (tackle by Alec Ogletree),1.680,2.850
1,5:44,1,10,LAR 41,0,0,Blaine Gabbert pass complete short right to Carlos Hyde for 4 yards (tackle by Lamarcus Joyner),2.850,2.850
1,5:10,2,6,LAR 37,0,0,"Blaine Gabbert left guard for 11 yards (tackle by Mark Barron). Penalty on Lamarcus Joyner: Defensive Holding, 5 yards",2.850,4.170
1,5:02,1,10,LAR 21,0,0,Carlos Hyde middle for 4 yards (tackle by Aaron Donald),4.170,4.200
1,4:39,2,6,LAR 17,0,0,Blaine Gabbert pass incomplete short left intended for Garrett Celek (defended by Mark Barron),4.200,3.460
1,4:35,3,6,LAR 17,0,0,Blaine Gabbert pass complete short left to Shaun Draughn for 7 yards (tackle by Coty Sensabaugh),3.460,4.910
1,4:02,1,10,LAR 10,0,0,Shaun Draughn middle for -1 yards (tackle by Lamarcus Joyner),4.910,4.020
1,3:30,2,11,LAR 11,0,6,"Carlos Hyde middle for 11 yards, touchdown",4.020,7.000
1,3:30,,,LAR 11,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,3:30,,,SFO 35,0,7,"Bradley Pinion kicks off 71 yards, returned by Benny Cunningham for 27 yards (tackle by Michael Wilhoite)",0.000,-0.340
1,3:19,1,10,LAR 21,0,7,Case Keenum pass complete short left to Tavon Austin for 3 yards (tackle by Antoine Bethea),0.340,0.210
1,2:36,2,7,LAR 24,0,7,Todd Gurley middle for 3 yards (tackle by Mike Purcell and Quinton Dial),0.210,-0.100
1,1:55,3,4,LAR 27,0,7,Case Keenum pass incomplete short right intended for Tyler Higbee (defended by Tramaine Brock),-0.100,-1.570
1,1:51,4,4,LAR 27,0,7,"Johnny Hekker punts 50 yards, fair catch by Jeremy Kerley",-1.570,-0.480
1,1:44,1,10,SFO 23,0,7,Blaine Gabbert pass complete short right to Torrey Smith for 15 yards (tackle by Maurice Alexander),0.480,1.470
1,1:14,1,10,SFO 38,0,7,Carlos Hyde right guard for 1 yard (tackle by T.J. McDonald),1.470,1.060
1,0:53,2,9,SFO 39,0,7,Carlos Hyde right tackle for 18 yards (tackle by Alec Ogletree),1.060,2.720
1,0:14,1,10,LAR 43,0,7,Shaun Draughn right tackle for 6 yards (tackle by Alec Ogletree),2.720,2.990
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,LAR 37,0,7,Shaun Draughn right tackle for 1 yard (tackle by Alec Ogletree),2.990,2.410
2,14:31,3,3,LAR 36,0,7,Blaine Gabbert left end for 2 yards (tackle by William Hayes),2.410,1.100
2,14:13,4,1,LAR 34,0,7,Blaine Gabbert pass complete short right to Torrey Smith for -2 yards (tackle by T.J. McDonald),1.100,-1.330
2,14:10,1,10,LAR 36,0,7,Case Keenum pass complete deep right to Kenny Britt for 22 yards (tackle by Jimmie Ward),1.330,2.790
2,13:34,1,10,SFO 42,0,7,Todd Gurley left end for 2 yards (tackle by Eli Harold and DeForest Buckner),2.790,2.510
2,12:57,2,8,SFO 40,0,7,Todd Gurley for 5 yards,2.510,2.510
2,12:19,2,8,SFO 40,0,7,Timeout #1 by Los Angeles Rams,2.510,2.480
2,12:18,3,3,SFO 35,0,7,Todd Gurley right end for 2 yards (tackle by NaVorro Bowman and Ray-Ray Armstrong),2.480,1.210
2,11:36,4,1,SFO 33,0,7,"Todd Gurley middle for 3 yards (tackle by Mike Purcell). Penalty on Todd Gurley: Taunting, 15 yards",1.210,1.930
2,11:07,1,10,LAR 45,0,7,Case Keenum pass incomplete short middle intended for Todd Gurley is intercepted by NaVorro Bowman at SFO-41,1.930,-1.660
2,11:00,1,10,SFO 41,0,7,Carlos Hyde left tackle for 16 yards (tackle by Coty Sensabaugh),1.660,2.720
2,10:41,1,10,LAR 43,0,7,Blaine Gabbert pass incomplete short left intended for Garrett Celek (defended by Mark Barron),2.720,2.180
2,10:37,2,10,LAR 43,0,7,Blaine Gabbert pass incomplete short left intended for Carlos Hyde,2.180,1.490
2,10:31,3,10,LAR 43,0,7,Blaine Gabbert pass complete short right to Jeremy Kerley for 4 yards (tackle by T.J. McDonald),1.490,0.660
2,10:06,4,6,LAR 39,0,7,Blaine Gabbert pass complete deep left to Jeremy Kerley for 18 yards (tackle by Coty Sensabaugh),0.660,4.170
2,9:37,1,10,LAR 21,0,7,Carlos Hyde left end for no gain (tackle by Maurice Alexander),4.170,3.630
2,9:03,2,10,LAR 21,0,7,Shaun Draughn middle for 6 yards (tackle by Aaron Donald),3.630,3.810
