Quarter,Time,Tm,Detail,NYG,NYJ
1.0,7:21,Jets,Sam Darnold 2 yard rush (Sam Ficken kick),0,7
,1:35,Jets,Jamison Crowder 23 yard pass from Sam Darnold (Sam Ficken kick),0,14
2.0,12:26,Giants,Darius Slayton 5 yard pass from Daniel Jones (Aldrick Rosas kick),7,14
,5:24,Giants,Darius Slayton 39 yard pass from Daniel Jones (pass failed),13,14
3.0,14:13,Jets,Jamal Adams 25 yard fumble return (Sam Ficken kick),13,21
,11:51,Giants,Golden Tate 61 yard pass from Daniel Jones (Aldrick Rosas kick failed),19,21
,5:21,Giants,Golden Tate 15 yard pass from Daniel Jones (Bennie Fowler pass from Daniel Jones),27,21
,1:42,Jets,Sam Ficken 53 yard field goal,27,24
4.0,14:52,Jets,Le'Veon Bell 1 yard rush (Sam Ficken kick),27,31
,7:36,Jets,Sam Ficken 35 yard field goal,27,34
