Unnamed: 0,NYG,NYJ
First Downs,15,18
Rush-Yds-TDs,17-23-0,29-76-2
Cmp-Att-Yd-TD-INT,26-40-308-4-0,19-30-230-1-0
Sacked-Yards,6-50,2-12
Net Pass Yards,258,218
Total Yards,281,294
Fumbles-Lost,4-2,0-0
Turnovers,2,0
Penalties-Yards,6-62,7-54
Third Down Conv.,8-18,4-13
Fourth Down Conv.,1-2,1-1
Time of Possession,29:16,30:44
