Unnamed: 0,DEN,SDG
First Downs,21,14
Rush-Yds-TDs,24-74-2,35-122-2
Cmp-Att-Yd-TD-INT,16-40-278-0-4,14-27-106-0-1
Sacked-Yards,2-15,2-20
Net Pass Yards,263,86
Total Yards,337,208
Fumbles-Lost,0-0,3-1
Turnovers,4,2
Penalties-Yards,8-57,11-94
Third Down Conv.,4-14,6-17
Fourth Down Conv.,2-2,0-0
Time of Possession,28:25,31:35
