Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Billy Cundiff kicks off 41 yards, returned by Aaron Shea for 6 yards (tackle by Kalen Thornton)",0.000,1.270
1,14:55,1,10,CLE 35,0,0,Jeff Garcia pass complete to William Green for 2 yards (tackle by Leonardo Carson),1.270,0.990
1,14:15,2,8,CLE 37,0,0,William Green right guard for no gain (tackle by La'Roi Glover),0.990,0.300
1,13:36,3,8,CLE 37,0,0,Jeff Garcia pass complete to Dennis Northcutt for 7 yards (tackle by Randal Williams),0.300,-0.460
1,12:53,4,1,CLE 44,0,0,"Derrick Frost punts 45 yards, returned by Dedric Ward for -1 yards (tackle by Lewis Sanders)",-0.460,0.380
1,12:45,1,10,DAL 10,0,0,Vinny Testaverde pass complete to Jason Witten for 20 yards (tackle by Robert Griffith),-0.380,0.940
1,12:03,1,10,DAL 30,0,0,Eddie George up the middle for 5 yards (tackle by Courtney Brown),0.940,1.070
1,11:23,2,5,DAL 35,0,0,Eddie George up the middle for 11 yards (tackle by Robert Griffith),1.070,1.990
1,10:37,1,10,DAL 46,0,0,Vinny Testaverde pass complete to Jason Witten for 7 yards (tackle by Earl Little),1.990,2.400
1,9:54,2,3,CLE 47,0,0,Eddie George right guard for 2 yards (tackle by Orpheus Roye),2.400,1.950
1,9:12,3,1,CLE 45,0,0,Vinny Testaverde pass complete to Terry Glenn for 8 yards (tackle by Daylon McCutcheon),1.950,3.120
1,8:41,1,10,CLE 37,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 36 yards (tackle by Robert Griffith),3.120,6.970
1,7:52,1,1,CLE 1,0,6,"Vinny Testaverde pass complete to Jeff Robinson for 1 yard, touchdown",6.970,7.000
1,,,,CLE 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,Billy Cundiff kicks off 69 yards,0.000,1.600
1,7:49,1,10,CLE 40,0,7,Jeff Garcia pass incomplete intended for Quincy Morgan,1.600,1.050
1,7:41,2,10,CLE 40,0,7,Jeff Garcia pass incomplete intended for Dennis Northcutt,1.050,0.370
1,7:36,3,10,CLE 40,0,7,William Green up the middle for -4 yards (tackle by Greg Ellis),0.370,-0.980
1,6:56,4,14,CLE 36,0,7,Derrick Frost punts 44 yards,-0.980,-0.280
1,6:48,1,10,DAL 20,0,7,Vinny Testaverde pass incomplete intended for Antonio Bryant (defended by Andra Davis),0.280,-0.270
1,6:44,2,10,DAL 20,0,7,Julius Jones right end for 1 yard (tackle by Daylon McCutcheon),-0.270,-0.820
1,6:03,3,9,DAL 21,0,7,Vinny Testaverde pass complete to Antonio Bryant for 11 yards (tackle by Earl Little),-0.820,1.070
1,5:19,1,10,DAL 32,0,7,Vinny Testaverde pass incomplete intended for Julius Jones,1.070,0.530
1,5:13,2,10,DAL 32,0,7,Julius Jones left tackle for 1 yard (tackle by Michael Myers),0.530,-0.030
1,4:29,3,9,DAL 33,0,7,Vinny Testaverde pass complete to Jason Witten for 24 yards (tackle by Robert Griffith),-0.030,2.720
1,3:46,1,10,CLE 43,0,7,"Julius Jones left tackle for 3 yards (tackle by Ebenezer Ekuban). Julius Jones fumbles (forced by Ebenezer Ekuban), recovered by Ebenezer Ekuban at CLE-40 and returned for 5 yards",2.720,-1.930
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
1,3:31,1,10,CLE 45,0,7,William Green left tackle for 7 yards (tackle by Randal Williams),1.930,2.330
1,2:57,2,3,DAL 48,0,7,"William Green right end for 6 yards (tackle by Tony Dixon). Penalty on Kelvin Garmon: Offensive Holding, 10 yards (no play)",2.330,0.980
1,2:27,2,13,CLE 42,0,7,Jeff Garcia pass incomplete intended for Andra Davis,0.980,0.300
1,2:27,3,13,CLE 42,0,7,"Jeff Garcia pass incomplete intended for Kellen Winslow Jr.. Penalty on Bradie James: Roughing the Passer, 15 yards (no play)",0.300,2.720
1,2:22,1,10,DAL 43,0,7,"Penalty on Kelvin Garmon: False Start, 5 yards (no play)",2.720,2.390
1,2:22,1,15,DAL 48,0,7,William Green right tackle for 16 yards (tackle by Tony Dixon),2.390,3.450
1,1:35,1,10,DAL 32,0,7,Jeff Garcia up the middle for 3 yards (tackle by Chad Eaton),3.450,3.310
1,0:55,2,7,DAL 29,0,7,William Green up the middle for 3 yards (tackle by Kenyon Coleman),3.310,3.010
1,0:16,3,4,DAL 26,0,7,William Green right end for -2 yards (tackle by Nate Jones),3.010,1.610
Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,DAL 28,3,7,Phil Dawson 45 yard field goal good,1.610,3.000
2,,,,CLE 30,3,7,"Phil Dawson kicks off 66 yards, returned by Jacques Reeves for 22 yards (tackle by Barry Gardner). Penalty on Lynn Scott: Offensive Holding, 10 yards",0.000,-0.140
2,14:48,1,10,DAL 16,3,7,Vinny Testaverde pass complete to Terry Glenn for 7 yards,-0.140,0.420
2,14:22,2,3,DAL 23,3,7,"ReShard Lee left tackle for 7 yards (tackle by Earl Little). Penalty on Jason Witten: Offensive Holding, 10 yards (no play)",0.420,-0.990
2,13:53,2,13,DAL 13,3,7,ReShard Lee left guard for 2 yards (tackle by Kevin Bentley),-0.990,-1.470
2,13:12,3,11,DAL 15,3,7,Vinny Testaverde pass complete to Jason Witten for 9 yards (tackle by Daylon McCutcheon),-1.470,-1.770
2,12:26,4,2,DAL 24,3,7,"Mat McBriar punts 53 yards, returned by Dennis Northcutt for 11 yards (tackle by Bradie James)",-1.770,-1.200
2,12:12,1,10,CLE 34,3,7,Jeff Garcia sacked by Greg Ellis for -5 yards,1.200,-0.020
2,11:38,2,15,CLE 29,3,7,William Green up the middle for 3 yards (tackle by Chad Eaton),-0.020,-0.300
2,10:56,3,12,CLE 32,3,7,"Jeff Garcia pass incomplete intended for Andra Davis (defended by Terence Newman). Penalty on Terence Newman: Defensive Pass Interference, 30 yards (no play)",-0.300,3.050
2,10:49,1,10,DAL 38,3,7,Jeff Garcia pass complete to Kellen Winslow Jr. for 11 yards (tackle by Dat Nguyen),3.050,3.780
2,10:16,1,10,DAL 27,3,7,William Green left guard for 2 yards (tackle by Marcellus Wiley),3.780,3.500
2,9:38,2,8,DAL 25,3,7,Jeff Garcia pass incomplete intended for Andra Davis,3.500,2.810
2,9:33,3,8,DAL 25,3,7,Jeff Garcia pass complete to Andra Davis for 16 yards (tackle by Nate Jones),2.810,5.140
2,8:52,1,9,DAL 9,3,7,William Green up the middle for 5 yards (tackle by Randal Williams),5.140,5.340
2,8:11,2,4,DAL 4,3,7,William Green up the middle for -1 yards (tackle by La'Roi Glover),5.340,4.260
2,7:25,3,5,DAL 5,3,7,Jeff Garcia pass incomplete intended for James Jackson,4.260,3.010
2,7:19,4,5,DAL 5,6,7,Phil Dawson 23 yard field goal good,3.010,3.000
2,,,,CLE 30,6,7,"Phil Dawson kicks off 70 yards, returned by ReShard Lee for 16 yards (tackle by Leigh Bodden)",0.000,-0.140
2,7:11,1,10,DAL 16,6,7,Vinny Testaverde pass complete to Terry Glenn for 11 yards (tackle by Daylon McCutcheon),-0.140,0.740
2,6:30,1,10,DAL 27,6,7,Eddie George left tackle for 3 yards (tackle by Ebenezer Ekuban),0.740,0.600
2,5:48,2,7,DAL 30,6,7,Vinny Testaverde pass incomplete intended for Eddie George,0.600,-0.100
2,5:43,3,7,DAL 30,6,7,Vinny Testaverde pass complete to Antonio Bryant for 6 yards (tackle by Anthony Henry),-0.100,-0.980
2,5:17,4,1,DAL 36,6,7,Dexter Coakley right tackle for 33 yards (tackle by Michael Jameson),-0.980,3.510
2,4:30,1,10,CLE 31,6,7,Vinny Testaverde sacked by Ebenezer Ekuban for -7 yards,3.510,2.020
2,3:56,2,17,CLE 38,6,7,Vinny Testaverde pass complete to Eddie George for 11 yards (tackle by Orpheus Roye),2.020,2.810
2,3:11,3,6,CLE 27,6,7,Vinny Testaverde pass complete to Julius Jones for 7 yards (tackle by Daylon McCutcheon),2.810,4.240
2,2:31,1,10,CLE 20,6,7,Vinny Testaverde pass incomplete intended for Terry Glenn (defended by Daylon McCutcheon),4.240,3.690
2,2:25,,,,6,7,Timeout #2 by Dallas Cowboys,0.000,3.690
2,2:25,2,10,CLE 20,6,7,"Vinny Testaverde pass complete to Julius Jones for 3 yards (tackle by Chris Crocker). Penalty on Matt Lehr: Illegal Block Above the Waist, 10 yards (no play)",3.690,2.340
2,2:00,2,20,CLE 30,6,7,Vinny Testaverde pass incomplete intended for Eddie George (defended by Orpheus Roye),2.340,1.680
2,1:56,3,20,CLE 30,6,7,"Vinny Testaverde pass complete to Terry Glenn for 18 yards (tackle by Anthony Henry). Penalty on Earl Little: Unnecessary Roughness (Offsetting), Penalty on Keyshawn Johnson: Taunting (Offsetting)",1.680,2.760
2,1:43,4,2,CLE 12,6,10,Billy Cundiff 30 yard field goal good,2.760,3.000
2,,,,DAL 30,6,10,"Billy Cundiff kicks off 60 yards, returned by Dee Brown for 15 yards (tackle by Keith Davis)",0.000,0.610
2,1:35,1,10,CLE 25,6,10,James Jackson left end for 9 yards (tackle by Tony Dixon),0.610,1.280
2,1:13,2,1,CLE 34,6,10,Jeff Garcia pass incomplete intended for Andra Davis,1.280,0.560
2,1:09,3,1,CLE 34,6,10,James Jackson right end for 38 yards (tackle by Randal Williams),0.560,3.710
2,0:59,,,,6,10,Timeout #1 by Cleveland Browns,0.000,3.710
2,0:59,1,10,DAL 28,6,10,"Penalty on Ryan Tucker: False Start, 5 yards (no play)",3.710,3.380
2,0:58,1,15,DAL 33,6,10,Jeff Garcia pass incomplete intended for Kellen Winslow Jr. (defended by Dat Nguyen),3.380,2.490
2,0:54,2,15,DAL 33,6,10,Jeff Garcia pass incomplete intended for Quincy Morgan. Penalty on Dennis Northcutt: Illegal Formation (Declined),2.490,1.820
2,0:46,3,15,DAL 33,6,10,Jeff Garcia pass complete to James Jackson for 1 yard (tackle by Pete Hunter),1.820,1.240
2,0:03,,,,6,10,Timeout #2 by Cleveland Browns,0.000,1.240
2,0:03,4,14,DAL 32,9,10,Phil Dawson 49 yard field goal good,1.240,3.000
Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,9,10,"Phil Dawson kicks off 70 yards, returned by ReShard Lee for 24 yards (tackle by Leigh Bodden)",0.000,0.540
3,14:54,1,10,DAL 24,9,10,Vinny Testaverde pass complete to Eddie George for 6 yards (tackle by Andra Davis),0.540,0.810
3,14:16,2,4,DAL 30,9,10,Eddie George left tackle for 5 yards (tackle by Andra Davis and Ben Taylor),0.810,1.270
3,13:36,1,10,DAL 35,9,10,Vinny Testaverde pass complete to Keyshawn Johnson for 21 yards (tackle by Daylon McCutcheon),1.270,2.650
3,13:06,1,10,CLE 44,9,10,Eddie George left tackle for no gain (tackle by Ben Taylor and Andra Davis),2.650,2.110
3,12:23,2,10,CLE 44,9,10,Julius Jones left end for 8 yards (tackle by Anthony Henry),2.110,2.480
3,11:48,3,2,CLE 36,9,10,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Earl Little),2.480,0.890
3,11:41,4,2,CLE 36,9,10,Julius Jones right end for 3 yards (tackle by Ebenezer Ekuban),0.890,3.380
3,10:59,1,10,CLE 33,9,10,Eddie George left guard for 2 yards (tackle by Andra Davis and Warrick Holdman),3.380,3.110
3,10:19,2,8,CLE 31,9,10,Vinny Testaverde pass incomplete intended for Julius Jones,3.110,2.410
3,10:12,3,8,CLE 31,9,10,Vinny Testaverde pass incomplete intended for Antonio Bryant,2.410,1.320
3,10:09,4,8,CLE 31,9,10,Billy Cundiff 49 yard field goal no good,1.320,-1.530
3,10:03,1,10,CLE 39,9,10,Jeff Garcia for 9 yards,1.530,2.200
3,9:38,2,1,CLE 48,9,10,William Green right tackle for 3 yards (tackle by Dat Nguyen),2.200,2.320
3,9:08,1,10,DAL 49,9,10,William Green up the middle for 3 yards (tackle by Greg Ellis),2.320,2.190
3,8:24,2,7,DAL 46,9,10,Jeff Garcia for 16 yards,2.190,3.580
3,7:57,1,10,DAL 30,9,10,William Green left tackle for -1 yards (tackle by La'Roi Glover),3.580,2.900
3,7:12,2,11,DAL 31,9,10,William Green up the middle for 5 yards (tackle by Randal Williams),2.900,2.870
3,6:32,3,6,DAL 26,9,10,Jeff Garcia pass incomplete intended for Kellen Winslow Jr. is intercepted by Dat Nguyen at DAL-27 and returned for 19 yards (tackle by Jeff Garcia),2.870,-1.990
3,6:23,1,10,DAL 46,9,10,"Penalty on Jason Witten: False Start, 5 yards (no play)",1.990,1.660
3,6:23,1,15,DAL 41,9,10,Vinny Testaverde pass complete to Julius Jones for 7 yards (tackle by Chris Crocker),1.660,1.720
3,5:41,2,8,DAL 48,9,10,Vinny Testaverde pass complete to Terry Glenn for 9 yards (tackle by Chris Crocker),1.720,2.720
3,4:54,1,10,CLE 43,9,10,Vinny Testaverde pass complete to Antonio Bryant for 37 yards (tackle by Robert Griffith),2.720,5.830
3,4:06,1,6,CLE 6,9,10,Eddie George left tackle for 3 yards (tackle by Anthony Henry),5.830,5.530
3,3:23,2,3,CLE 3,9,16,"Eddie George up the middle for 3 yards, touchdown",5.530,7.000
3,,,,CLE 2,9,17,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,DAL 30,9,17,"Billy Cundiff kicks off 65 yards, returned by Dee Brown for no gain",0.000,-0.380
3,3:13,1,10,CLE 9,9,17,"William Green right end for -3 yards (tackle by Tony Dixon). William Green fumbles (forced by Tony Dixon), ball out of bounds at CLE-6",-0.380,-1.000
3,2:52,2,13,CLE 6,9,17,Jeff Garcia pass incomplete intended for Kellen Winslow Jr.,-1.000,-1.770
3,2:50,3,13,CLE 6,9,17,Jeff Garcia pass incomplete intended for Kellen Winslow Jr.,-1.770,-2.490
3,2:45,4,13,CLE 6,9,17,"Derrick Frost punts 39 yards, returned by Terence Newman for 7 yards (tackle by Chris Crocker)",-2.490,-3.050
3,2:35,1,10,CLE 38,9,17,"ReShard Lee left guard for 9 yards (tackle by Earl Little). Penalty on Flozell Adams: Offensive Holding, 10 yards (no play)",3.050,2.390
3,2:08,1,20,CLE 48,9,17,ReShard Lee up the middle for 4 yards (tackle by Ebenezer Ekuban),2.390,1.700
3,1:29,2,16,CLE 44,9,17,Vinny Testaverde pass complete to Daniel Campbell for 7 yards (tackle by Anthony Henry),1.700,1.950
3,0:42,3,9,CLE 37,9,17,Vinny Testaverde pass incomplete intended for Terry Glenn is intercepted by Anthony Henry at CLE-27 and returned for 51 yards (tackle by Jason Witten),1.950,-4.110
3,0:31,1,10,DAL 22,9,17,Jeff Garcia pass complete to Andra Davis for 11 yards (tackle by Pete Hunter),4.110,4.840
3,0:31,1,10,DAL 11,9,17,Jeff Garcia pass incomplete intended for William Green,4.840,4.140
Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,,9,17,Timeout #1 by Cleveland Browns,0.000,4.140
4,15:00,2,10,DAL 11,9,17,Jeff Garcia right end for 6 yards (tackle by Greg Ellis),4.140,4.440
4,14:32,3,4,DAL 5,9,17,Jeff Garcia pass incomplete intended for Quincy Morgan (defended by Jacques Reeves),4.440,3.010
4,14:27,4,4,DAL 5,12,17,Phil Dawson 22 yard field goal good,3.010,3.000
4,,,,CLE 30,12,17,"Phil Dawson kicks off 72 yards, touchback",0.000,0.280
4,14:25,1,10,DAL 20,12,17,Vinny Testaverde pass complete to Jason Witten for 17 yards (tackle by Warrick Holdman),0.280,1.400
4,13:47,1,10,DAL 37,12,17,"Eddie George up the middle for no gain (tackle by Robert Griffith). Penalty on Kenard Lang: Defensive Offside, 5 yards (no play)",1.400,2.130
4,13:26,1,5,DAL 42,12,17,Eddie George left tackle for 8 yards (tackle by Warrick Holdman),2.130,2.260
4,12:44,1,10,CLE 50,12,17,Vinny Testaverde pass complete to Jason Witten for 5 yards (tackle by Robert Griffith),2.260,2.390
4,12:02,2,5,CLE 45,12,17,Eddie George up the middle for 2 yards (tackle by Orpheus Roye),2.390,1.950
4,11:18,3,3,CLE 43,12,17,Vinny Testaverde pass incomplete intended for Terry Glenn is intercepted by Daylon McCutcheon at CLE-37 and returned for 2 yards (tackle by Terry Glenn),1.950,-1.530
4,11:12,1,10,CLE 39,12,17,Jeff Garcia pass incomplete intended for Quincy Morgan,1.530,0.990
4,11:05,2,10,CLE 39,12,17,"Penalty on Ryan Tucker: False Start, 5 yards (no play)",0.990,0.310
4,11:03,2,15,CLE 34,12,17,William Green up the middle for 3 yards (tackle by Eric Ogbogu),0.310,0.040
4,10:20,3,12,CLE 37,12,17,Jeff Garcia pass incomplete intended for James Jackson is intercepted by Pete Hunter at CLE-45 and returned for 2 yards,0.040,-2.720
4,10:13,1,10,CLE 43,12,17,Eddie George up the middle for 9 yards (tackle by Robert Griffith and Andra Davis),2.720,3.390
4,9:32,2,1,CLE 34,12,17,Eddie George right guard for 2 yards (tackle by Andra Davis),3.390,3.450
4,8:49,1,10,CLE 32,12,17,ReShard Lee up the middle for 7 yards (tackle by Robert Griffith),3.450,3.850
4,8:12,2,3,CLE 25,12,17,"Penalty on Flozell Adams: False Start, 5 yards (no play)",3.850,3.170
4,7:51,2,8,CLE 30,12,17,Vinny Testaverde pass incomplete intended for Dedric Ward is intercepted by Robert Griffith at CLE-9 and returned for 18 yards (tackle by Jason Witten),3.170,-0.740
4,7:42,1,10,CLE 27,12,17,Jeff Garcia pass complete to Andra Davis for 12 yards (tackle by Terence Newman),0.740,1.530
4,7:19,1,10,CLE 39,12,17,William Green right end for 7 yards (tackle by Dat Nguyen),1.530,1.930
4,6:56,2,3,CLE 46,12,17,William Green up the middle for 4 yards (tackle by Kenyon Coleman),1.930,2.260
4,6:20,1,10,DAL 50,12,17,William Green right end for 2 yards (tackle by Greg Ellis and Terence Newman),2.260,1.980
4,5:39,2,8,DAL 48,12,17,Jeff Garcia pass incomplete intended for Quincy Morgan is intercepted by Terence Newman at DAL-41 and returned for 21 yards,1.980,-3.050
4,5:31,1,10,CLE 38,12,17,Eddie George up the middle for 1 yard (tackle by Michael Myers and Ben Taylor),3.050,2.640
4,4:49,2,9,CLE 37,12,17,"ReShard Lee up the middle for 3 yards (tackle by Kevin Bentley). Penalty on Larry Allen: Offensive Holding, 10 yards (no play)",2.640,1.290
4,4:42,2,19,CLE 47,12,17,ReShard Lee up the middle for 2 yards (tackle by Michael Myers),1.290,0.890
4,3:59,3,17,CLE 45,12,17,Vinny Testaverde pass incomplete intended for Terry Glenn,0.890,0.270
4,3:50,4,17,CLE 45,12,17,"Mat McBriar punts 35 yards, fair catch by Dennis Northcutt",0.270,0.380
4,3:45,1,10,CLE 10,12,17,James Jackson up the middle for 3 yards (tackle by Leonardo Carson),-0.380,-0.560
4,3:15,2,7,CLE 13,12,17,Jeff Garcia pass complete to Quincy Morgan for 11 yards (tackle by Jacques Reeves),-0.560,0.540
4,2:37,1,10,CLE 24,12,17,Jeff Garcia pass incomplete intended for Quincy Morgan,0.540,0.000
4,2:28,2,10,CLE 24,12,17,Jeff Garcia pass incomplete intended for Dennis Northcutt (defended by Nate Jones),0.000,-0.690
4,2:26,3,10,CLE 24,12,17,Jeff Garcia pass incomplete intended for Dennis Northcutt (defended by Randal Williams),-0.690,-1.770
4,2:21,4,10,CLE 24,12,17,"Derrick Frost punts 51 yards, returned by Dedric Ward for 10 yards. Penalty on Keith O'Neil: Illegal Block Above the Waist, 10 yards",-1.770,-0.610
4,2:10,1,10,DAL 25,12,17,Eddie George up the middle for 1 yard (tackle by Michael Myers),0.610,0.200
4,2:04,,,,12,17,Timeout #2 by Cleveland Browns,0.000,0.200
4,2:04,2,9,DAL 26,12,17,Vinny Testaverde pass complete to Terry Glenn for 37 yards (tackle by Daylon McCutcheon),0.200,3.120
4,1:58,1,10,CLE 37,12,17,Eddie George up the middle for 1 yard (tackle by Warrick Holdman),3.120,2.710
4,1:54,,,,12,17,Timeout #3 by Cleveland Browns,0.000,2.710
4,1:54,2,9,CLE 36,12,17,Eddie George right end for 3 yards (tackle by Michael Myers),2.710,2.410
4,1:08,3,6,CLE 33,12,17,Eddie George up the middle for 1 yard (tackle by Kevin Bentley),2.410,1.260
4,0:22,,,,12,17,Timeout #1 by Dallas Cowboys,0.000,1.260
4,0:22,4,5,CLE 32,12,17,Mat McBriar punts 31 yards,1.260,0.380
4,0:09,1,10,CLE 1,12,19,"Jeff Garcia pass incomplete intended for Kellen Winslow Jr.. Penalty on Joaquin Gonzalez: Offensive Holding, 1 yards (no play)",-0.380,-2.000
4,,,,CLE 20,12,19,"Phil Dawson kicks onside 18 yards, recovered by Anthony Henry (onside kick successful)",0.000,1.470
4,0:06,1,10,CLE 38,12,19,"Penalty on Greg Ellis: Defensive Offside, 5 yards (no play)",1.470,2.200
4,0:06,1,5,CLE 43,12,19,Luke McCown pass incomplete intended for Dennis Northcutt (defended by Keyshawn Johnson),2.200,1.600
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
