Quarter,Time,Tm,Detail,CLE,DAL
1.0,7:49,Cowboys,Jeff Robinson 1 yard pass from Vinny Testaverde (Billy Cundiff kick),0,7
2.0,14:56,Browns,Phil Dawson 45 yard field goal,3,7
,7:17,Browns,Phil Dawson 23 yard field goal,6,7
,1:43,Cowboys,Billy Cundiff 30 yard field goal,6,10
,0:00,Browns,Phil Dawson 49 yard field goal,9,10
3.0,3:18,Cowboys,Eddie George 3 yard rush (Billy Cundiff kick),9,17
4.0,14:25,Browns,Phil Dawson 22 yard field goal,12,17
,0:08,Cowboys,"Safety,",12,19
