Unnamed: 0,CLE,DAL
First Downs,12,20
Rush-Yds-TDs,26-136-0,28-126-1
Cmp-Att-Yd-TD-INT,8-28-71-0-3,23-35-322-1-3
Sacked-Yards,1-5,1-7
Net Pass Yards,66,315
Total Yards,202,441
Fumbles-Lost,1-0,1-1
Turnovers,3,4
Penalties-Yards,6-31,11-120
Third Down Conv.,2-12,4-13
Fourth Down Conv.,0-0,2-2
Time of Possession,23:52,36:08
