Quarter,Time,Tm,Detail,NYJ,BAL
1.0,11:58,Ravens,Jameel McClain defensive fumble recovery in end zone (Billy Cundiff kick),0,7
,11:43,Jets,Joe McKnight 107 yard kickoff return (Nick Folk kick),7,7
,6:27,Ravens,Billy Cundiff 38 yard field goal,7,10
,1:14,Ravens,Ray Rice 3 yard rush (Billy Cundiff kick),7,17
2.0,13:19,Ravens,Billy Cundiff 38 yard field goal,7,20
,8:11,Ravens,Jarret Johnson 26 yard defensive fumble return (Billy Cundiff kick),7,27
,6:17,Jets,David Harris 35 yard interception return (Nick Folk kick),14,27
,2:14,Jets,Nick Folk 40 yard field goal,17,27
3.0,8:49,Ravens,Lardarius Webb 73 yard interception return (Billy Cundiff kick),17,34
