Unnamed: 0,NYJ,BAL
First Downs,7,16
Rush-Yds-TDs,19-38-0,40-112-1
Cmp-Att-Yd-TD-INT,11-35-119-0-1,10-31-163-0-1
Sacked-Yards,2-7,2-8
Net Pass Yards,112,155
Total Yards,150,267
Fumbles-Lost,5-3,3-2
Turnovers,4,3
Penalties-Yards,9-69,7-46
Third Down Conv.,4-15,6-18
Fourth Down Conv.,0-1,0-0
Time of Possession,22:32,37:28
