Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 64 yards, returned by LaQuan Williams for 15 yards (tackle by Joe McKnight). LaQuan Williams fumbles (forced by Joe McKnight), recovered by Brendon Ayanbadejo at BAL-13",0.000,-0.320
1,14:52,1,10,BAL 13,0,0,"Joe Flacco pass incomplete short middle intended for Torrey Smith. Penalty on Joe Flacco: Intentional Grounding, 6 yards",-0.320,-1.220
1,14:47,2,16,BAL 7,0,0,Ray Rice right guard for 3 yards (tackle by Bart Scott and Sione Pouha),-1.220,-1.770
1,14:04,3,13,BAL 10,0,0,Joe Flacco pass complete short middle to Ed Dickson for 14 yards (tackle by Donald Strickland),-1.770,0.540
1,13:25,1,10,BAL 24,0,0,Joe Flacco pass incomplete short left intended for Ray Rice,0.540,0.000
1,13:20,2,10,BAL 24,0,0,Joe Flacco pass complete short left to Dennis Pitta for 14 yards (tackle by Jim Leonhard),0.000,1.470
1,12:41,1,10,BAL 38,0,0,Joe Flacco pass incomplete deep right intended for Torrey Smith,1.470,0.920
1,12:32,2,10,BAL 38,0,0,Joe Flacco pass incomplete short left intended for Vonta Leach (defended by Bryan Thomas),0.920,0.230
1,12:28,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,0.230
1,12:28,3,10,BAL 38,0,0,Joe Flacco pass incomplete short left intended for Ray Rice,0.230,-0.850
1,12:18,4,10,BAL 38,0,0,"Sam Koch punts 42 yards, returned by Jeremy Kerley for -1 yards (tackle by LaQuan Williams). Penalty on Nick Bellore: Offensive Holding, 9 yards",-0.850,0.380
1,12:07,1,10,NYJ 10,0,6,"Mark Sanchez sacked by Ed Reed for -4 yards. Mark Sanchez fumbles (forced by Ed Reed), recovered by Jameel McClain at NYJ-6 and returned for 6 yards, touchdown",-0.380,-7.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,,,,NYJ 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 35,6,7,"Billy Cundiff kicks off 72 yards, returned by Joe McKnight for 107 yards, touchdown",0.000,7.000
1,,,,BAL 2,7,7,Nick Folk kicks extra point good,0.000,0.000
1,,,,NYJ 35,7,7,"Nick Folk kicks off 62 yards, returned by LaQuan Williams for 18 yards (tackle by Josh Mauga). Penalty on Prescott Burgess: Offensive Holding, 10 yards",0.000,-0.370
1,11:35,1,10,BAL 11,7,7,"Ray Rice left tackle for 4 yards (tackle by Calvin Pace). Penalty on Andre Gurode: Offensive Holding, 5 yards (no play)",-0.370,-0.570
1,11:07,1,15,BAL 6,7,7,Ray Rice right guard for 10 yards (tackle by Jim Leonhard),-0.570,-0.300
1,10:25,2,5,BAL 16,7,7,Joe Flacco pass complete short middle to Ed Dickson for 8 yards (tackle by Bart Scott),-0.300,0.540
1,9:42,1,10,BAL 24,7,7,Ray Rice left tackle for 1 yard (tackle by Muhammad Wilkerson),0.540,0.130
1,9:07,2,9,BAL 25,7,7,Joe Flacco pass complete short right to Torrey Smith for 1 yard (tackle by Antonio Cromartie),0.130,-0.430
1,8:30,3,8,BAL 26,7,7,"Penalty on Matt Birk: False Start, 5 yards (no play)",-0.430,-1.090
1,8:05,3,13,BAL 21,7,7,Joe Flacco pass complete short middle to Ray Rice for 52 yards (tackle by Donald Strickland),-1.090,3.780
1,7:35,1,10,NYJ 27,7,7,"Joe Flacco pass incomplete deep right intended for Anquan Boldin (defended by Jim Leonhard). Penalty on Antonio Cromartie: Defensive Holding, 5 yards (no play)",3.780,4.110
1,7:25,1,10,NYJ 22,7,7,Ricky Williams right tackle for 3 yards (tackle by David Harris),4.110,3.970
1,6:44,2,7,NYJ 19,7,7,Joe Flacco pass incomplete deep middle intended for Torrey Smith,3.970,3.260
1,6:35,3,7,NYJ 19,7,7,Joe Flacco pass incomplete deep left intended for Ed Dickson,3.260,2.180
1,6:31,4,7,NYJ 19,7,10,Billy Cundiff 38 yard field goal good,2.180,3.000
1,,,,BAL 35,7,10,"Billy Cundiff kicks off 73 yards, returned by Joe McKnight for 28 yards (tackle by Tom Zbikowski)",0.000,0.280
1,6:22,1,10,NYJ 20,7,10,"Shonn Greene up the middle for 2 yards (tackle by Terrence Cody and Jameel McClain). Penalty on Bernard Pollard: Defensive Offside, 5 yards (no play)",0.280,1.010
1,5:57,1,5,NYJ 25,7,10,Mark Sanchez pass incomplete short right intended for Dustin Keller (defended by Jarret Johnson),1.010,0.410
1,5:52,2,5,NYJ 25,7,10,"Mark Sanchez for no gain. Mark Sanchez fumbles, recovered by Shonn Greene at NYJ-22",0.410,-0.690
1,5:02,3,8,NYJ 22,7,10,Mark Sanchez pass incomplete deep left intended for Santonio Holmes,-0.690,-1.900
1,4:56,4,8,NYJ 22,7,10,T.J. Conley punts 37 yards,-1.900,-1.660
1,4:45,1,10,BAL 41,7,10,Ray Rice left tackle for 2 yards (tackle by Bart Scott),1.660,1.390
1,4:09,2,8,BAL 43,7,10,Joe Flacco pass incomplete deep middle intended for Torrey Smith (defended by Eric Smith),1.390,0.700
1,4:00,3,8,BAL 43,7,10,Joe Flacco pass complete short left to Ray Rice for 12 yards (tackle by Donald Strickland),0.700,2.590
1,3:18,1,10,NYJ 45,7,10,Joe Flacco pass complete deep left to Anquan Boldin for 28 yards (tackle by Eric Smith),2.590,4.440
1,2:42,,,,7,10,Timeout #2 by Baltimore Ravens,0.000,4.440
1,2:42,1,10,NYJ 17,7,10,Joe Flacco pass incomplete short left intended for Vonta Leach,4.440,3.850
1,2:37,2,10,NYJ 17,7,10,Joe Flacco pass complete short right to Ed Dickson for 13 yards (tackle by Darrelle Revis and Josh Mauga),3.850,6.280
1,2:01,1,4,NYJ 4,7,10,Ray Rice right tackle for 1 yard (tackle by Sione Pouha),6.280,5.530
1,1:20,2,3,NYJ 3,7,16,"Ray Rice left end for 3 yards, touchdown",5.530,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,,,,NYJ 2,7,17,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 35,7,17,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
1,1:14,1,10,NYJ 20,7,17,Shonn Greene left end for 5 yards (tackle by Cary Williams and Jameel McClain),0.280,0.410
1,0:37,2,5,NYJ 25,7,17,Mark Sanchez pass complete short left to Plaxico Burress for 8 yards (tackle by Cary Williams),0.410,1.140
Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 33,7,17,Shonn Greene right guard for 2 yards (tackle by Jarret Johnson and Terrence Cody),1.140,0.860
2,14:25,2,8,NYJ 35,7,17,Mark Sanchez pass incomplete short middle intended for Dustin Keller,0.860,0.170
2,14:21,3,8,NYJ 35,7,17,"Mark Sanchez for no gain. Mark Sanchez fumbles, recovered by Paul Kruger at NYJ-23 (tackle by Mark Sanchez)",0.170,-4.040
2,14:16,1,10,NYJ 23,7,17,Joe Flacco pass incomplete short left intended for Ed Dickson,4.040,3.500
2,14:09,2,10,NYJ 23,7,17,Ricky Williams right guard for 4 yards,3.500,3.340
2,13:29,3,6,NYJ 19,7,17,Joe Flacco pass incomplete short left intended for Ricky Williams,3.340,2.210
2,13:23,4,6,NYJ 19,7,20,Billy Cundiff 38 yard field goal good,2.210,3.000
2,,,,BAL 35,7,20,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
2,13:19,1,10,NYJ 20,7,20,"Mark Sanchez pass complete short left to Plaxico Burress for 11 yards (tackle by Cary Williams). Penalty on Plaxico Burress: Face Mask (15 Yards), 15 yards",0.280,-0.210
2,12:40,1,14,NYJ 16,7,20,Shonn Greene right guard for 4 yards (tackle by Ray Lewis),-0.210,-0.270
2,12:09,2,10,NYJ 20,7,20,Mark Sanchez pass incomplete short left intended for Plaxico Burress,-0.270,-0.960
2,12:05,3,10,NYJ 20,7,20,Mark Sanchez pass incomplete short left intended for Santonio Holmes (defended by Brendon Ayanbadejo),-0.960,-2.030
2,11:50,4,10,NYJ 20,7,20,"T.J. Conley punts 43 yards. Penalty on Josh Mauga: Offensive Holding, 10 yards",-2.030,-2.060
2,11:35,1,10,BAL 47,7,20,Joe Flacco pass incomplete deep left intended for Ed Dickson,2.060,1.520
2,11:29,2,10,BAL 47,7,20,Joe Flacco pass incomplete short right intended for Ed Dickson,1.520,0.830
2,11:25,3,10,BAL 47,7,20,Joe Flacco pass incomplete deep left intended for Ed Dickson,0.830,-0.260
2,11:18,4,10,BAL 47,7,20,"Sam Koch punts 35 yards, fair catch by Jeremy Kerley",-0.260,-0.040
2,11:09,1,10,NYJ 18,7,20,Mark Sanchez pass complete short middle to Dustin Keller for 9 yards (tackle by Lardarius Webb),0.040,0.820
2,10:34,2,1,NYJ 27,7,20,Shonn Greene left guard for -2 yards (tackle by Haloti Ngata),0.820,-0.270
2,9:48,3,3,NYJ 25,7,20,Mark Sanchez up the middle for 3 yards (tackle by Brendon Ayanbadejo),-0.270,0.810
2,9:00,1,10,NYJ 28,7,20,Shonn Greene right guard for 1 yard (tackle by Terrell Suggs),0.810,0.400
2,8:21,2,9,NYJ 29,7,26,"Mark Sanchez sacked by Haloti Ngata for -7 yards. Mark Sanchez fumbles (forced by Haloti Ngata), recovered by Jarret Johnson at NYJ-26 and returned for 26 yards, touchdown",0.400,-7.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,,,,NYJ 2,7,27,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,BAL 35,7,27,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
2,8:11,1,10,NYJ 20,7,27,"Penalty on Vlad Ducasse: False Start, 5 yards (no play)",0.280,-0.310
2,8:11,1,15,NYJ 15,7,27,Shonn Greene left guard for 3 yards (tackle by Terrell Suggs),-0.310,-0.630
2,7:37,2,12,NYJ 18,7,27,Mark Sanchez pass incomplete short right intended for Santonio Holmes (defended by Lardarius Webb),-0.630,-1.330
2,7:33,3,12,NYJ 18,7,27,Mark Sanchez pass incomplete short left intended for LaDainian Tomlinson,-1.330,-2.240
2,7:28,4,12,NYJ 18,7,27,T.J. Conley punts 47 yards,-2.240,-1.270
2,7:15,1,10,BAL 35,7,27,Ray Rice right guard for -1 yards (tackle by Sione Pouha),1.270,0.590
2,6:33,2,11,BAL 34,7,27,Joe Flacco pass incomplete deep right intended for Torrey Smith,0.590,-0.100
2,6:26,3,11,BAL 34,13,27,"Joe Flacco pass incomplete short middle intended for Ray Rice is intercepted by David Harris at BAL-35 and returned for 35 yards, touchdown",-0.100,-7.000
2,,,,BAL 2,14,27,Nick Folk kicks extra point good,0.000,0.000
2,,,,NYJ 35,14,27,"Nick Folk kicks off 64 yards, returned by LaQuan Williams for 19 yards (tackle by Nick Bellore)",0.000,0.280
2,6:11,1,10,BAL 20,14,27,Ray Rice left tackle for 2 yards (tackle by Mike DeVito),0.280,0.000
2,5:30,2,8,BAL 22,14,27,Joe Flacco pass incomplete short middle intended for Ed Dickson,0.000,-0.690
2,5:24,3,8,BAL 22,14,27,Joe Flacco sacked by Eric Smith and Brodney Pool for -8 yards,-0.690,-2.470
2,4:53,4,16,BAL 14,14,27,"Sam Koch punts 46 yards, returned by Jeremy Kerley for 13 yards (tackle by Albert McClellan)",-2.470,-2.460
2,4:41,1,10,BAL 47,14,27,John Conner left guard for 13 yards (tackle by Cary Williams),2.460,3.310
2,4:05,1,10,BAL 34,14,27,"Shonn Greene up the middle for -1 yards (tackle by Terrell Suggs). Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",3.310,4.040
2,3:37,1,5,BAL 29,14,27,Mark Sanchez pass incomplete short right intended for Derrick Mason (defended by Lardarius Webb),4.040,3.450
2,3:32,2,5,BAL 29,14,27,"Shonn Greene up the middle for 1 yard (tackle by Ray Lewis). Shonn Greene fumbles (forced by Ray Lewis), recovered by Shonn Greene at BAL-28. Penalty on Matt Slauson: Offensive Holding, 10 yards (no play)",3.450,2.090
2,3:02,2,15,BAL 39,14,27,Mark Sanchez pass complete short left to Santonio Holmes for 22 yards (tackle by Cary Williams),2.090,4.440
2,2:35,1,10,BAL 17,14,27,Mark Sanchez pass incomplete short middle intended for Plaxico Burress,4.440,3.850
2,2:30,2,10,BAL 17,14,27,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",3.850,3.220
2,2:30,2,15,BAL 22,14,27,Mark Sanchez pass incomplete short middle intended for Dustin Keller (defended by Ray Lewis),3.220,2.540
2,2:23,3,15,BAL 22,14,27,Mark Sanchez pass incomplete deep right intended for Santonio Holmes,2.540,1.990
2,2:18,4,15,BAL 22,17,27,Nick Folk 40 yard field goal good,1.990,3.000
2,,,,NYJ 35,17,27,Nick Folk kicks off 58 yards,0.000,1.600
2,2:14,1,10,BAL 40,17,27,Joe Flacco pass incomplete short left intended for Anquan Boldin,1.600,1.050
2,2:09,2,10,BAL 40,17,27,Ray Rice left tackle for 1 yard (tackle by Sione Pouha and Bart Scott),1.050,0.500
2,2:00,3,9,BAL 41,17,27,Joe Flacco pass incomplete deep right intended for Ed Dickson (defended by Jim Leonhard),0.500,-0.650
2,1:55,4,9,BAL 41,17,27,Sam Koch punts 58 yards,-0.650,0.380
2,1:42,1,10,NYJ 1,17,27,John Conner right guard for 1 yard (tackle by Terrence Cody),-0.380,-0.710
2,1:01,2,9,NYJ 2,17,27,Shonn Greene right guard for 8 yards (tackle by Ray Lewis),-0.710,-0.370
2,0:25,3,1,NYJ 10,17,27,John Conner right tackle for 1 yard (tackle by Cory Redding and Bernard Pollard),-0.370,-0.370
Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,17,27,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,NYJ 20,17,27,Shonn Greene right guard for no gain (tackle by Ray Lewis),0.280,-0.270
3,14:21,2,10,NYJ 20,17,27,Mark Sanchez pass incomplete short left intended for Santonio Holmes (defended by Jameel McClain),-0.270,-0.960
3,14:18,3,10,NYJ 20,17,27,Mark Sanchez pass complete short left to Plaxico Burress for 14 yards (tackle by Cary Williams),-0.960,1.200
