Unnamed: 0,PIT,DEN
First Downs,19,20
Rush-Yds-TDs,26-75-0,27-94-1
Cmp-Att-Yd-TD-INT,22-40-245-2-1,19-26-253-2-0
Sacked-Yards,5-36,2-13
Net Pass Yards,209,240
Total Yards,284,334
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,8-52,6-49
Third Down Conv.,11-19,5-9
Fourth Down Conv.,1-2,0-0
Time of Possession,35:05,24:55
