Quarter,Time,Tm,Detail,PIT,DEN
2.0,10:10,Steelers,Shaun Suisham 21 yard field goal,3,0
,5:16,Broncos,Knowshon Moreno 7 yard rush (Matt Prater kick),3,7
,0:28,Steelers,Heath Miller 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,7
3.0,6:05,Steelers,Shaun Suisham 35 yard field goal,13,7
,5:29,Broncos,Demaryius Thomas 71 yard pass from Peyton Manning (Matt Prater kick),13,14
4.0,14:11,Steelers,Mike Wallace 3 yard pass from Ben Roethlisberger (pass failed),19,14
,9:23,Broncos,Jacob Tamme 1 yard pass from Peyton Manning (Willis McGahee pass from Peyton Manning),19,22
,3:00,Broncos,Matt Prater 26 yard field goal,19,25
,1:58,Broncos,Tracy Porter 43 yard interception return (run failed),19,31
