Quarter,Time,Tm,Detail,STL,ARI
1.0,11:42,Rams,Torry Holt 19 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
,5:38,Cardinals,Neil Rackers 29 yard field goal,7,3
2.0,8:44,Cardinals,Neil Rackers 26 yard field goal,7,6
,3:42,Rams,Jeff Wilkins 29 yard field goal,10,6
3.0,10:23,Cardinals,Neil Rackers 48 yard field goal,10,9
,5:45,Rams,Steven Jackson 7 yard rush (Jeff Wilkins kick),17,9
4.0,6:59,Cardinals,Neil Rackers 35 yard field goal,17,12
