Unnamed: 0,STL,ARI
First Downs,16,18
Rush-Yds-TDs,22-108-1,16-82-0
Cmp-Att-Yd-TD-INT,18-29-216-1-1,29-42-327-0-1
Sacked-Yards,4-27,5-30
Net Pass Yards,189,297
Total Yards,297,379
Fumbles-Lost,1-0,3-1
Turnovers,1,2
Penalties-Yards,4-30,8-72
Third Down Conv.,3-11,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:51,31:09
