Quarter,Time,Tm,Detail,MIN,DET
1.0,6:49,Vikings,Greg Joseph 41 yard field goal,3,0
,0:59,Vikings,Greg Joseph 31 yard field goal,6,0
2.0,13:50,Lions,T.J. Hockenson 9 yard pass from Jared Goff (Riley Patterson kick),6,7
,9:45,Lions,Brock Wright 23 yard pass from Jared Goff (Riley Patterson kick),6,14
,1:33,Lions,Riley Patterson 31 yard field goal,6,17
,0:06,Lions,Riley Patterson 41 yard field goal,6,20
3.0,9:26,Vikings,Greg Joseph 31 yard field goal,9,20
,6:13,Vikings,Alexander Mattison 8 yard rush (run failed),15,20
,1:56,Lions,Riley Patterson 49 yard field goal,15,23
4.0,11:57,Vikings,K.J. Osborn 5 yard pass from Kirk Cousins (run failed),21,23
,1:50,Vikings,Justin Jefferson 3 yard pass from Kirk Cousins (pass failed),27,23
,0:00,Lions,Amon-Ra St. Brown 11 yard pass from Jared Goff,27,29
