Unnamed: 0,MIN,DET
First Downs,26,23
Rush-Yds-TDs,27-100-1,27-100-0
Cmp-Att-Yd-TD-INT,30-41-340-2-0,25-41-296-3-1
Sacked-Yards,3-14,3-24
Net Pass Yards,326,272
Total Yards,426,372
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,7-66,3-11
Third Down Conv.,6-13,2-11
Fourth Down Conv.,0-1,1-3
Time of Possession,33:04,26:56
