Quarter,Time,Tm,Detail,STL,WAS
1.0,10:45,Redskins,Clinton Portis 3 yard rush (Shaun Suisham kick),0,7
,4:01,Rams,Josh Brown 51 yard field goal,3,7
2.0,0:09,Rams,O.J. Atogwe 75 yard defensive fumble return (Josh Brown kick),10,7
3.0,8:21,Rams,Josh Brown 25 yard field goal,13,7
,0:25,Rams,Josh Brown 44 yard field goal,16,7
4.0,10:39,Redskins,Shaun Suisham 38 yard field goal,16,10
,3:47,Redskins,Clinton Portis 2 yard rush (Shaun Suisham kick),16,17
,0:00,Rams,Josh Brown 49 yard field goal,19,17
