Unnamed: 0,STL,WAS
First Downs,8,22
Rush-Yds-TDs,26-76-0,31-181-2
Cmp-Att-Yd-TD-INT,15-26-136-0-0,18-26-208-0-0
Sacked-Yards,2-12,4-21
Net Pass Yards,124,187
Total Yards,200,368
Fumbles-Lost,1-1,4-3
Turnovers,1,3
Penalties-Yards,10-79,7-53
Third Down Conv.,4-14,4-12
Fourth Down Conv.,1-1,1-1
Time of Possession,29:00,31:00
