Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
1,6:47,2,7,WAS 47,0,7,"Marc Bulger pass incomplete deep right intended for Torry Holt. Penalty on Nick Leckey: Offensive Holding, 10 yards (no play)",2.120,0.770
1,6:41,2,17,STL 43,0,7,Marc Bulger pass complete short middle to Joe Klopfenstein for 14 yards (tackle by Shawn Springs),0.770,1.950
1,5:59,3,3,WAS 43,0,7,Marc Bulger pass complete short left to Torry Holt for 5 yards (tackle by Carlos Rogers),1.950,3.050
1,5:26,,,,0,7,Timeout #1 by St. Louis Rams,0.000,3.050
1,5:26,1,10,WAS 38,0,7,Marc Bulger pass complete short right to Donnie Avery for 1 yard (tackle by Fred Smoot),3.050,2.640
1,4:52,2,9,WAS 37,0,7,Steven Jackson right tackle for 4 yards (tackle by Anthony Montgomery and Kedric Golston),2.640,2.480
1,4:08,3,5,WAS 33,0,7,Marc Bulger pass incomplete short right intended for Torry Holt,2.480,1.170
1,4:06,4,5,WAS 33,3,7,Josh Brown 51 yard field goal good,1.170,3.000
1,,,,STL 30,3,7,"Josh Brown kicks off 74 yards, returned by Rock Cartwright for 22 yards (tackle by Quinton Culberson)",0.000,0.040
1,3:55,1,10,WAS 18,3,7,Jason Campbell pass complete short left to Clinton Portis for 14 yards (tackle by Jason Craft),0.040,1.070
1,3:30,1,10,WAS 32,3,7,Jason Campbell pass complete deep left to Santana Moss for 17 yards,1.070,2.190
1,3:04,1,10,WAS 49,3,7,Clinton Portis right end for 5 yards (tackle by Pisa Tinoisamoa),2.190,2.320
1,2:28,2,5,STL 46,3,7,Jason Campbell pass complete short middle to Chris Cooley for 4 yards (tackle by Pisa Tinoisamoa),2.320,2.150
1,1:46,3,1,STL 42,3,7,Ladell Betts left end for 3 yards (tackle by Pisa Tinoisamoa and Will Witherspoon),2.150,2.980
1,1:09,1,10,STL 39,3,7,"Jason Campbell pass complete short right to Chris Cooley for 11 yards (tackle by O.J. Atogwe). Chris Cooley fumbles (forced by O.J. Atogwe), recovered by Jason Craft at STL-28 (tackle by Chris Cooley)",2.980,-0.810
1,0:58,1,10,STL 28,3,7,Steven Jackson left tackle for -1 yards (tackle by Kedric Golston and Jason Taylor),0.810,0.130
1,0:20,2,11,STL 27,3,7,Steven Jackson up the middle for 8 yards (tackle by Jason Taylor and Rocky McIntosh),0.130,0.500
Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,STL 35,3,7,Marc Bulger pass complete short right to Steven Jackson for 15 yards (tackle by LaRon Landry),0.500,2.260
2,14:24,1,10,STL 50,3,7,"Steven Jackson up the middle for 3 yards (tackle by Chris Horton and LaRon Landry). Penalty on Orlando Pace: Offensive Holding, 10 yards",2.260,1.800
2,13:59,1,17,STL 43,3,7,Travis Minor left guard for 5 yards (tackle by Kedric Golston),1.800,1.440
2,13:18,2,12,STL 48,3,7,Marc Bulger pass complete short left to Travis Minor for -2 yards (tackle by London Fletcher),1.440,0.500
2,12:35,3,14,STL 46,3,7,Marc Bulger pass incomplete short middle intended for Steven Jackson,0.500,-0.320
2,12:32,4,14,STL 46,3,7,"Donnie Jones punts 54 yards, touchback",-0.320,-0.280
2,12:24,1,10,WAS 20,3,7,Ladell Betts up the middle for 13 yards (tackle by Corey Chavous),0.280,1.140
2,11:50,1,10,WAS 33,3,7,Jason Campbell pass incomplete short left intended for Ladell Betts (defended by Will Witherspoon),1.140,0.590
2,11:45,2,10,WAS 33,3,7,Jason Campbell pass complete short left to Antwaan Randle El for 18 yards (tackle by Jason Craft),0.590,2.320
2,11:02,1,10,STL 49,3,7,Ladell Betts right end for -2 yards (tackle by Corey Chavous),2.320,1.510
2,10:19,2,12,WAS 49,3,7,Jason Campbell pass incomplete short left intended for Antwaan Randle El (defended by Jason Craft),1.510,0.830
2,10:14,3,12,WAS 49,3,7,Jason Campbell pass complete short left to Ladell Betts for 11 yards (tackle by Corey Chavous),0.830,0.590
2,9:55,,,,3,7,Timeout #1 by Washington Redskins,0.000,0.590
2,9:55,4,1,STL 40,3,7,Clinton Portis right tackle for 1 yard (tackle by Victor Adeyanju and Will Witherspoon),0.590,2.980
2,9:42,1,10,STL 39,3,7,Clinton Portis left end for 5 yards (tackle by Pisa Tinoisamoa),2.980,3.120
2,9:02,2,5,STL 34,3,7,Jason Campbell pass incomplete short right intended for Antwaan Randle El,3.120,2.410
2,8:53,3,5,STL 34,3,7,Jason Campbell for no gain. Jason Campbell fumbles,2.410,-2.190
2,8:53,1,10,STL 49,3,7,Marc Bulger pass complete short right to Steven Jackson for 4 yards (tackle by Fred Smoot),2.190,2.190
2,8:22,2,6,WAS 47,3,7,Steven Jackson up the middle for 4 yards (tackle by H.B. Blades),2.190,2.010
2,7:46,3,2,WAS 43,3,7,Marc Bulger pass incomplete short right intended for Joe Klopfenstein (defended by LaRon Landry),2.010,0.400
2,7:40,4,2,WAS 43,3,7,"Donnie Jones punts 29 yards, fair catch by Antwaan Randle El",0.400,0.280
2,7:30,1,10,WAS 14,3,7,"Jason Campbell pass incomplete deep right intended for Antwaan Randle El. Penalty on Ronald Bartell: Defensive Holding, 5 yards (no play)",-0.280,0.150
2,7:28,1,10,WAS 19,3,7,Clinton Portis left tackle for 2 yards,0.150,-0.060
2,6:45,2,8,WAS 21,3,7,Jason Campbell pass incomplete deep right intended for Santana Moss (defended by Ronald Bartell),-0.060,-0.810
2,6:38,3,8,WAS 21,3,7,Jason Campbell up the middle for 19 yards (tackle by Ronald Bartell),-0.810,1.600
2,5:54,1,10,WAS 40,3,7,Clinton Portis right tackle for 4 yards,1.600,1.590
2,5:17,2,6,WAS 44,3,7,Ladell Betts right tackle for 2 yards (tackle by Pisa Tinoisamoa and O.J. Atogwe),1.590,1.160
2,4:36,3,4,WAS 46,3,7,"Penalty on Chris Cooley: False Start, 5 yards (no play)",1.160,0.500
2,4:17,3,9,WAS 41,3,7,Jason Campbell pass complete short left to Ladell Betts for 7 yards (tackle by Jason Craft),0.500,-0.190
2,3:49,4,2,WAS 48,3,7,Durant Brooks punts 35 yards,-0.190,0.060
2,3:38,1,10,STL 17,3,7,Steven Jackson up the middle for 3 yards (tackle by Marcus Washington and LaRon Landry),-0.060,-0.060
2,3:00,2,7,STL 20,3,7,Steven Jackson right end for 2 yards (tackle by London Fletcher),-0.060,-0.620
2,2:15,,,,3,7,Timeout #2 by St. Louis Rams,0.000,-0.620
2,2:15,3,5,STL 22,3,7,Marc Bulger pass incomplete short right intended for Travis Minor,-0.620,-1.900
2,2:11,4,5,STL 22,3,7,"Donnie Jones punts 46 yards, returned by Antwaan Randle El for 1 yard (tackle by Chris Draft)",-1.900,-1.140
2,2:02,1,10,WAS 33,3,7,Jason Campbell pass complete short right to Chris Cooley for 10 yards (tackle by Jason Craft),1.140,1.800
2,1:56,1,10,WAS 43,3,7,Jason Campbell pass incomplete short left intended for Chris Cooley,1.800,1.250
2,1:52,2,10,WAS 43,3,7,Clinton Portis left tackle for 11 yards (tackle by La'Roi Glover),1.250,2.520
2,1:17,1,10,STL 46,3,7,Clinton Portis left tackle for 12 yards (tackle by Jason Craft and O.J. Atogwe),2.520,3.310
2,0:45,1,10,STL 34,3,7,"Jason Campbell for 3 yards. Penalty on Pete Kendall: Offensive Holding, 10 yards (no play)",3.310,2.650
2,0:37,1,20,STL 44,3,7,Jason Campbell pass complete deep middle to Chris Cooley for 28 yards (tackle by Jonathan Wade),2.650,4.510
2,0:26,,,,3,7,Timeout #2 by Washington Redskins,0.000,4.510
2,0:26,1,10,STL 16,9,7,"Jason Campbell pass complete short right to Pete Kendall for -9 yards (tackle by Pisa Tinoisamoa). Pete Kendall fumbles (forced by Pisa Tinoisamoa), recovered by O.J. Atogwe at STL-25 and returned for 75 yards, touchdown",4.510,-7.000
2,,,,WAS 2,10,7,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 15,10,7,"Josh Brown kicks off 73 yards, returned by Rock Cartwright for 28 yards (tackle by Jonathan Wade)",0.000,-0.220
Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,10,7,"Shaun Suisham kicks off 60 yards, returned by Dante Hall for 32 yards",0.000,1.730
3,14:53,1,10,STL 42,10,7,Steven Jackson up the middle for 7 yards (tackle by London Fletcher),1.730,2.130
3,14:19,2,3,STL 49,10,7,Steven Jackson right tackle for 9 yards (tackle by Marcus Washington and Rocky McIntosh),2.130,2.790
3,13:41,1,10,WAS 42,10,7,Steven Jackson up the middle for -2 yards (tackle by Andre Carter and Marcus Washington),2.790,1.970
3,13:00,2,12,WAS 44,10,7,Marc Bulger pass incomplete short middle intended for Torry Holt (defended by London Fletcher),1.970,1.290
3,12:53,3,12,WAS 44,10,7,"Penalty on Torry Holt: False Start, 5 yards (no play)",1.290,0.630
3,12:53,3,17,WAS 49,10,7,Marc Bulger pass complete short right to Steven Jackson for 13 yards (tackle by Chris Horton),0.630,0.890
3,12:03,,,,10,7,Timeout #1 by St. Louis Rams,0.000,0.890
3,12:03,4,4,WAS 36,10,7,Marc Bulger pass complete short middle to Torry Holt for 7 yards (tackle by London Fletcher),0.890,3.640
3,11:22,1,10,WAS 29,10,7,Steven Jackson right tackle for 8 yards (tackle by London Fletcher and Marcus Washington),3.640,4.180
3,10:42,2,2,WAS 21,10,7,Steven Jackson right tackle for 9 yards (tackle by Fred Smoot),4.180,4.780
3,10:00,1,10,WAS 12,10,7,Travis Minor left tackle for -2 yards (tackle by Chris Horton),4.780,3.790
3,9:18,2,12,WAS 14,10,7,Marc Bulger pass incomplete short left intended for Torry Holt (defended by Carlos Rogers),3.790,3.060
3,9:12,3,12,WAS 14,10,7,Steven Jackson left guard for 7 yards (tackle by London Fletcher and Fred Smoot),3.060,2.980
3,8:25,4,5,WAS 7,13,7,Josh Brown 25 yard field goal good,2.980,3.000
3,,,,STL 30,13,7,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
3,8:21,1,10,WAS 20,13,7,Jason Campbell pass complete short right to Antwaan Randle El for 13 yards (tackle by Ronald Bartell),0.280,1.140
3,8:02,1,10,WAS 33,13,7,Clinton Portis left tackle for 5 yards (tackle by Chris Draft),1.140,1.270
3,7:19,2,5,WAS 38,13,7,Jason Campbell pass complete short left to Chris Cooley for 4 yards (tackle by Pisa Tinoisamoa),1.270,1.090
3,6:36,3,1,WAS 42,13,7,Jason Campbell sacked by Victor Adeyanju for -3 yards,1.090,-0.780
3,6:11,4,4,WAS 39,13,7,"Durant Brooks punts 51 yards, returned by Dante Hall for 34 yards (tackle by Chris Horton)",-0.780,-1.860
3,5:56,1,10,STL 44,13,7,Marc Bulger pass incomplete deep right intended for Donnie Avery (defended by Fred Smoot),1.860,1.320
3,5:50,2,10,STL 44,13,7,Marc Bulger pass complete short right to Joe Klopfenstein for -4 yards (tackle by Marcus Washington),1.320,0.100
3,5:04,,,,13,7,Timeout #2 by St. Louis Rams,0.000,0.100
3,5:04,3,14,STL 40,13,7,Marc Bulger sacked by Shawn Springs for -9 yards,0.100,-1.310
3,4:46,4,23,STL 31,13,7,"Donnie Jones punts 52 yards, returned by Antwaan Randle El for 7 yards (tackle by Gary Stills). Penalty on Carlos Rogers: Offensive Holding, 8 yards",-1.310,0.380
3,4:36,1,10,WAS 9,13,7,Clinton Portis up the middle for 4 yards (tackle by Adam Carriker),-0.380,-0.480
3,4:05,2,6,WAS 13,13,7,Clinton Portis up the middle for 3 yards (tackle by Victor Adeyanju and Chris Draft),-0.480,-0.600
3,3:23,3,3,WAS 16,13,7,"Jason Campbell sacked by Leonard Little for -6 yards. Jason Campbell fumbles (forced by Leonard Little), recovered by Antwaan Randle El at WAS-10",-0.600,-2.490
3,2:38,4,12,WAS 7,13,7,Durant Brooks punts 26 yards,-2.490,-3.380
3,2:35,1,10,WAS 33,13,7,Marc Bulger pass complete short left to Torry Holt for 5 yards (tackle by Shawn Springs),3.380,3.510
3,2:02,2,5,WAS 28,13,7,Marc Bulger pass complete short left to Torry Holt for 2 yards (tackle by Carlos Rogers),3.510,3.070
3,2:02,3,3,WAS 26,13,7,"Penalty on Richie Incognito: False Start, 4 yards (no play)",3.070,2.540
3,1:09,3,7,WAS 30,13,7,Marc Bulger pass complete short right to Torry Holt for 4 yards (tackle by Carlos Rogers),2.540,1.840
3,0:29,4,3,WAS 26,16,7,"Josh Brown 44 yard field goal good. Penalty on Kedric Golston: Personal Foul, 15 yards",1.840,3.000
3,,,,STL 45,16,7,"Josh Brown kicks off 55 yards, touchback",0.000,0.280
3,0:25,1,10,WAS 20,16,7,Clinton Portis left tackle for 2 yards,0.280,0.000
Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,WAS 22,16,7,Clinton Portis right end for 11 yards (tackle by Ronald Bartell),0.000,1.140
4,14:21,1,10,WAS 33,16,7,Jason Campbell pass complete short middle to Antwaan Randle El for 23 yards (tackle by Ronald Bartell),1.140,2.650
4,13:41,1,10,STL 44,16,7,Clinton Portis right end for 9 yards (tackle by Ronald Bartell),2.650,3.330
4,13:04,2,1,STL 35,16,7,Ladell Betts right end for 12 yards (tackle by Ronald Bartell),3.330,4.040
4,12:44,1,10,STL 23,16,7,"Penalty on Todd Yoder: False Start, 5 yards (no play)",4.040,3.710
4,12:20,1,15,STL 28,16,7,Ladell Betts left end for 3 yards (tackle by Jason Craft and Pisa Tinoisamoa),3.710,3.230
4,11:43,2,12,STL 25,16,7,Jason Campbell sacked by Pisa Tinoisamoa for -5 yards,3.230,1.880
4,11:09,3,17,STL 30,16,7,Jason Campbell pass complete short left to James Thrash for 9 yards (tackle by Jonathan Wade),1.880,2.060
4,10:43,4,8,STL 21,16,10,Shaun Suisham 38 yard field goal good,2.060,3.000
4,,,,WAS 30,16,10,Shaun Suisham kicks off 67 yards,0.000,1.600
4,10:39,1,10,STL 40,16,10,Marc Bulger sacked by Anthony Montgomery for -3 yards,1.600,0.650
4,10:13,2,13,STL 37,16,10,Steven Jackson right end for 7 yards (tackle by Marcus Washington and Jason Taylor),0.650,0.890
4,9:23,3,6,STL 44,16,10,"Penalty on Marc Bulger: Delay of Game, 5 yards (no play)",0.890,0.230
4,9:03,3,11,STL 39,16,10,"Marc Bulger right end for 13 yards (tackle by Shawn Springs). Penalty on Alex Barron: Illegal Formation, 5 yards (no play)",0.230,-0.430
4,8:36,3,16,STL 34,16,10,Marc Bulger pass incomplete short left intended for Steven Jackson,-0.430,-1.110
4,8:31,4,16,STL 34,16,10,"Donnie Jones punts 56 yards, returned by Antwaan Randle El for 17 yards (tackle by Chris Massey)",-1.110,-0.740
4,8:18,1,10,WAS 27,16,10,Jason Campbell pass complete short right to Antwaan Randle El for 4 yards (tackle by Jason Craft),0.740,0.740
4,7:44,2,6,WAS 31,16,10,Clinton Portis left tackle for 29 yards (tackle by O.J. Atogwe),0.740,2.920
4,7:11,1,10,STL 40,16,10,Clinton Portis right end for 8 yards (tackle by Will Witherspoon and La'Roi Glover),2.920,3.450
4,6:35,2,2,STL 32,16,10,Ladell Betts left tackle for 1 yard (tackle by Will Witherspoon),3.450,2.870
4,6:08,3,1,STL 31,16,10,Clinton Portis right tackle for 4 yards (tackle by Pisa Tinoisamoa),2.870,3.780
4,5:31,1,10,STL 27,16,10,"Clinton Portis right end for 5 yards (tackle by Clifton Ryan and O.J. Atogwe). Penalty on Antwaan Randle El: Illegal Motion, 5 yards (no play)",3.780,3.450
4,5:18,1,15,STL 32,16,10,Rock Cartwright up the middle for 1 yard (tackle by Leonard Little),3.450,2.690
4,4:42,2,14,STL 31,16,10,Jason Campbell pass incomplete short left intended for Clinton Portis,2.690,2.020
4,4:35,3,14,STL 31,16,10,Jason Campbell pass complete short middle to Antwaan Randle El for 29 yards (tackle by Jason Craft),2.020,6.740
4,3:53,,,,16,10,Timeout #1 by Washington Redskins,0.000,6.740
4,3:53,1,2,STL 2,16,16,"Clinton Portis right tackle for 2 yards, touchdown",6.740,7.000
4,,,,STL 2,16,17,Shaun Suisham kicks extra point good,0.000,0.000
4,,,,WAS 30,16,17,"Shaun Suisham kicks off 66 yards, returned by Dante Hall for 20 yards (tackle by Khary Campbell)",0.000,0.540
4,3:40,1,10,STL 24,16,17,Steven Jackson up the middle for 7 yards (tackle by Rocky McIntosh and Marcus Washington),0.540,0.940
4,3:03,2,3,STL 31,16,17,Steven Jackson up the middle for 1 yard (tackle by Cornelius Griffin),0.940,0.370
4,2:23,3,2,STL 32,16,17,Marc Bulger pass complete short middle to Donnie Avery for 12 yards (tackle by Chris Horton),0.370,1.860
4,2:00,1,10,STL 44,16,17,Marc Bulger pass incomplete deep left intended for Torry Holt (defended by Carlos Rogers),1.860,1.320
4,1:54,2,10,STL 44,16,17,Steven Jackson up the middle for -3 yards (tackle by Chris Horton and Rocky McIntosh),1.320,0.230
4,1:13,3,13,STL 41,16,17,Marc Bulger pass complete deep right to Donnie Avery for 43 yards (tackle by Leigh Torrence),0.230,4.510
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:39,,,,16,17,Timeout #2 by Washington Redskins,0.000,4.510
4,0:38,1,10,WAS 16,16,17,Marc Bulger kneels for -1 yards (tackle by Jason Taylor),4.510,3.770
4,0:35,,,,16,17,Timeout #3 by Washington Redskins,0.000,3.770
4,0:35,2,11,WAS 17,16,17,"Penalty on Richie Incognito: Unsportsmanlike Conduct, 15 yards (no play)",3.770,1.800
4,0:35,2,26,WAS 32,16,17,Steven Jackson up the middle for 1 yard (tackle by LaRon Landry and London Fletcher),1.800,1.290
4,0:02,,,,16,17,Timeout #3 by St. Louis Rams,0.000,1.290
4,0:02,3,25,WAS 31,19,17,Josh Brown 49 yard field goal good,1.290,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
