Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Rhys Lloyd kicks off 69 yards, returned by Domenik Hixon for 19 yards (tackle by Dante Wesley)",0.000,0.280
1,14:55,1,10,NYG 20,0,0,Brandon Jacobs right guard for -3 yards (tackle by Julius Peppers),0.280,-0.790
1,14:28,2,13,NYG 17,0,0,Ahmad Bradshaw left end for 9 yards (tackle by Captain Munnerlyn and Charles Godfrey),-0.790,-0.160
1,13:41,3,4,NYG 26,0,0,Eli Manning pass complete short left to Domenik Hixon for 9 yards (tackle by Jon Beason). Penalty on Julius Peppers: Defensive Offside (Declined),-0.160,1.270
1,13:16,1,10,NYG 35,0,0,Eli Manning pass complete short middle to Hakeem Nicks for 17 yards (tackle by Richard Marshall),1.270,2.390
1,12:26,1,10,CAR 48,0,0,Eli Manning pass complete short left to Steve Smith for 3 yards (tackle by Chris Gamble),2.390,2.250
1,11:52,2,7,CAR 45,0,0,Eli Manning pass complete short left to Hakeem Nicks for 3 yards (tackle by Richard Marshall),2.250,1.950
1,11:07,3,4,CAR 42,0,0,Eli Manning pass complete short left to Hakeem Nicks for 5 yards (tackle by Captain Munnerlyn),1.950,3.120
1,10:32,1,10,CAR 37,0,0,Eli Manning pass complete short left to Hakeem Nicks for 5 yards (tackle by Richard Marshall),3.120,3.250
1,10:11,2,5,CAR 32,0,0,Brandon Jacobs right guard for 3 yards (tackle by Charles Godfrey),3.250,2.940
1,9:28,3,2,CAR 29,0,0,Ahmad Bradshaw left guard for 3 yards (tackle by Jon Beason),2.940,3.840
1,8:56,1,10,CAR 26,0,0,"Eli Manning pass complete deep left to Steve Smith for 26 yards. Penalty on Madison Hedgecock: Offensive Holding, 10 yards (no play)",3.840,3.180
1,8:41,,,,0,0,Timeout #1 by Carolina Panthers,0.000,3.180
1,8:41,1,20,CAR 36,0,0,Eli Manning pass complete short middle to Ahmad Bradshaw for 6 yards (tackle by Jon Beason and Hollis Thomas),3.180,2.760
1,7:58,2,14,CAR 30,0,0,Eli Manning pass incomplete short middle intended for Kevin Boss (defended by Jon Beason),2.760,2.080
1,7:48,3,14,CAR 30,0,0,"Eli Manning pass complete short middle to Mario Manningham for 13 yards (tackle by Jon Beason). Mario Manningham fumbles (forced by Jon Beason), recovered by James Anderson at CAR-17 and returned for 3 yards (tackle by Kevin Boss)",2.080,-0.280
1,7:38,1,10,CAR 20,0,0,Matt Moore sacked by Justin Tuck and Chris Canty for -2 yards,0.280,-0.630
1,7:10,2,12,CAR 18,0,0,Jonathan Stewart right end for 8 yards (tackle by Michael Johnson),-0.630,-0.160
1,6:42,3,4,CAR 26,0,0,Matt Moore pass complete short right to Jonathan Stewart for 6 yards (tackle by Jonathan Goff),-0.160,1.070
1,6:14,1,10,CAR 32,0,0,Mike Goodson right guard for 4 yards (tackle by Danny Clark and Justin Tuck),1.070,1.070
1,5:42,2,6,CAR 36,0,0,Matt Moore pass incomplete short right intended for Steve Smith,1.070,0.370
1,5:34,3,6,CAR 36,0,0,"Matt Moore pass incomplete deep left intended for Dante Rosario. Penalty on Justin Tuck: Defensive Offside, 5 yards (no play)",0.370,1.030
1,5:29,3,1,CAR 41,0,0,Brad Hoover middle for 2 yards (tackle by Fred Robbins),1.030,1.800
1,4:58,1,10,CAR 43,0,0,Jonathan Stewart right end for -5 yards (tackle by Terrell Thomas). Penalty on Keydrick Vincent: Offensive Holding (Declined),1.800,0.580
1,4:39,2,15,CAR 38,0,0,Matt Moore pass complete deep middle to Muhsin Muhammad for 27 yards (tackle by Kevin Dockery),0.580,3.250
1,3:57,1,10,NYG 35,0,0,Mike Goodson left guard for 1 yard (tackle by Jonathan Goff and Dave Tollefson),3.250,2.840
1,3:27,2,9,NYG 34,0,0,Matt Moore pass complete short right to Steve Smith for 5 yards (tackle by Kevin Dockery),2.840,2.810
1,3:05,3,4,NYG 29,0,0,Matt Moore middle for 5 yards (tackle by Mathias Kiwanuka),2.810,3.970
1,2:23,1,10,NYG 24,0,0,Jonathan Stewart right end for -1 yards (tackle by Justin Tuck),3.970,3.300
1,1:41,2,11,NYG 25,0,0,Jonathan Stewart right guard for 6 yards (tackle by Terrell Thomas and Jonathan Goff),3.300,3.410
1,1:00,3,5,NYG 19,0,0,Matt Moore pass incomplete,3.410,2.240
1,0:51,4,5,NYG 19,3,0,John Kasay 38 yard field goal good,2.240,3.000
