Unnamed: 0,CAR,NYG
First Downs,25,22
Rush-Yds-TDs,46-247-2,19-60-0
Cmp-Att-Yd-TD-INT,15-20-171-3-0,29-43-296-1-2
Sacked-Yards,1-2,4-39
Net Pass Yards,169,257
Total Yards,416,317
Fumbles-Lost,1-0,4-2
Turnovers,0,4
Penalties-Yards,4-20,4-29
Third Down Conv.,10-15,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,32:16,27:44
