Unnamed: 0,WAS,PHI
First Downs,23,22
Rush-Yds-TDs,38-191-0,33-126-3
Cmp-Att-Yd-TD-INT,17-35-264-2-1,17-26-298-0-0
Sacked-Yards,4-28,3-22
Net Pass Yards,236,276
Total Yards,427,402
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,4-39,9-68
Third Down Conv.,8-17,4-13
Fourth Down Conv.,0-1,1-2
Time of Possession,33:42,26:18
