Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kerryon Johnson,DET,19,158,0,5,91,4.8,67,3.5,5,3.8
LeGarrette Blount,DET,10,50,1,4,33,3.3,17,1.7,0,
Matthew Stafford,DET,4,9,0,2,9,2.3,0,0.0,0,
Ameer Abdullah,DET,1,1,0,,0,0.0,1,1.0,0,
Golden Tate,DET,1,30,0,1,23,23.0,7,7.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Frank Gore,MIA,10,29,0,2,10,1.0,19,1.9,2,5.0
Kenyan Drake,MIA,6,72,1,1,53,8.8,19,3.2,0,
Albert Wilson,MIA,2,4,0,1,-5,-2.5,9,4.5,0,
Brock Osweiler,MIA,1,2,0,0,0,0.0,2,2.0,0,
