Unnamed: 0,DET,MIA
First Downs,24,19
Rush-Yds-TDs,35-248-1,19-107-1
Cmp-Att-Yd-TD-INT,18-22-217-2-0,22-31-239-2-0
Sacked-Yards,1-8,4-24
Net Pass Yards,209,215
Total Yards,457,322
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-43,4-50
Third Down Conv.,2-8,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,33:39,26:21
