Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
1,5:18,1,10,DET 11,7,0,Matthew Stafford pass complete short right to Marvin Jones for 5 yards (tackle by Bobby McCain),-0.370,-0.300
1,4:36,2,5,DET 16,7,0,Kerryon Johnson up the middle for 3 yards (tackle by Robert Quinn),-0.300,-0.480
1,3:52,3,2,DET 19,7,0,Matthew Stafford pass incomplete short right intended for Golden Tate (defended by Kiko Alonso),-0.480,-2.140
1,3:48,4,2,DET 19,7,0,"Sam Martin punts 61 yards, returned by Jakeem Grant for 19 yards (tackle by Miles Killebrew and Jalen Reeves-Maybin)",-2.140,-1.530
1,3:34,1,10,MIA 39,7,0,Brock Osweiler pass complete short middle to Danny Amendola for 19 yards (tackle by Tavon Wilson),1.530,2.790
1,2:57,1,10,DET 42,7,0,"Penalty on Frank Gore: False Start, 5 yards (no play)",2.790,2.460
1,2:33,1,15,DET 47,7,0,Frank Gore left guard for 1 yard (tackle by Tavon Wilson and A'Shawn Robinson),2.460,1.700
1,1:51,2,14,DET 46,7,0,Brock Osweiler pass complete short left to Albert Wilson for 4 yards (tackle by Teez Tabor and Glover Quin),1.700,1.550
1,1:09,3,10,DET 42,7,0,Kenyan Drake left guard for 1 yard (tackle by Da'Shawn Hand),1.550,0.530
1,0:18,4,9,DET 41,7,0,Matt Haack punts 37 yards downed by Cornell Armstrong,0.530,0.380
1,0:12,1,10,DET 4,7,0,LeGarrette Blount right guard for 5 yards (tackle by Vincent Taylor),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,DET 9,7,0,Kerryon Johnson right guard for 71 yards (tackle by Reshad Jones),-0.420,4.240
2,14:32,1,10,MIA 20,7,0,Matthew Stafford pass complete short right to Marvin Jones for 8 yards,4.240,5.040
2,14:03,2,2,MIA 12,7,0,LeGarrette Blount right guard for 1 yard (tackle by Akeem Spence and Jerome Baker),5.040,4.590
2,13:21,3,1,MIA 11,7,0,LeGarrette Blount left guard for no gain (tackle by Akeem Spence and T.J. McDonald),4.590,2.850
2,12:39,4,1,MIA 11,10,0,Matt Prater 29 yard field goal good,2.850,3.000
2,12:34,,,DET 35,10,0,"Sam Martin kicks off 67 yards, returned by Jakeem Grant for no gain (tackle by Cre'von LeBlanc and DeShawn Shead)",0.000,0.480
2,12:27,1,10,MIA 23,10,0,Brock Osweiler pass complete short left to Kenyan Drake for 5 yards (tackle by Jarrad Davis),0.480,0.610
2,11:59,2,5,MIA 28,10,0,Brock Osweiler pass complete deep middle to Albert Wilson for 25 yards (tackle by Teez Tabor),0.610,2.460
2,11:36,1,10,DET 47,10,0,Brock Osweiler pass complete short left to Kenyan Drake for 4 yards,2.460,2.450
2,10:58,2,6,DET 43,10,0,Frank Gore up the middle for 5 yards (tackle by Ricky Jean-Francois and Christian Jones),2.450,2.410
2,10:20,,,,,,Timeout #1 by Detroit Lions,,
2,10:20,3,1,DET 38,10,0,Brock Osweiler pass complete deep right to Mike Gesicki for 27 yards (tackle by Quandre Diggs),2.410,4.840
2,9:34,1,10,DET 11,10,0,Frank Gore up the middle for no gain (tackle by Jalen Reeves-Maybin),4.840,4.140
2,8:51,2,10,DET 11,10,0,Brock Osweiler pass incomplete short right intended for Kenyan Drake,4.140,3.130
2,8:48,3,10,DET 11,10,0,"Brock Osweiler right end for 2 yards (tackle by Devon Kennard and Teez Tabor). Penalty on Nevin Lawson: Illegal Use of Hands, 5 yards",3.130,6.280
2,8:26,,,,,,Timeout #1 by Miami Dolphins,,
2,8:26,1,4,DET 4,10,0,Brock Osweiler pass complete short middle to Mike Gesicki for -1 yards (tackle by Romeo Okwara),6.280,5.150
2,7:42,2,5,DET 5,10,0,Brock Osweiler pass incomplete short left intended for Kenyan Drake,5.150,4.260
2,7:38,,,,,,Timeout #2 by Miami Dolphins,,
2,7:38,3,5,DET 5,10,6,"Brock Osweiler pass complete short right to Kenny Stills for 5 yards, touchdown",4.260,7.000
2,7:33,,,DET 15,10,7,"Jason Sanders kicks extra point good. Penalty on A'Shawn Robinson: Illegal Formation, 5 yards",0.000,0.000
2,7:33,,,MIA 40,10,7,"Jason Sanders kicks off 60 yards, touchback.",0.000,0.610
2,7:33,1,10,DET 25,10,7,Kerryon Johnson left end for no gain (tackle by Jerome Baker),0.610,0.060
2,6:50,2,10,DET 25,10,7,Matthew Stafford pass complete short left to Kerryon Johnson for 15 yards (tackle by Minkah Fitzpatrick),0.060,1.600
2,6:22,1,10,DET 40,10,7,Matthew Stafford pass complete short right to Luke Willson for 3 yards (tackle by Reshad Jones),1.600,1.460
2,5:37,2,7,DET 43,10,7,Matthew Stafford pass complete short right to Golden Tate for 4 yards (tackle by Xavien Howard),1.460,1.290
2,4:54,3,3,DET 47,10,7,Matthew Stafford pass complete short middle to Luke Willson for 5 yards (tackle by T.J. McDonald),1.290,2.390
2,4:12,1,10,MIA 48,10,7,Kerryon Johnson up the middle for 4 yards (tackle by Bobby McCain),2.390,2.390
2,3:32,2,6,MIA 44,10,7,Matthew Stafford up the middle for 9 yards (tackle by Akeem Spence),2.390,3.250
2,2:43,1,10,MIA 35,10,7,LeGarrette Blount right guard for 12 yards (tackle by Reshad Jones),3.250,4.040
2,2:01,1,10,MIA 23,10,7,"Matthew Stafford sacked by Andre Branch for -8 yards. Matthew Stafford fumbles, ball out of bounds at MIA-31 (forced by Andre Branch)",4.040,2.420
2,1:57,2,18,MIA 31,10,7,Matthew Stafford pass complete deep right to Michael Roberts for 29 yards (tackle by Jerome Baker),2.420,6.740
2,1:51,1,2,MIA 2,10,7,Kerryon Johnson right guard for no gain (tackle by Reshad Jones),6.740,5.720
2,1:06,2,2,MIA 2,16,7,"LeGarrette Blount left guard for 2 yards, touchdown",5.720,7.000
2,1:02,,,MIA 15,17,7,Matt Prater kicks extra point good,0.000,0.000
2,1:02,,,DET 35,17,7,"Sam Martin kicks off 70 yards, returned by Jakeem Grant for no gain (tackle by Teez Tabor)",0.000,0.480
2,0:58,1,10,MIA 23,17,7,Brock Osweiler pass complete short middle to Danny Amendola for 8 yards (tackle by Nevin Lawson),0.480,1.010
2,0:36,2,2,MIA 31,17,7,Brock Osweiler sacked by Romeo Okwara for -8 yards,1.010,-0.760
Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,17,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,17,7,Matthew Stafford pass complete short left to Marvin Jones for 16 yards (tackle by Kiko Alonso),0.610,1.660
3,14:17,1,10,DET 41,17,7,LeGarrette Blount left guard for 9 yards (tackle by T.J. McDonald),1.660,2.340
3,13:39,2,1,DET 50,17,7,Kerryon Johnson left tackle for 8 yards (tackle by Jerome Baker),2.340,2.790
3,12:56,1,10,MIA 42,17,7,Matthew Stafford pass complete short middle to Kenny Golladay for 22 yards (tackle by Xavien Howard),2.790,4.240
3,12:12,1,10,MIA 20,17,7,Kerryon Johnson up the middle for 7 yards (tackle by Andre Branch),4.240,4.830
3,11:29,2,3,MIA 13,17,7,"Matthew Stafford pass complete short middle to Kenny Golladay for 13 yards. Penalty on Frank Ragnow: Illegal Use of Hands, 10 yards (no play)",4.830,3.290
3,11:23,2,13,MIA 23,17,7,Matthew Stafford pass complete short right to Ameer Abdullah for 12 yards (tackle by Vincent Taylor). Penalty on Andre Branch: Defensive Offside (Declined),3.290,4.590
3,10:48,3,1,MIA 11,17,7,Kerryon Johnson left end for no gain (tackle by Minkah Fitzpatrick),4.590,2.850
3,10:12,4,1,MIA 11,17,7,Matthew Stafford left guard for 2 yards (tackle by Kiko Alonso),2.850,5.140
3,9:30,1,9,MIA 9,17,7,Kerryon Johnson up the middle for -1 yards (tackle by Bobby McCain and Raekwon McMillan),5.140,4.190
3,8:44,2,10,MIA 10,17,7,Matthew Stafford pass incomplete short left intended for Golden Tate,4.190,3.130
3,8:40,3,10,MIA 10,17,7,Matthew Stafford pass incomplete short left intended for Kerryon Johnson (defended by Jerome Baker),3.130,2.760
3,8:36,4,10,MIA 10,20,7,Matt Prater 28 yard field goal good,2.760,3.000
3,8:32,,,DET 35,20,7,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
3,8:32,1,10,MIA 25,20,7,Frank Gore up the middle for 3 yards (tackle by Romeo Okwara and Jarrad Davis),0.610,0.470
3,8:03,2,7,MIA 28,20,7,Brock Osweiler pass incomplete short middle intended for Nick O'Leary (defended by Christian Jones). Penalty on Ja'Wuan James: Offensive Holding (Declined),0.470,-0.230
3,7:57,3,7,MIA 28,20,7,Brock Osweiler pass complete short left to Mike Gesicki for 18 yards (tackle by Tracy Walker),-0.230,1.990
3,7:21,1,10,MIA 46,20,7,Brock Osweiler pass incomplete deep left intended for Kenyan Drake,1.990,1.450
3,7:15,2,10,MIA 46,20,13,"Kenyan Drake left tackle for 54 yards, touchdown",1.450,7.000
3,7:06,,,DET 15,20,14,Jason Sanders kicks extra point good,0.000,0.000
3,7:06,,,MIA 35,20,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,7:06,1,10,DET 25,20,14,Kerryon Johnson up the middle for 4 yards (tackle by Kiko Alonso),0.610,0.600
3,6:23,2,6,DET 29,20,14,"Matthew Stafford pass incomplete short left intended for Luke Willson (defended by Reshad Jones). Penalty on Cameron Malveaux: Defensive Offside, 5 yards (no play)",0.600,1.280
3,6:18,2,1,DET 34,20,14,Kerryon Johnson left end for 18 yards (tackle by Reshad Jones),1.280,2.390
3,5:32,1,10,MIA 48,20,14,"Matthew Stafford pass incomplete deep left intended for Marvin Jones. Penalty on Bobby McCain: Defensive Pass Interference, 25 yards (no play)",2.390,4.040
3,5:24,1,10,MIA 23,20,14,LeGarrette Blount left end for 13 yards (tackle by T.J. McDonald),4.040,4.910
3,4:40,1,10,MIA 10,20,14,Kerryon Johnson right guard for 1 yard (tackle by Akeem Spence),4.910,4.380
3,4:02,2,9,MIA 9,20,14,Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by Kiko Alonso),4.380,4.490
3,3:21,3,4,MIA 4,26,14,"Matthew Stafford pass complete short right to Michael Roberts for 4 yards, touchdown",4.490,7.000
3,3:16,,,MIA 2,26,14,"Two Point Attempt: LeGarrette Blount rushes, conversion fails.",0.000,-1.000
3,3:16,,,DET 35,26,14,"Sam Martin kicks off 69 yards, returned by Jakeem Grant for no gain (tackle by Nick Bellore)",0.000,-0.060
3,3:10,1,10,MIA 17,26,14,Kenyan Drake left end for 4 yards (tackle by Jarrad Davis),-0.060,0.080
3,2:31,2,6,MIA 21,26,14,Brock Osweiler pass complete short middle to Danny Amendola for 7 yards (tackle by Jarrad Davis),0.080,0.810
3,1:56,1,10,MIA 28,26,14,Kenyan Drake left tackle for 9 yards (tackle by Glover Quin),0.810,1.480
3,1:20,2,1,MIA 37,26,14,Frank Gore left guard for 3 yards (tackle by Ricky Jean-Francois),1.480,1.600
3,0:45,1,10,MIA 40,26,14,Brock Osweiler pass incomplete short middle intended for Kenny Stills,1.600,1.050
3,0:41,2,10,MIA 40,26,14,Brock Osweiler sacked by Ricky Jean-Francois for -7 yards,1.050,-0.560
Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,17,MIA 33,26,14,Brock Osweiler pass complete short left to Kenyan Drake for 2 yards (tackle by Jarrad Davis),-0.560,-1.040
4,14:14,4,15,MIA 35,26,14,"Matt Haack punts 51 yards, returned by Golden Tate for 6 yards (tackle by Minkah Fitzpatrick)",-1.040,-0.280
4,14:03,1,10,DET 20,26,14,Kerryon Johnson right guard for 12 yards (tackle by Bobby McCain),0.280,1.070
4,13:20,1,10,DET 32,26,14,Golden Tate right end for 30 yards (tackle by Kiko Alonso and Xavien Howard),1.070,3.050
4,12:36,1,10,MIA 38,26,14,Matthew Stafford pass complete short right to Kenny Golladay for 15 yards (tackle by T.J. McDonald),3.050,4.040
4,11:59,1,10,MIA 23,26,14,Ameer Abdullah left tackle for 1 yard (tackle by Raekwon McMillan),4.040,3.630
4,11:36,2,9,MIA 22,26,14,Kerryon Johnson right tackle for no gain (tackle by Raekwon McMillan),3.630,2.940
4,10:54,3,9,MIA 22,26,14,"Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by Raekwon McMillan). Golden Tate fumbles (forced by Raekwon McMillan), recovered by Golden Tate at MIA-17",2.940,2.390
4,10:09,4,4,MIA 17,29,14,Matt Prater 35 yard field goal good,2.390,3.000
4,10:04,,,DET 35,29,14,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
4,10:04,1,10,MIA 25,29,14,Brock Osweiler pass complete deep right to Jakeem Grant for 19 yards (tackle by Darius Slay),0.610,1.860
4,9:33,1,10,MIA 44,29,14,Kenyan Drake up the middle for -1 yards (tackle by A'Shawn Robinson),1.860,1.180
4,8:59,2,11,MIA 43,29,14,Brock Osweiler pass incomplete short right,1.180,0.500
4,8:53,3,11,MIA 43,29,14,"Brock Osweiler pass incomplete short middle intended for Jakeem Grant. Penalty on Quandre Diggs: Defensive Pass Interference, 3 yards (no play)",0.500,1.990
4,8:49,1,10,MIA 46,29,14,Brock Osweiler pass complete short left to Nick O'Leary for 9 yards (tackle by Teez Tabor),1.990,2.670
4,8:12,2,1,DET 45,29,14,Frank Gore left guard for 2 yards (tackle by A'Shawn Robinson),2.670,2.720
4,7:38,1,10,DET 43,29,14,Brock Osweiler pass incomplete deep right intended for Kenny Stills (defended by Darius Slay),2.720,2.180
4,7:30,2,10,DET 43,29,14,Brock Osweiler pass complete short right to Danny Amendola for 13 yards (tackle by Darius Slay),2.180,3.580
4,6:55,1,10,DET 30,29,14,Brock Osweiler pass incomplete deep left intended for Kenyan Drake,3.580,3.030
4,6:48,2,10,DET 30,29,14,Frank Gore up the middle for 6 yards (tackle by Romeo Okwara),3.030,3.140
4,6:08,3,4,DET 24,29,20,"Brock Osweiler pass complete deep right to Danny Amendola for 24 yards, touchdown",3.140,7.000
4,6:00,,,DET 15,29,21,Jason Sanders kicks extra point good,0.000,0.000
4,6:00,,,MIA 35,29,21,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,6:00,1,10,DET 25,29,21,Kerryon Johnson up the middle for 1 yard (tackle by Akeem Spence and T.J. McDonald),0.610,0.200
4,5:19,2,9,DET 26,29,21,Matthew Stafford pass complete short right to Golden Tate for 22 yards (tackle by Kiko Alonso),0.200,2.130
4,4:28,1,10,DET 48,29,21,LeGarrette Blount left guard for 3 yards (tackle by Raekwon McMillan),2.130,1.990
4,3:44,2,7,MIA 49,29,21,Kerryon Johnson right tackle for no gain (tackle by Cameron Malveaux),1.990,1.290
4,3:01,3,7,MIA 49,29,21,"Matthew Stafford pass incomplete short right intended for Kenny Golladay. Penalty on Xavien Howard: Defensive Pass Interference, 15 yards (no play)",1.290,3.310
4,2:57,1,10,MIA 34,29,21,LeGarrette Blount right guard for 1 yard (tackle by Raekwon McMillan),3.310,2.910
4,2:11,2,9,MIA 33,29,21,Matthew Stafford pass incomplete deep right intended for Marvin Jones,2.910,2.210
4,2:07,3,9,MIA 33,29,21,Kerryon Johnson up the middle for 2 yards (tackle by Akeem Spence),2.210,1.320
4,2:00,4,7,MIA 31,32,21,Matt Prater 50 yard field goal good,1.320,3.000
4,1:55,,,DET 35,32,21,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
4,1:55,1,10,MIA 25,32,21,Brock Osweiler pass complete short right to Danny Amendola for 13 yards (tackle by Teez Tabor and Glover Quin),0.610,1.470
4,1:34,1,10,MIA 38,32,21,Brock Osweiler pass complete short right to Nick O'Leary for 14 yards (tackle by Tracy Walker and Glover Quin),1.470,2.390
4,1:26,,,,,,Timeout #1 by Miami Dolphins,,
4,1:26,1,10,DET 48,32,21,"Brock Osweiler pass incomplete deep left intended for Kenny Stills (defended by Darius Slay). Penalty on Nevin Lawson: Defensive Holding, 5 yards (no play)",2.390,2.720
4,1:20,1,10,DET 43,32,21,Brock Osweiler sacked by Jarrad Davis for -2 yards,2.720,1.910
4,1:14,,,,,,Timeout #2 by Miami Dolphins,,
4,1:14,2,12,DET 45,32,21,Brock Osweiler pass complete short right to Kenyan Drake for 4 yards (tackle by Tavon Wilson),1.910,1.750
4,1:03,,,,,,Timeout #3 by Miami Dolphins,,
4,1:03,3,8,DET 41,32,21,Brock Osweiler pass complete short right to Jakeem Grant for 13 yards,1.750,3.710
4,0:57,1,10,DET 28,32,21,Brock Osweiler pass incomplete deep left intended for Danny Amendola,3.710,3.170
4,0:53,2,10,DET 28,32,21,Jason Sanders 46 yard field goal no good,3.170,-1.330
4,0:48,1,10,DET 36,32,21,Matthew Stafford kneels for -1 yards,1.330,0.660
4,0:27,2,11,DET 35,32,21,Matthew Stafford kneels for -1 yards,0.660,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
